row_ID	SMILES	ATSC5m	SpMin3_Bh.v.	SpMaxA_B.s.	ChiA_D	ATS7s	ATSC7e	Si	DBS	Exp
C2835952	Oc1cc(N)ccc1C	5.977	1.161	0.701	0.058	1.946	0.019	20.368	Training	1
C75706126	O=C(Nc1ccc(cc1)C(F)(F)F)c2cnoc2C	13.039	1.537	0.448	0.013	5.064	0.534	32.51	Training	1
C607885	O=C(Oc1ccc(cc1)C)c2ccccc2(O)	11.507	1.48	0.437	0.016	4.824	0.076	32.119	Training	1
CNOCAS47385	O=C(N=C1C=CC(=CN1)Cl)Cn3c4cnc(OCCOC)cc4(cc3(C(=O)NC2CCN(CC2)C(C)C))	47.571	1.924	0.201	0.004	6.121	0.736	79.584	Training	1
C135513	O=S(=O)(O)c1ccc2cc(O)c(cc2(c1))S(=O)(=O)O	14.633	1.62	0.409	0.015	5.138	0.435	29.967	Training	1
C6344678	Oc1ccc3c(c1)c2ccccc2C3	9.558	1.39	0.451	0.027	3.843	0.057	26.285	Training	1
C2081085	Oc1ccc(cc1)C(c2ccc(O)cc2)C	15.449	1.599	0.395	0.019	4.93	0.145	33.325	Training	1
C111974722	OCCOCCN4CCN(C2=Nc1ccccc1Sc3ccccc23)CC4	35.646	1.936	0.232	0.007	5.649	0.192	58.401	Training	1
C81481	O=C1c4ccccc4(C(=O)c2c(ccc(O)c12)Nc3ccc(cc3)C)	19.384	1.855	0.297	0.01	5.593	0.186	44.033	Training	1
C71125387	O=C(N=C1NC=C(C)S1)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	18.964	1.726	0.335	0.011	5.516	0.511	40.248	Training	1
C968810	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	25.854	1.776	0.351	0.01	5.888	0.661	47.491	Training	1
C13816336	N#Cc1ccc(cc1)C(C)C	8.492	1.308	0.62	0.037	3.829	0.019	24.574	Training	1
C118489	O=C1OC(=O)c2ccccc2(N1)	5.127	1.201	0.621	0.036	2.079	0.03	18.957	Training	1
C125116236	OC3(Cn1ncnc1)(C(Cc2ccc(cc2)Cl)CCC3(C)(C))	37.023	1.815	0.285	0.012	5.575	0.275	49.8	Training	1
C99570	O=[N+]([O-])c1ccc(O)c(N)c1	6.242	1.281	0.71	0.04	2.708	0.062	19.455	Training	1
C262376750	OC34(N=C(c1ccccc1)SC4(Cc2cc(ccc23)Cl))	21.152	1.663	0.315	0.014	4.798	0.096	35.063	Training	1
C1143722	O=C(c1ccccc1)c2ccc(O)c(O)c2(O)	10.891	1.307	0.437	0.018	4.956	0.251	29.914	Training	1
C320729	O=C(O)c1cc(cc(c1(O))Cl)Cl	8.316	1.056	0.623	0.036	0.693	0.019	17.762	Training	1
C131704	O=C(O)c1ccccc1(C(=O)OCCCC)	14.527	1.519	0.467	0.019	4.856	0.238	33.744	Training	1
C57837191	O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C	28.272	1.691	0.372	0.015	5.81	0.784	46.488	Training	1
C107071669	O=C(N3CCC(C=C(c1ccccc1)c2ccccc2)CC3)CCCCCCCCc4cnccc4	44.696	1.998	0.206	0.003	6.087	0.299	85.095	Training	1
C80513	O=S(=O)(NN)c2ccc(Oc1ccc(cc1)S(=O)(=O)NN)cc2	15.805	1.728	0.336	0.009	5.056	0.434	41.956	Training	1
C90040	O(c1ccccc1(N))C	6.109	1.32	0.542	0.057	1.386	0.009	20.368	Training	1
C148878	N#CCCN(c1ccccc1)CC	13.823	1.663	0.524	0.027	4.527	0.071	30.488	Training	1
C933755	Oc1c(ccc(c1Cl)Cl)Cl	8.615	0.922	0.632	0.05	0	0	14.287	Training	1
C58151	O=C2C(=C(N(N2(c1ccccc1))C)C)N(C)C	22.893	1.685	0.437	0.02	4.831	0.128	38.611	Training	1
C120718	O(c1ccc(cc1(N))C)C	8.04	1.431	0.489	0.047	2.565	0.002	23.784	Training	1
C102851069	N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3	36.332	1.941	0.243	0.004	6.212	0.974	64.57	Training	1
C91883	OCCN(c1cccc(c1)C)CC	16.106	1.629	0.482	0.028	4.55	0.084	34.029	Training	1
C125401925	O=C(O)c3c(Oc1nc(OC)cc(n1)OC)cccc3(Oc2nc(OC)cc(n2)OC)	21.05	1.859	0.241	0.006	5.915	0.744	55.575	Training	1
C92002	OCCN(c1cccc(c1)Cl)CCO	18.31	1.62	0.448	0.024	5.005	0.404	31.767	Training	1
C1918189	O=C(OC)Nc1ccc(c(c1)Cl)Cl	9.423	1.306	0.572	0.027	4.314	0.236	22.466	Training	1
C578541	Nc1ccccc1CC	7.312	1.32	0.532	0.057	1.386	0.004	22.574	Training	1
C24526645	Nc1cccc3c1CN(C)CC3(c2ccccc2)	22.059	1.734	0.267	0.017	5.019	0.106	40.318	Training	1
C81641	O=C1C=CC(=O)c2c(O)c3ccccc3(c(O)c12)	10.81	1.4	0.413	0.019	4.515	0.215	28.498	Training	1
C2008584	O=C(N)c1c(cccc1Cl)Cl	11.654	1.004	0.676	0.042	1.099	0.021	17.841	Training	1
C80331	O=S(=O)(Oc1ccc(cc1)Cl)c2ccc(cc2)Cl	13.679	1.547	0.429	0.015	4.924	0.272	28.512	Training	1
