ID	CAS	SMILES	Status	Exp class
1	1843-05-6	O=C(c1ccccc1)c2ccc(OCCCCCCCC)cc2(O)	Test	1
2	51218-49-6	O=C(N(c1c(cccc1CC)CC)CCOCCC)CCl	Training	1
3	23184-66-9	O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Test	1
4	3380-34-5	Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl	Training	1
5	1163-19-5	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	1
6	5522-43-0	O=[N+]([O-])c4ccc1ccc2cccc3ccc4(c1c23)	Training	1
7	87-83-2	c1(c(c(c(c(c1Br)Br)Br)Br)Br)C	Test	1
8	18375-66-1	O=C(NCCCCCCCCCCCCCCCCCC)C(O)C(O)C(O)C(O)CO	Test	1
9	32536-52-0	O(c1cc(c(c(c1Br)Br)Br)Br)c2cc(c(c(c2Br)Br)Br)Br	Training	1
10	4979-32-2	n2c1ccccc1sc2SN(C3CCCCC3)C4CCCCC4	Training	1
11	103-24-2	O=C(OCC(CC)CCCC)CCCCCCCC(=O)OCC(CC)CCCC	Training	1
12	25973-55-1	Oc1c(cc(cc1C(C)(C)CC)C(C)(C)CC)n2nc3ccccc3(n2)	Training	1
13	45206-91-5	O=C(CCCCCC)CCCCCCCCC	Training	1
14	882-33-7	c1ccc(cc1)SSc2ccccc2	Test	1
15	7299-99-2	O=C(OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC)C(CC)CCCC	Training	1
16	1484-13-5	C=Cn2c3ccccc3(c1ccccc12)	Training	1
17	840-65-3	O=C(OC)c1ccc2cc(ccc2(c1))C(=O)OC	Test	1
18	135-57-9	O=C(Nc1ccccc1SSc3ccccc3(NC(=O)c2ccccc2))c4ccccc4	Training	1
19	1014-70-6	n1c(nc(nc1NCC)SC)NCC	Training	1
20	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Training	1
21	84-65-1	O=C1c3ccccc3(C(=O)c2ccccc12)	Test	1
22	100-14-1	O=[N+]([O-])c1ccc(cc1)CCl	Test	1
23	21087-64-9	O=C1C(=NN=C(N1(N))SC)C(C)(C)C	Test	1
24	101-20-2	O=C(Nc1ccc(cc1)Cl)Nc2ccc(c(c2)Cl)Cl	Training	1
25	123-31-9	Oc1ccc(O)cc1	Test	1
26	110-30-5	O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC	Training	1
27	920-37-6	N#CC(=C)Cl	Training	1
28	117-80-6	O=C1c2ccccc2(C(=O)C(=C1Cl)Cl)	Training	1
29	85785-20-2	O=C(N(CC)C(C)C(C)C)SCc1ccccc1	Test	1
30	5329-12-4.	NNc1c(cc(cc1Cl)Cl)Cl	Training	1
31	28249-77-6	O=C(N(CC)CC)SCc1ccc(cc1)Cl	Test	1
32	95-31-8	n2c1ccccc1sc2SNC(C)(C)C	Training	1
33	2439-01-2.	O=C2Sc1nc3ccc(cc3(nc1S2))C	Training	1
34	123-30-8	Oc1ccc(N)cc1	Test	1
35	110-86-1	n1ccccc1	Test	1
36	17796-82-6	O=C1c3ccccc3(C(=O)N1SC2CCCCC2)	Training	1
37	593-08-8	O=C(C)CCCCCCCCCCC	Training	1
38	620-93-9	c1cc(ccc1Nc2ccc(cc2)C)C	Training	1
39	1806-26-4	Oc1ccc(cc1)CCCCCCCC	Training	1
40	95-55-6	Oc1ccccc1(N)	Training	1
41	95-33-0	n2c1ccccc1sc2SNC3CCCCC3	Training	1
42	2437-25-4	N#CCCCCCCCCCCC	Training	1
43	108-98-5	c1ccc(cc1)S	Training	1
44	32388-55-9	O=C(C1=C(C)C2CC3(C1)(C(C)CCC3(C2(C)(C))))C	Training	1
45	79-11-8	O=C(O)CCl	Test	1
46	106-50-3	Nc1ccc(N)cc1	Training	1
47	97-00-7	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl	Training	1
48	556-61-6	C(=NC)=S	Training	1
49	948-65-2	c1ccc(cc1)c2cc3ccccc3([nH]2)	Training	1
50	892-21-7	O=[N+]([O-])c4ccc3c1ccccc1c2cccc4(c23)	Training	1
51	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	1
52	462-08-8	n1cccc(N)c1	Training	1
53	3006-82-4	O=C(OOC(C)(C)C)C(CC)CCCC	Test	1
54	1667-10-3	c1cc(ccc1c2ccc(cc2)CCl)CCl	Training	1
55	732-26-3	Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	1
56	111-82-0	O=C(OC)CCCCCCCCCCC	Test	1
57	2465-27-2	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	1
58	406-86-0	N#CC=CC(F)(F)F	Training	1
59	764-42-1	N#CC=CC#N	Training	1
60	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	1
61	479-27-6	Nc1cccc2cccc(N)c12	Training	1
62	149-30-4	c1ccc2c(c1)NC(=S)S2	Test	1
63	91-59-8	Nc1ccc2ccccc2(c1)	Test	1
64	148-24-3	Oc1cccc2cccnc12	Training	1
65	4130-42-1	Oc1c(cc(cc1C(C)(C)C)CC)C(C)(C)C	Test	1
66	31127-54-5	O=C(c1ccc(O)cc1)c2ccc(O)c(O)c2(O)	Training	1
67	122-57-6	O=C(C=Cc1ccccc1)C	Training	1
68	101-84-8	O(c1ccccc1)c2ccccc2	Training	1
69	350-30-1	O=[N+]([O-])c1ccc(F)c(c1)Cl	Test	1
70	57-10-3	O=C(O)CCCCCCCCCCCCCCC	Training	1
71	30171-80-3	O(c1ccccc1C(Br)Br)CC2OC2	Training	1
72	86-74-8	c1ccc3c(c1)[nH]c2ccccc23	Training	1
73	131-57-7	O=C(c1ccccc1)c2ccc(OC)cc2(O)	Training	1
74	91-53-2	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	1
75	92-84-2	c1ccc3c(c1)Nc2ccccc2S3	Test	1
76	79-10-7	O=C(O)C=C	Training	1
77	80-51-3	O=S(=O)(NN)c2ccc(Oc1ccc(cc1)S(=O)(=O)NN)cc2	Training	1
78	95-54-5	Nc1ccccc1(N)	Training	1
79	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	1
80	4170-30-3	O=CC=CC	Test	1
81	101-96-2	c1cc(ccc1NC(C)CC)NC(C)CC	Training	1
82	3268-49-3	O=CCCSC	Test	1
83	96-76-4	Oc1ccc(cc1C(C)(C)C)C(C)(C)C	Training	1
84	2439-35-2	O=C(OCCN(C)C)C=C	Training	1
85	615-58-7	Oc1ccc(cc1Br)Br	Training	1
86	5510-99-6	Oc1c(cccc1C(C)CC)C(C)CC	Test	1
87	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	1
88	52829-07-9	O=C(OC1C(C)(C)CNCC1(C)(C))CCCCCCCCC(=O)OC2C(C)(C)CNCC2(C)(C)	Training	1
89	611-19-8	c1ccc(c(c1)CCl)Cl	Training	1
90	25377-73-5	O=C1OC(=O)C(C=CCCCCCCCCCC)C1	Training	1
91	88-18-6	Oc1ccccc1C(C)(C)C	Test	1
92	95-75-0	c1cc(c(cc1C)Cl)Cl	Training	1
93	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	1
94	132-65-0	c1ccc3c(c1)c2ccccc2s3	Training	1
95	599-64-4	Oc1ccc(cc1)C(c2ccccc2)(C)C	Training	1
96	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Test	1
97	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	1
98	122-40-7	O=CC(=Cc1ccccc1)CCCCC	Training	1
99	13048-33-4	O=C(OCCCCCCOC(=O)C=C)C=C	Test	1
100	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	1
101	120-95-6	Oc1ccc(cc1C(C)(C)CC)C(C)(C)CC	Training	1
102	19398-61-9	c1cc(c(cc1Cl)C)Cl	Test	1
103	141-32-2	O=C(OCCCC)C=C	Test	1
104	2409-55-4	Oc1ccc(cc1C(C)(C)C)C	Training	1
105	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Training	1
106	118-79-6	Oc1c(cc(cc1Br)Br)Br	Training	1
107	112-12-9	O=C(C)CCCCCCCCC	Training	1
108	111-30-8	O=CCCCC=O	Test	1
109	88-60-8	Oc1cc(ccc1C(C)(C)C)C	Test	1
110	95-70-5	Nc1ccc(N)c(c1)C	Test	1
111	84-61-7	O=C(OC1CCCCC1)c3ccccc3(C(=O)OC2CCCCC2)	Training	1
112	542-75-6	C(=CCl)CCl	Training	1
113	135-19-3	Oc1ccc2ccccc2(c1)	Training	1
114	2243-62-1	Nc1cccc2c(N)cccc12	Training	1
115	544-63-8	O=C(O)CCCCCCCCCCCCC	Training	1
116	90-13-1	c1ccc2c(c1)cccc2Cl	Test	1
117	14938-35-3	Oc1ccc(cc1)CCCCC	Training	1
118	2479-46-1	O(c1ccc(N)cc1)c3cccc(Oc2ccc(N)cc2)c3	Test	1
119	140-88-5	O=C(OCC)C=C	Training	1
