ID Algae EC50	CAS	VEGA SMILES	split Algae EC50	Box-Cox  Algae EC50
3	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	-4.766723956
8	57-14-7	NN(C)C	Training	-2.601484659
10	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	-5.296398193
11	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	-4.001966017
13	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	-3.401769999
14	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	-3.653040703
15	60-24-2	OCCS	Training	-4.983607275
16	60-34-4	NNC	Training	-4.290896004
18	61-82-5	n1cnc(N)[nH]1	Training	-0.254651401
19	62-53-3	Nc1ccccc1	Training	0.168242009
21	63-74-1	O=S(=O)(N)c1ccc(N)cc1	Training	-1.876893833
27	69-72-7	O=C(O)c1ccccc1(O)	Test	-0.733589944
30	75-07-0	O=CC	Training	-0.5170979
31	75-08-1	CCS	Training	-2.729283986
35	75-27-4	C(Cl)(Cl)Br	Training	-2.378664944
41	75-91-2	OOC(C)(C)C	Training	-3.790785771
43	75-98-9	O=C(O)C(C)(C)C	Training	-0.429399551
51	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	-1.729885009
52	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	0.519284227
55	78-79-5	C=CC(=C)C	Training	-0.015726592
56	78-87-5	CC(CCl)Cl	Training	0.225034588
58	79-01-6	C(=C(Cl)Cl)Cl	Training	-0.513609948
59	79-10-7	O=C(O)C=C	Training	-3.907227098
60	79-11-8	O=C(O)CCl	Training	-5.14295722
62	79-19-6	NNC(N)=S	Training	-1.483797668
64	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	-3.518862663
66	80-04-6	OC1CCC(CC1)C(C)(C)C2CCC(O)CC2	Training	-1.046729872
67	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	-3.383415662
74	83-32-9	c2cc1cccc3c1c(c2)CC3	Test	-4.005810999
78	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Training	-4.247156967
79	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Test	-3.958155131
80	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	-4.652043597
82	85-44-9	O=C1OC(=O)c2ccccc12	Training	-0.757017338
85	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	-4.487723692
87	87-59-2	Nc1cccc(c1C)C	Training	-1.042925146
88	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	-4.021325286
92	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	-4.71769152
93	88-05-1	Nc1c(cc(cc1C)C)C	Training	-1.522781882
94	88-09-5	O=C(O)C(CC)CC	Training	-0.456402581
95	88-18-6	Oc1ccccc1C(C)(C)C	Training	-4.040278354
96	88-19-7	O=S(=O)(N)c1ccccc1C	Training	-0.006070823
98	88-60-8	Oc1cc(ccc1C(C)(C)C)C	Test	-3.830007752
99	88-74-4	O=[N+]([O-])c1ccccc1(N)	Test	-1.098816008
100	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	-2.821201067
101	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	-4.320040091
104	89-63-4	O=[N+]([O-])c1cc(ccc1(N))Cl	Test	-2.711977681
105	89-64-5	O=[N+]([O-])c1cc(ccc1(O))Cl	Training	-2.969314939
106	89-72-5	Oc1ccccc1C(C)CC	Test	-2.770451758
107	89-83-8	Oc1cc(ccc1C(C)C)C	Training	-2.185770025
108	90-02-8	O=Cc1ccccc1(O)	Training	-2.895431801
110	90-05-1	Oc1ccccc1(OC)	Training	0.799276676
111	90-12-0	c1ccc2c(c1)cccc2C	Test	-3.433306852
113	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Test	-6.554283864
115	91-15-6	N#Cc1ccccc1(C#N)	Training	0.089599451
117	91-22-5	n1cccc2ccccc12	Training	-0.655109498
118	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	-0.954296529
119	91-53-2	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	-4.725093305
120	91-57-6	c1ccc2cc(ccc2(c1))C	Test	-3.72391816
121	91-59-8	Nc1ccc2ccccc2(c1)	Training	-4.670904068
122	91-66-7	c1ccc(cc1)N(CC)CC	Training	-3.469994727
123	91-76-9	n1c(nc(nc1N)c2ccccc2)N	Training	-0.936761795
124	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	-4.353862767
126	92-52-4	c1ccc(cc1)c2ccccc2	Training	-4.418224432
127	92-69-3	Oc1ccc(cc1)c2ccccc2	Training	-3.684094094
128	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	-1.038155545
129	92-84-2	c1ccc3c(c1)Nc2ccccc2S3	Test	-4.629175167
130	92-88-6	Oc1ccc(cc1)c2ccc(O)cc2	Training	-3.092980648
131	93-15-2	O(c1ccc(cc1(OC))CC=C)C	Training	-1.94542959
132	93-68-5	O=C(Nc1ccccc1C)CC(=O)C	Training	1.434876206
136	95-31-8	n2c1ccccc1sc2SNC(C)(C)C	Training	-6.025818219
138	95-33-0	n2c1ccccc1sc2SNC3CCCCC3	Training	-5.819146663
139	95-47-6	c1ccc(c(c1)C)C	Training	-4.139023757
140	95-49-8	c1ccc(c(c1)C)Cl	Test	-2.528161323
142	95-51-2	Nc1ccccc1Cl	Training	-1.434852774
143	95-53-4	Nc1ccccc1C	Test	0.114432117
144	95-54-5	Nc1ccccc1(N)	Test	-4.134688729
145	95-55-6	Oc1ccccc1(N)	Training	-5.278431852
146	95-64-7	Nc1ccc(c(c1)C)C	Training	-2.414381337
147	95-70-5	Nc1ccc(N)c(c1)C	Training	-3.572794626
149	95-76-1	Nc1ccc(c(c1)Cl)Cl	Test	-2.87449954
150	95-78-3	Nc1cc(ccc1C)C	Test	-1.329352042
151	95-80-7	Nc1ccc(c(N)c1)C	Training	-1.791618715
152	95-81-8	Nc1cc(ccc1Cl)C	Training	-2.993921383
153	95-82-9	Nc1cc(ccc1Cl)Cl	Test	-2.558714162
154	95-87-4	Oc1cc(ccc1C)C	Test	-1.367383361
155	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Test	-4.128325723
156	96-09-3	O1CC1c2ccccc2	Training	-1.485993202
157	96-12-8	C(C(CBr)Br)Cl	Training	-1.267708588
158	96-23-1	OC(CCl)CCl	Training	1.686162572
159	96-29-7	ON=C(C)CC	Training	-1.5975114
160	96-33-3	O=C(OC)C=C	Test	-2.965115772
161	96-76-4	Oc1ccc(cc1C(C)(C)C)C(C)(C)C	Training	-4.447719008
162	96-96-8	O=[N+]([O-])c1cc(OC)ccc1(N)	Training	-2.409902137
163	97-00-7	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl	Training	-5.547961958
164	97-39-2	N=C(Nc1ccccc1C)Nc2ccccc2C	Training	-2.966640001
165	97-88-1	O=C(OCCCC)C(=C)C	Training	-1.709745355
169	98-08-8	FC(F)(F)c1ccccc1	Training	-2.944549133
170	98-51-1	c1cc(ccc1C)C(C)(C)C	Training	-3.117091561
173	98-83-9	C=C(c1ccccc1)C	Training	-2.869109872
174	98-87-3	c1ccc(cc1)C(Cl)Cl	Training	-1.672901765
175	99-04-7	O=C(O)c1cccc(c1)C	Test	-1.93551563
176	99-09-2	O=[N+]([O-])c1cccc(N)c1	Training	-1.120020173
