ID Algae NOEC	CAS	VEGA SMILES	split Algae NOEC	Box-Cox Algae NOEC
2	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	-11.19689803
8	57-14-7	NN(C)C	Training	-5.604117485
10	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	-8.525995401
11	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	-5.407021225
12	59-51-8	O=C(O)C(N)CCSC	Training	-4.646758673
13	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	-6.1647049
14	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	-6.515585766
15	60-24-2	OCCS	Training	-6.478873606
16	60-34-4	NNC	Training	-6.313761765
17	60-80-0	O=C1C=C(N(N1c2ccccc2)C)C	Training	-2.80891265
18	61-82-5	n1cnc(N)[nH]1	Training	-1.505887945
19	62-53-3	Nc1ccccc1	Training	-3.073801346
20	62-56-6	NC(N)=S	Training	-0.853992619
21	63-74-1	O=S(=O)(N)c1ccc(N)cc1	Training	-4.086203643
25	68-11-1	O=C(O)CS	Training	-5.41404951
27	69-72-7	O=C(O)c1ccccc1(O)	Training	-1.460532307
28	71-36-3	OCCCC	Training	0.899834824
29	75-05-8	N#CC	Training	2.961076324
30	75-07-0	O=CC	Training	-2.999310253
31	75-08-1	CCS	Training	-4.926904718
32	75-12-7	O=CN	Training	-1.471104164
33	75-18-3	CSC	Training	1.023764035
34	75-26-3	CC(C)Br	Test	-0.623508169
35	75-27-4	C(Cl)(Cl)Br	Training	-4.908564103
37	75-34-3	CC(Cl)Cl	Training	-0.041330731
41	75-91-2	OOC(C)(C)C	Training	-5.878079753
43	75-98-9	O=C(O)C(C)(C)C	Training	-0.766541159
52	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	-1.146624795
53	78-67-1	N#CC(N=NC(C#N)(C)C)(C)C	Training	-3.537404102
54	78-70-6	OC(C=C)(C)CCC=C(C)C	Training	-3.155553663
55	78-79-5	C=CC(=C)C	Training	-1.41684593
56	78-87-5	CC(CCl)Cl	Test	-2.241540144
57	78-93-3	O=C(C)CC	Training	0.256113778
58	79-01-6	C(=C(Cl)Cl)Cl	Training	-1.043529721
59	79-10-7	O=C(O)C=C	Training	-6.94155924
60	79-11-8	O=C(O)CCl	Training	-7.076472566
61	79-14-1	O=C(O)CO	Training	-1.967878667
62	79-19-6	NNC(N)=S	Training	-3.305823253
67	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	-5.962461716
70	80-51-3	O=S(=O)(NN)c2ccc(Oc1ccc(cc1)S(=O)(=O)NN)cc2	Training	-7.665669737
71	80-62-6	O=C(OC)C(=C)C	Training	-0.151003978
72	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	-6.891092284
73	83-32-9	c2cc1cccc3c1c(c2)CC3	Test	-6.393851977
76	84-61-7	O=C(OC1CCCCC1)c3ccccc3(C(=O)OC2CCCCC2)	Training	-4.734586741
