ID	CAS	SMILES	STATUS	EXP_VALUE
1	N.A.	COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2	TRAINING	1
2	N.A.	CCc1cc(C(C)=NOCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1	TRAINING	1
3	N.A.	CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1	TRAINING	1
4	N.A.	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	TRAINING	1
5	N.A.	CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1	TRAINING	1
6	N.A.	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	TRAINING	1
7	N.A.	CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	TRAINING	1
8	N.A.	Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1	TRAINING	0
9	N.A.	CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C	TRAINING	1
10	N.A.	CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1	TRAINING	1
11	N.A.	O=C(O)CNC(=O)c1ccccc1	TRAINING	0
12	N.A.	O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	TRAINING	1
13	N.A.	Cc1cccc(C)c1OCC(C)N	TRAINING	1
14	N.A.	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	TRAINING	1
15	N.A.	Clc1cccc(Cl)c1NC1=NCCN1	TRAINING	1
16	N.A.	CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1	TRAINING	1
17	N.A.	Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C	TRAINING	1
18	N.A.	COc1ccc2cc(C(C)C(=O)O)ccc2c1	TRAINING	1
19	N.A.	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1	TRAINING	1
20	N.A.	O=C1OC(C(O)CO)C(O)=C1O	TRAINING	0
21	N.A.	O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O	TRAINING	1
22	N.A.	CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1	TRAINING	1
23	N.A.	COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2CCCF	TRAINING	0
24	N.A.	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	TRAINING	1
25	N.A.	C=CC(N)CCC(=O)O	TRAINING	0
26	N.A.	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O	TRAINING	1
27	N.A.	Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21	TRAINING	1
28	N.A.	CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12	TRAINING	1
29	N.A.	O=C(Nc1ccc(CC2CCC(C(O)c3ccccc3)N2)cc1)C1CCc2nccc(=O)n21	TRAINING	0
30	N.A.	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1	TRAINING	1
31	N.A.	CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1	TRAINING	1
32	N.A.	O=[N+]([O-])OC1COC2C(O)COC12	TRAINING	1
33	N.A.	COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC	TRAINING	1
34	N.A.	CCOC(=O)C(N)Cc1ccc(-c2cc(OC(c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1	TRAINING	0
35	N.A.	CC(=O)Nc1ccc(O)cc1	TRAINING	1
36	N.A.	Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1	TRAINING	1
37	N.A.	CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3	TRAINING	1
38	N.A.	COC(=O)OCOc1c2n(ccc1=O)N(C1c3ccccc3SCc3c1ccc(F)c3F)C1COCCN1C2=O	TRAINING	0
39	N.A.	O=C(O)C(S)C(S)C(=O)O	TRAINING	1
40	N.A.	COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1	TRAINING	1
