labels,smiles
1,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
1,CCc1cc(C(C)=NOCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1
1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
1,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
1,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1
1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
1,CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
0,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1
1,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C
1,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1
0,O=C(O)CNC(=O)c1ccccc1
1,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
1,Cc1cccc(C)c1OCC(C)N
1,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
1,Clc1cccc(Cl)c1NC1=NCCN1
1,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1
1,Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C
1,COc1ccc2cc(C(C)C(=O)O)ccc2c1
1,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
0,O=C1OC(C(O)CO)C(O)=C1O
1,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O
1,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1
0,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2CCCF
1,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
0,C=CC(N)CCC(=O)O
1,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
1,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21
1,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
0,O=C(Nc1ccc(CC2CCC(C(O)c3ccccc3)N2)cc1)C1CCc2nccc(=O)n21
1,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
1,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1
1,O=[N+]([O-])OC1COC2C(O)COC12
1,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
0,CCOC(=O)C(N)Cc1ccc(-c2cc(OC(c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1
1,CC(=O)Nc1ccc(O)cc1
1,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1
1,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
0,COC(=O)OCOc1c2n(ccc1=O)N(C1c3ccccc3SCc3c1ccc(F)c3F)C1COCCN1C2=O
1,O=C(O)C(S)C(S)C(=O)O
1,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
1,CC(C)(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)NC=O
1,O=C([O-])CCCc1ccccc1
1,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
0,CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
1,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
1,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
0,NC(=O)CCC(N)C(=O)O
0,CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C
1,NCCCNCCSP(=O)(O)O
1,Cn1cc(-c2cc3c(N4CCN(c5ncc(C(C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
0,O=C(NN1C(=O)C2C3C=CC(C4CC34)C2C1=O)c1ccc(C(F)(F)F)cc1
0,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
0,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
1,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
0,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
1,NC(Cc1ccc(O)cc1)C(=O)O
0,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1
1,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
1,C#CCN(C)C(C)Cc1ccccc1
1,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1
1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
0,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1
1,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1
1,NNCCc1ccccc1
0,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
1,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1
1,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
1,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O
1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
1,COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4
1,CCCN(CCC)CCc1cccc2c1CC(=O)N2
0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
1,O=C1C2C3CCC(C3)C2C(=O)N1CC1CCCCC1CN1CCN(c2nsc3ccccc23)CC1
0,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
1,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
0,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
0,Nc1ccn(C2CSC(CO)O2)c(=O)n1
0,CC(=O)Nc1nnc(S(N)(=O)=O)s1
0,CC(Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
1,NC(=O)OC(Cn1ncnn1)c1ccccc1Cl
1,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
1,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
0,CCC1(c2ccccc2)C(=O)NCNC1=O
0,CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12
1,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)([O-])[O-]
1,C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1
1,CC(Cc1ccccc1)N(C)Cc1ccccc1
1,Cn1c(=O)c2c(ncn2C)n(C)c1=O
1,CN(C)CCC=C1c2ccccc2COc2ccccc21
