No.	CAS	SMILES	Status	Exp activity
1	N.A.	O(c1cc(c(OC)cc1CC)CC(N)C)C	Training	0
2	N.A.	Oc1ccc3c(c1)C4(C)(CCN(CCc2ccccc2)C(C3)C4(C))	Test	0
3	N.A.	Oc7ccc4cc7(Oc1cc2c(cc1(OC))CCN(C)C2Cc6ccc(Oc3c(O)c(OC)cc5c3C(C4)[N+](C)(C)CC5)cc6)	Training	0
4	N.A.	OC(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	Training	0
5	N.A.	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Test	0
6	N.A.	O=C4n2c1ccccc1c3c2C5N(CC3)CCCC5(C4)(CC)	Training	2
7	N.A.	FC(F)(F)c1cccc(c1)CC(NCC)C	Training	0
8	N.A.	O=C(Oc5ccc4c1c5(OC2C(OC(=O)C)C=CC3C(N(C)CCC123)C4))C	Training	0
9	N.A.	O=C(N)NC(C)(C)C	Training	0
10	N.A.	c1ccc(cc1)C(C)(C)CCl	Training	0
11	N.A.	O=C(c1ccccc1)C2(O)(CCCCC2)	Training	0
12	N.A.	O=C(C=Cc1ccc(cc1)Cl)C(C)(C)C	Training	0
13	N.A.	OC1CC(C)CCC1(C(C)C)	Training	0
14	N.A.	O(C)C(OC)Cc1ccccc1	Training	0
15	N.A.	O=C1OC(=O)C(CC=CCCCCCCCCC)C1	Training	0
16	N.A.	N#CCc1ccccc1[N+](=O)[O-]	Training	0
17	N.A.	OCC(=C(CO)Br)Br	Training	0
18	N.A.	O=CC=Cc1ccccc1	Training	0
19	N.A.	OCC(N)CC	Training	0
20	N.A.	O1C(C)CN(CC1C)CC(C)Cc2ccc(cc2)C(C)(C)C	Training	0
21	N.A.	O=C1CC(C)CCC1C(C)C	Training	0
22	N.A.	OCC=C(C)CCC=C(C)C	Training	0
23	N.A.	OCn1nc(cc1C)C	Training	0
24	N.A.	O=C(OCCC=CCC)c1ccccc1	Test	0
25	N.A.	O=C(OCCC=CCC)c1ccccc1(O)	Test	0
26	N.A.	OC4CCC2(C)(C(CCC1C3CCC(C(C)CCCC(C)C)C3(C)(CCC12))C4)	Training	0
27	N.A.	OCc1ccc(OC)cc1	Test	0
28	N.A.	O=C(OCC)COc1ccc(cc1)C	Training	0
29	N.A.	OC2=NC(c1ccccc1)C(N2C)C	Training	0
30	N.A.	O=C(c1ccccc1)c2cc(ccc2(O))Cl	Training	2
31	N.A.	OCCCCCCCCC=CCCCCCCCC	Training	0
32	N.A.	O=C(N)CCCCCCCC=CCCCCCCCC	Training	0
33	N.A.	O=CC=Cc1occc1	Training	0
34	N.A.	OCCCCC=CCCCC	Training	0
35	N.A.	O(c1ccc(cc1)C=CC)C	Training	0
36	N.A.	O=C(O)CCCCCCCC=CCCCCCC	Test	0
37	N.A.	O=[N+]([O-])C=C(NC)N(Cc1cnc(cc1)Cl)CC	Training	0
38	N.A.	O=CC=CC=CCCCCC	Training	0
39	N.A.	O(c1cc(c(OC)cc1C)CC(N)C)C	Test	0
40	N.A.	c1ccc(cc1)CC(NCC)C	Test	0
41	N.A.	NC(c1ccccc1)CC	Training	0
42	N.A.	OCCC(C)CCC=C(C)C	Training	0
43	N.A.	O=C2CCCCC2(NC)(c1ccccc1Cl)	Training	0
44	N.A.	O=C2NC(c1ccccc1)(C(=O)N2C)CC	Training	0
45	N.A.	OCCC=CCC	Training	0
46	N.A.	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	0
47	N.A.	O=C1NN=Cc2ccccc12	Training	0
48	N.A.	N#CC2(N=NC1(C#N)(CCCCC1))(CCCCC2)	Training	0
49	N.A.	O=[N+]([O-])c2ccc(Oc1ccc(cc1)[N+](=O)[O-])cc2	Training	0
50	N.A.	O(c1cccc(c1)C)CCOc2cccc(c2)C	Training	0
51	N.A.	c1ccc(cc1)c2cccc(c2)c3ccccc3	Training	1
52	N.A.	C(C(Br)Br)(Br)Br	Training	0
53	N.A.	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO	Training	0
54	N.A.	N(C(N(C)C)=S)C	Training	0
55	N.A.	N(C)(C)CCN(C)CCN(C)C	Training	0
56	N.A.	O=C(c1ccc(cc1)C(=O)C)C	Training	0
57	N.A.	O=C(C(Cl)Cl)C(C)(C)C	Training	0
58	N.A.	O=C(OC(C)(C)Cc1ccccc1)CCC	Training	0
59	N.A.	O=C(OCCCCCCCCCCOC(=O)C(=C)C)C(=C)C	Training	0
60	N.A.	O=C(O)CC(C(=O)O)C(C(=O)O)CC(=O)O	Training	0
61	N.A.	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	0
62	N.A.	c1ccc2c(c1)CNCC2	Training	0
63	N.A.	OC2c1ccccc1CCC2	Training	0
64	N.A.	O=C2c1ccccc1CCC2	Training	0
65	N.A.	c1c(cc(c(c1Cl)Cl)Cl)Cl	Test	0
66	N.A.	O=C1NC(=O)C2CC=CCC12	Training	0
67	N.A.	O=C(O)c1cccc(C(=O)O)c1(C(=O)O)	Training	0
68	N.A.	O=C1N=NNc2ccccc12	Training	0
69	N.A.	n1nc2ccccc2([nH]1)	Training	0
70	N.A.	c1cc(c(c(c1)Cl)Cl)Cl	Test	0
71	N.A.	c1c(c(cc(c1Cl)Cl)Cl)Cl	Test	0
72	N.A.	O=C(O)c1ccc(C(=O)O)c(c1)C(=O)O	Test	0
73	N.A.	O=C1C(=NNC(N1(N))=S)C(C)(C)C	Training	0
74	N.A.	c1cc(c(cc1Br)Br)Br	Training	0
75	N.A.	c1cc(c(cc1Cl)Cl)Cl	Test	0
76	N.A.	O(c1ccc(OC)c(OC)c1)C	Training	0
77	N.A.	O=C(OCCCCC(C)C)c1ccccc1(C(=O)OCCCCC(C)C)	Training	0
78	N.A.	C(C(CBr)Br)Cl	Training	0
79	N.A.	FC(F)(F)c1ccc(c(c1)Cl)Cl	Training	0
80	N.A.	c1ccc(c(c1)Cl)Cl	Training	0
81	N.A.	O(c1ccccc1(OCC))CC	Training	0
82	N.A.	c1ccc2c(c1)NC(C=C2C)(C)C	Training	0
83	N.A.	O=[N+]([O-])c1cccc(c1C)C	Test	0
84	N.A.	O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F	Training	0
85	N.A.	O=[N+]([O-])c1ccc(c(c1)C)C	Training	0
86	N.A.	O=[N+]([O-])c1cnc(n1C)C	Training	0
87	N.A.	O(c1ccccc1)CCOc2ccccc2	Test	0
88	N.A.	O=C(c1ccccc1)C(=O)c2ccccc2	Test	0
89	N.A.	O=C(c1ccccc1)Cc2ccccc2	Training	0
90	N.A.	c1ccc(cc1)NNc2ccccc2	Training	0
91	N.A.	O1CC1CCCCCCCCCCCC	Training	0
92	N.A.	OCC(O)COc1ccc(cc1)Cl	Training	0
93	N.A.	OCC(O)C	Training	0
94	N.A.	O=C(OCC(OC(=O)c1ccccc1)C)c2ccccc2	Test	0
95	N.A.	O=C(O)c1cc(cc(c1)C(=O)O)C(=O)O	Training	0
96	N.A.	n1c(nc(nc1N)C)OC	Training	0
97	N.A.	n1cnc(nc1N)Nc2ccc(cc2)Cl	Training	1
98	N.A.	c1c(cc(cc1Cl)Cl)Cl	Training	0
99	N.A.	Oc1cc(O)cc(O)c1	Training	0
100	N.A.	O(c1cc(OC)cc(OC)c1)C	Training	0
101	N.A.	c1c(cc(cc1C)C)C	Training	0
102	N.A.	O=C1N(C(=O)N(C(=O)N1Cc2c(cc(c(O)c2C)C(C)(C)C)C)Cc3c(cc(c(O)c3C)C(C)(C)C)C)Cc4c(cc(c(O)c4C)C(C)(C)C)C	Training	2
103	N.A.	N#CCCCC(C#N)CCC#N	Training	0
104	N.A.	N#Cc1cccc(C#N)c1	Training	0
105	N.A.	O=C(O)c1cccc(c1)C(=O)O	Test	0
106	N.A.	O=C(NN)c1cccc(c1)C(=O)NN	Training	0
107	N.A.	N=C(Nc1ccccc1C)Nc2ccccc2C	Training	0
108	N.A.	O=C(O)c2ccc(OCCCOc1ccc(cc1)C(=O)O)cc2	Training	0
109	N.A.	OCCC(O)C	Test	0
110	N.A.	OC(CCl)CCl	Training	0
111	N.A.	c1cc(cc(c1)Cl)Cl	Test	0
112	N.A.	c1c[n+](c(n1CCCCCCCCCC)C)CCCCCCCCCC	Test	2
113	N.A.	C=C(c1cccc(c1)C(=C)C)C	Test	0
114	N.A.	c1cc(cc(c1)C(C)C)C(C)C	Test	0
115	N.A.	O=[N+]([O-])c1c(cccc1C)C	Training	0
116	N.A.	O=[N+]([O-])c1ccc(cc1C)C	Test	0
117	N.A.	O=[N+]([O-])c1cc(cc(c1)C)C	Training	0
118	N.A.	O=[N+]([O-])c2cc1ccccc1c(c2)[N+](=O)[O-]	Test	0
119	N.A.	O=C1OCCO1	Training	0
120	N.A.	O=C(NC(C)C)NC(C)C	Training	0
121	N.A.	O=C1OC(=O)c2cc(ccc12)C	Training	0
122	N.A.	O=S1(=O)(OCCC1)	Training	0
123	N.A.	OCCCO	Training	0
124	N.A.	O=C(OCC(C)(C)COC(=O)c1ccccc1)c2ccccc2	Test	0
125	N.A.	O=C(O)c1ccc(cc1)C(=O)OC	Training	0
126	N.A.	OC(c1ccc(cc1)C(O)(C)C)(C)C	Training	0
127	N.A.	c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	Training	0
128	N.A.	OCCCCO	Training	0
129	N.A.	OCC1CCC(CO)CC1	Training	0
130	N.A.	N12(CCN(CC1)CC2)	Training	0
131	N.A.	c1cc(ccc1Br)Br	Training	0
132	N.A.	c1cc(ccc1Cl)Cl	Training	0
133	N.A.	c1cc(ccc1C(C)C)C(C)C	Training	0
134	N.A.	O=[N+]([O-])c1cc(ccc1C)C	Training	0
135	N.A.	c1ccc2c(c1)c(ccc2C)C	Test	0
136	N.A.	C1CSCCS1	Training	0
137	N.A.	O(CCCCOCC1OC1)CC2OC2	Training	1
138	N.A.	O=[N+]([O-])c2ccc(C=Cc1ccc(cc1)N(C)C)cc2	Training	1
139	N.A.	C1=CCCC=CCCC=CCC1	Training	0
140	N.A.	O=[N+]([O-])c2cccc1c2(cccc1[N+](=O)[O-])	Training	0
141	N.A.	c2cc1cc(ccc1c(c2)C)C	Test	0
142	N.A.	O1CCCCC12(OCCCC2)	Training	0
143	N.A.	O1C(C)(C)C2CCC1(C)CC2	Training	0
144	N.A.	NC(C)(C)C1CCC(N)(C)CC1	Training	0
145	N.A.	N1=C2N(CCC1)CCCCC2	Training	0
