ID	CAS	VEGA SMILES	Dataset	Experimental Activity
243	120-78-5	n2c1ccccc1sc2SSc4nc3ccccc3s4	Training	0
353	18640-74-9	n1ccsc1CC(C)C	Training	0
375	24295-03-2	O=C(c1nccs1)C	Training	0
382	19952-47-7	n1c(N)sc2cccc(c12)Cl	Training	0
384	5464-79-9	n1c(N)sc2cccc(OC)c12	Training	0
385	1477-42-5	n1c(N)sc2cccc(c12)C	Training	0
387	29676-71-9	O=C(O)Cc1nc(N)sc1	Training	0
403	96-50-4	n1ccsc1N	Training	0
406	59-49-4	O=C1Oc2ccccc2(N1)	Training	0
410	2516-40-7	n2c1ccccc1sc2Br	Training	0
475	120-75-2	n2c1ccccc1sc2C	Training	0
774	38205-60-6	O=C(c1c(nc(C)s1)C)C	Training	0
785	1072-67-9	n1oc(cc1N)C	Training	0
796	19932-84-4	O=C1Oc2cc(ccc2(N1))Cl	Training	0
979	78110-38-0	O=C(O)C(ON=C(C(=O)NC1C(=O)N(C1(C))S(=O)(=O)O)c2nc(N)sc2)(C)C	Training	0
1028	95-16-9	n1csc2ccccc12	Training	0
1188	86832-68-0	O=C(OCC2N(C(=O)C2(NC(=O)C(=NOCC(=O)O)c1nc(N)sc1))S(=O)(=O)O)N	Training	0
1192	91832-40-5	O=C(O)C3=C(C=C)CSC2N3(C(=O)C2(NC(=O)C(=NO)c1nc(N)sc1))	Training	0
1193	123171-59-5	O=C(O)C4=C(C[N+]1(C)(CCCC1))CSC3N4(C(=O)C3(NC(=O)C(=NOC)c2nc(N)sc2))	Training	0
1194	111696-23-2	O=C(OCOC(=O)C(C)(C)C)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(=NOC)c1nc(N)sc1))	Training	0
1195	79350-37-1	O=C(O)C3=C(C=C)CSC2N3(C(=O)C2(NC(=O)C(=NOCC(=O)O)c1nc(N)sc1))	Training	0
1205	80370-57-6	O=C(O)C4=C(CSC(=O)c1occc1)CSC3N4(C(=O)C3(NC(=O)C(=NOC)c2nc(N)sc2))	Training	0
1206	68401-82-1	O=C(O)C3=CCSC2N3(C(=O)C2(NC(=O)C(=NOC)c1nc(N)sc1))	Training	0
1243	95-25-0	O=C1Oc2ccc(cc2(N1))Cl	Training	0
1295	533-45-9	n1csc(c1C)CCCl	Training	0
1310	210880-92-5	O=[N+]([O-])N=C(NC)NCc1cnc(Cl)s1	Training	0
1312	642-78-4	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2Cl)C3SC4(C)(C)	Training	0
1614	152044-54-7	O=C2OC(C(=Cc1nc(C)sc1)C)CC3OC3(C)(CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C2)C)	Training	0
1705	76824-35-6	O=S(=O)(N=C(N)CCSCc1nc(N=C(N)N)sc1)N	Training	0
1723	17969-20-9	O=C(O)Cc2nc(c1ccc(cc1)Cl)sc2	Training	0
1907	10004-44-1	O=C1C=C(ON1)C	Training	0
1996	82558-50-7	O=C(Nc1onc(c1)C(C)(CC)CC)c2c(OC)cccc2(OC)	Training	0
1997	141112-29-0	O=C(c1cnoc1C2CC2)c3ccc(cc3S(=O)(=O)C)C(F)(F)F	Training	0
1998	18854-01-8	n1oc(cc1OP(OCC)(OCC)=S)c2ccccc2	Training	0
1999	34552-84-6	O=C(Nc1noc(c1)C)C3=C(O)c2ccccc2S(=O)(=O)N3C	Training	0
2070	136381-85-6	O=C(O)Cn2c(cc1ccccc12)C(=O)Nc3nc(cs3)c4ccccc4Cl	Training	0
2129	71125-38-7	O=C(Nc1ncc(C)s1)C3=C(O)c2ccccc2S(=O)(=O)N3C	Training	0
2248	78967-07-4	O=C(O)Cc3onc(c1ccc(OC)cc1)c3(c2ccc(OC)cc2)	Training	0
2316	21312-10-7	O=C(Nc1ccc(cc1)S(=O)(=O)Nc2noc(c2)C)C	Training	0
2418	61-57-4	O=C1NCCN1c2ncc([N+](=O)[O-])s2	Training	0
2421	140-40-9	O=C(Nc1ncc([N+](=O)[O-])s1)C	Training	0
2483	21256-18-8	O=C(O)CCc1nc(c(o1)c2ccccc2)c3ccccc3	Training	0
2507	144598-75-4	O=C1C(=C(N=C2N1CCCC2(O))C)CCN5CCC(c4noc3cc(F)ccc34)CC5	Training	0
2511	101001-34-7	O=C(OCC)Cn4cccc4(c3nc(c1ccc(OC)cc1)c(c2ccc(OC)cc2)s3)	Training	0
2604	85-73-4	O=C(O)c3ccccc3(C(=O)Nc1ccc(cc1)S(=O)(=O)Nc2nccs2)	Training	0
