id	CAS	SMI VEGA	Status	Exp (ave)
179	108-95-2	Oc1ccccc1	Training	1.247
324	66735-04-4	O=C(O)C(C)Cc1ccc(cc1)C(C)(C)C	Training	0.225
147	126-30-7	OCC(C)(C)CO	Training	0.275
235	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	1.116
477	526-78-3	O=C(O)C(C(C(=O)O)Br)Br	Training	0.145
16	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	3.017
728	36653-82-4	OCCCCCCCCCCCCCCCC	Training	2.435
58	35065-27-1	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	4.589
100	91-22-5	n1cccc2ccccc12	Training	0.895
144	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.623
732	71-43-2	c1ccccc1	Training	1.501
212	92-06-8	c1ccc(cc1)c2cccc(c2)c3ccccc3	Training	1.330
62	91-20-3	c1ccc2ccccc2(c1)	Training	1.977
592	104-43-8	Oc1ccc(cc1)CCCCCCCCCCCC	Training	2.673
376	111-41-1	OCCNCCN	Training	-0.115
272	96-45-7	N1C(NCC1)=S	Training	0.220
178	90-51-7	O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1)	Training	0.045
168	88-89-1	O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	0.223
28	603-11-2	O=C(O)c1cccc(c1(C(=O)O))[N+](=O)[O-]	Training	0.155
187	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	3.874
53	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	2.230
470	21564-17-0	N#CSCSc2nc1ccccc1s2	Training	1.775
115	57567-84-7	O=C(O)C1CCC(C)CC1(C(=O)O)	Training	-0.160
429	87-02-5	O=S(=O)(O)c1cc(O)c2ccc(N)cc2(c1)	Training	-0.160
314	107-13-1	N#CC=C	Training	1.140
650	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	2.848
368	504-24-5	n1ccc(N)cc1	Training	0.130
663	51-44-5	O=C(O)c1ccc(c(c1)Cl)Cl	Training	-0.170
764	3319-31-1	O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC	Training	-0.255
516	50853-70-8	O=C(O)C2C1C=CC(C)(C1)C2(C(=O)O)	Training	0.220
604	1141-38-4	O=C(O)c1ccc2cc(ccc2(c1))C(=O)O	Training	0.295
51	462-08-8	n1cccc(N)c1	Training	-0.190
266	1934-21-0	O=C(O)C=2NN(C(=O)C=2(N=Nc1ccc(cc1)S(=O)(=O)O))c3ccc(cc3)S(=O)(=O)O	Training	-0.030
760	1163-19-5	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	0.900
311	544-76-3	CCCCCCCCCCCCCCCC	Training	0.788
146	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	4.423
105	61-82-5	n1c[nH]nc1N	Training	-0.015
114	56113-42-9	O=C(O)c1c(C(=O)N)c(c(c(c1Cl)Cl)Cl)Cl	Training	-0.015
252	461-58-5	N#CNC(=N)N	Training	-0.015
86	591-27-5	Oc1cccc(N)c1	Training	1.100
119	126-33-0	O=S1(=O)(CCCC1)	Training	0.610
157	118-91-2	O=C(O)c1ccccc1Cl	Training	0.500
175	88-44-8	O=S(=O)(O)c1cc(ccc1(N))C	Training	0.100
180	17095-24-8	O=S(=O)(O)OCCS(=O)(=O)c4ccc(N=Nc1c(O)c3c(cc1S(=O)(=O)O)cc(c(N=Nc2ccc(cc2)S(=O)(=O)CCOS(=O)(=O)O)c3(N))S(=O)(=O)O)cc4	Training	0.540
234	81-16-3	O=S(=O)(O)c2c(N)ccc1ccccc12	Training	0.280
242	102-06-7	N=C(Nc1ccccc1)Nc2ccccc2	Training	0.800
250	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	0.980
260	680-31-9	O=P(N(C)C)(N(C)C)N(C)C	Training	-0.800
303	298-06-6	O(CC)P(OCC)(=S)S	Training	0.200
313	52789-62-5	O=S(=O)(O)c1cc(c2cccc(O)c2(c1(N)))S(=O)(=O)O	Training	0.400
374	130-13-2	O=S(=O)(O)c2ccc(N)c1ccccc12	Training	0.280
384	504-03-0	N1C(C)CCCC1C	Training	0.200
386	123-63-7	O1C(OC(OC1C)C)C	Training	-0.020
431	67-68-5	O=S(C)C	Training	0.100
446	1687-30-5	O=C(O)C1CCCCC1(C(=O)O)	Training	-0.200
481	839-90-7	O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO	Training	-0.300
533	109-09-1	n1ccccc1Cl	Training	0.780
561	6099-57-6	O=S(=O)(O)c2ccc(O)c1ccccc12	Training	0.610
588	149-30-4	n2c1ccccc1sc2S	Training	0.400
595	30171-80-3	O(c1ccccc1C(Br)Br)CC2OC2	Training	0.610
638	62-56-6	NC(N)=S	Training	-0.200
671	75-65-0	OC(C)(C)C	Training	0.200
687	88-98-2	O=C(O)C1CC=CCC1(C(=O)O)	Training	-0.200
731	156-43-4	O(c1ccc(N)cc1)CC	Training	0.500
735	26603-23-6	c1cc(ccc1Nc2ccc(cc2)CCCCCCCC)CCCCCCCC	Training	0.500
99	10496-18-1	CCCCCCCCCCSSCCCCCCCCCC	Training	1.150
647	121-92-6	O=C(O)c1cccc(c1)[N+](=O)[O-]	Training	0.350
656	108-78-1	n1c(nc(nc1N)N)N	Training	0.080
736	610-39-9	O=[N+]([O-])c1ccc(cc1[N+](=O)[O-])C	Training	-0.070
57	95-80-7	Nc1ccc(c(N)c1)C	Training	1.200
675	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	2.239
448	13674-87-8	O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl	Training	1.329
403	121-44-8	N(CC)(CC)CC	Training	0.195
205	75-15-0	C(=S)=S	Training	1.285
577	3674-75-7	c1ccc2c(c1)cc(c3ccccc23)CC	Training	2.500
751	122-20-3	OC(C)CN(CC(O)C)CC(O)C	Training	-0.730
251	10541-83-0	O=C(O)c1ccc(cc1)NC	Training	-0.110
296	25394-13-2	O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Training	-0.210
362	102-71-6	OCCN(CCO)CCO	Training	0.100
468	100-26-5	O=C(O)c1ncc(cc1)C(=O)O	Training	0.270
496	134-47-4	O=C(Nc1ccc2c(O)cc(cc2(c1))S(=O)(=O)O)Nc3ccc4c(O)cc(cc4(c3))S(=O)(=O)O	Training	-0.230
607	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.170
277	66-81-9	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	-0.035
418	2885-00-9	CCCCCCCCCCCCCCCCCCS	Training	-0.035
137	108-90-7	c1ccc(cc1)Cl	Training	1.655
623	76-93-7	O=C(O)C(O)(c1ccccc1)c2ccccc2	Training	-0.220
729	2027-17-0	c1ccc2cc(ccc2(c1))C(C)C	Training	4.034
170	1477-55-0	NCc1cccc(c1)CN	Training	-0.045
452	91-57-6	c1ccc2cc(ccc2(c1))C	Training	3.158
482	2050-76-2	Oc2c1ccccc1c(cc2Cl)Cl	Training	0.880
315	110-30-5	O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC	Training	0.320
49	81-88-9	O=C(O)c1ccccc1c3c4ccc(cc4([o+]c2cc(ccc23)N(CC)CC))N(CC)CC	Training	-0.235
11	66108-37-0	O=P(OCC(CCl)(CBr)CBr)(OC(CCl)CCl)OC(CCl)CCl	Training	2.292
213	95-57-8	Oc1ccccc1Cl	Training	1.443
209	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	0.150
255	86-87-3	O=C(O)Cc2cccc1ccccc12	Training	0.020
567	91-96-3	O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C	Training	-0.250
30	111-44-4	O(CCCl)CCCl	Training	0.657
498	61968-52-3	O=C(OCCN(c2ccc(N=Nc1ccc(cc1Cl)[N+](=O)[O-])c(c2)NC(=O)CC)CCOC(=O)C)C	Training	0.285
557	3229-00-3	C(C(CBr)(CBr)CBr)Br	Training	2.180
183	96-29-7	ON=C(C)CC	Training	0.180
