ID	CAS	MDL SMILES Structure	Status	Log BCF exp
1	3074-71-3	CCCCC(C)C(C)C	Test	3.32
2	111-84-2	CCCCCCCCC	Training	3.15
3	126690-66-2	C(=C(C)CC(C)C)C(C)C	Training	3.29
4	872-05-9	C=CCCCCCCCC	Test	3.22
5	123-48-8	C(=C(C)CC(C)(C)C)C(C)(C)C	Training	3.29
6	13475-82-6	CC(CC(C)(C)C)CC(C)(C)C	Training	3.56
7	13150-81-7	CCCCC(C)CCCC(C)C	Training	3.18
8	112-41-4	C=CCCCCCCCCCC	Training	3.4
9	112-40-3	CCCCCCCCCCCC	Training	3.23
10	25339-17-7	OCCCCCCCC(C)C	Training	2.51
11	27458-92-0	OCCCCCCCCCCC(C)C	Training	2.73
12	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	2.5
13	496-10-6	C1CCC2CCCC2(C1)	Training	2.91
14	493-02-7	C1CCC2CCCCC2(C1)	Training	3.52
15	933-12-0	C1=CC(C)CC(C)(C)C1	Training	2.87
16	1839-63-0	CC1CC(C)CC(C)C1	Test	3.34
17	50876-32-9	CC1CC(C)CC(C)(C)C1	Training	3.65
18	1678-98-4	CC(C)CC1CCCCC1	Training	3.3
19	91-20-3	c1ccc2ccccc2(c1)	Training	2.5
20	91-57-6	c1ccc2cc(ccc2(c1))C	Test	2.41
21	581-40-8	c1ccc2cc(c(cc2(c1))C)C	Training	2.71
22	575-41-7	c1ccc2c(c1)cc(cc2C)C	Training	2.91
23	829-26-5	c1cc(cc2cc(c(cc12)C)C)C	Training	3
24	108-67-8	c1c(cc(cc1C)C)C	Training	2.55
25	488-23-3	c1cc(c(c(c1C)C)C)C	Training	2.82
26	4175-54-6	c1ccc2c(c1)C(C)CCC2C	Training	3.12
27	25567-40-2	Oc1ccc(cc1C(C)(C)C)C	Training	2.87
28	208-96-8	c1cc2cccc3C=Cc(c1)c23	Training	2.11
29	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	2.78
30	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	2.99
31	85-01-8	c1ccc3c(c1)ccc2ccccc23	Test	3.01
32	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	2.56
33	605-02-7	c1ccc(cc1)c3cccc2ccccc23	Training	3.51
34	613-12-7	c1ccc2cc3cc(ccc3(cc2(c1)))C	Training	2.41
35	779-02-2	c1ccc3c(c1)cc2ccccc2c3C	Training	2.72
36	832-69-9	c1ccc3c(c1)ccc2c3(cccc2C)	Training	3.18
37	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Test	2.71
38	2381-21-7	c1cc2ccc3ccc(c4ccc(c1)c2c34)C	Training	2.73
39	217-59-4	c1ccc3c(c1)c2ccccc2c4ccccc34	Training	2.41
40	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	2.54
41	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Test	2.24
42	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	2.69
43	198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	Training	2.38
44	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	2.8
45	5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	Training	3.66
46	74918-40-4	o2c1cc(ccc1c3cccc(c23)Cl)Cl	Test	3.01
47	29446-15-9	O1c3ccccc3(Oc2cc(c(cc12)Cl)Cl)	Training	2.88
48	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	4.52
49	33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Test	2.22
50	83704-22-7	o2c1cc(ccc1c3c2cc(c(c3Cl)Cl)Cl)Cl	Training	3.41
51	62615-08-1	o2c1ccc(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl	Training	3.11
52	39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	Training	2.97
53	30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	Training	3.5
54	67028-18-6	O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl	Training	3.35
55	355-46-4	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	3.6
