ID	CAS	MDL SMILES Structure	Status	Log BCF exp	LOO Knn Prediction
1	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	3.605	4.2177205007
2	50-30-6	O=C(O)c1c(cccc1Cl)Cl	Training	-0.222	0.3385750495
3	50-31-7	O=C(O)c1c(ccc(c1Cl)Cl)Cl	Training	0.073	0.7908628214
4	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	2.731	2.5306148277
5	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	0.052	0.4830050697
6	51-44-5	O=C(O)c1ccc(c(c1)Cl)Cl	Training	-0.169	0.3188756495
7	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	2.8	2.516939242
8	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	2.26	1.0098986416
9	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	1.03	1.1323089281
10	56-35-9	O([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC	Training	3.994	2.3110519458
11	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	2.106	1.7381686288
12	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	2.54	2.5235095718
13	57-15-8	OC(C)(C)C(Cl)(Cl)Cl	Training	0.301	0.4743084569
14	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	2.006	2.2926073079
15	59-50-7	Oc1ccc(c(c1)C)Cl	Training	1.016	1.0366355394
16	60-29-7	O(CC)CC	Training	0.475	0.504258953
17	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	0.156	-0.3731099761
18	61-82-5	n1c[nH]nc1N	Training	-0.016	0.0882512774
19	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	0.977	0.3593845193
20	62-53-3	Nc1ccccc1	Training	0.307	0.7832885042
21	62-56-6	NC(N)=S	Training	-0.199	-0.1739762307
22	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	-0.199	-0.0296339229
23	66-81-9	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	-0.038	0.758513292
24	67-66-3	C(Cl)(Cl)Cl	Training	0.799	0.8100389782
25	67-68-5	O=S(C)C	Training	0.102	-999
26	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.115	1.3081535039
27	68-12-2	O=CN(C)C	Training	-0.107	0.1716070106
28	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	2.123	-999
29	71-55-6	CC(Cl)(Cl)Cl	Training	0.475	1.1306867185
30	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	4.51	3.9029944887
31	74-31-7	c1ccc(cc1)Nc2ccc(cc2)Nc3ccccc3	Training	3.133	2.4182555903
32	74-97-5	C(Cl)Br	Training	0.454	1.0287623058
33	75-09-2	C(Cl)Cl	Training	1.066	0.6909643438
34	75-15-0	C(=S)=S	Training	1.282	-999
35	75-25-2	C(Br)(Br)Br	Training	1.219	0.7398746159
36	75-35-4	C=C(Cl)Cl	Training	0.88	1.4357856925
37	75-65-0	OC(C)(C)C	Training	0.366	0.2279756433
38	75-71-8	FC(F)(Cl)Cl	Training	0.877	1.3613351879
39	75-98-9	O=C(O)C(C)(C)C	Training	0.096	0.0579652073
40	75-99-0	O=C(O)C(C)(Cl)Cl	Training	0.664	0.1881784774
41	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	0.025	0.40851862
42	76-12-0	FC(C(F)(Cl)Cl)(Cl)Cl	Training	1.901	1.50394011
43	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	1.623	1.4638471942
44	76-83-5	c1ccc(cc1)C(c2ccccc2)(c3ccccc3)Cl	Training	2.623	2.8996348775
45	76-87-9	O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3	Training	3.494	2.8645133511
46	76-93-7	O=C(O)C(O)(c1ccccc1)c2ccccc2	Training	-0.222	1.4282801885
47	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	1.182	3.8552943389
48	78-40-0	O=P(OCC)(OCC)OCC	Training	-0.095	0.0153017151
49	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	1.014	1.1829076595
50	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	0.582	0.8502035894
51	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	0.39	1.8405996645
52	78-79-5	C=CC(=C)C	Training	1.133	2.6294632002
53	79-00-5	C(C(Cl)Cl)Cl	Training	0.533	1.0133066959
54	79-01-6	C(=C(Cl)Cl)Cl	Training	1.114	1.3630116419
55	79-27-6	C(C(Br)Br)(Br)Br	Training	0.77	1.0065819909
56	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	1.03	1.1056475529
57	79-46-9	O=[N+]([O-])C(C)C	Training	0.321	0.0764998477
58	79-92-5	C=C2C1CCC(C1)C2(C)C	Training	2.97	3.1979114771
59	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	2.479	2.3578915127
60	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	1.389	1.2717869012
61	80-43-3	O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C	Training	2.881	1.3576629849
62	81-11-8	O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Training	0.28	0.3759521335
63	81-15-2	O=[N+]([O-])c1c(c(c(c(c1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C	Training	3.651	2.136072046
64	81-16-3	O=S(=O)(O)c2c(N)ccc1ccccc12	Training	0.278	0.4840465199
65	81-88-9	O=C(O)c1ccccc1C=3c4ccc(cc4(OC2=CC(C=CC2=3)=[N+](CC)CC))N(CC)CC	Training	-0.234	1.6051261539
66	82-05-3	O=C2c1ccccc1c4cccc3cccc2c34	Training	2.142	1.6592327155
67	82-44-0	O=C2c3ccccc3(C(=O)c1c2(cccc1Cl))	Training	2.421	2.0943505585
68	82-45-1	O=C1c3ccccc3(C(=O)c2c(N)cccc12)	Training	2.075	2.0368675845
69	82-47-3	O=S(=O)(O)c1cc(c2cccc(O)c2(c1(N)))S(=O)(=O)O	Training	0.9	0.2330287858
70	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	2.963	3.3347422234
71	84-51-5	O=C1c3ccccc3(C(=O)c2cc(ccc12)CC)	Training	2.207	2.0916334272
72	84-57-1	O=C1N(N=C(C)C1)c2cc(c(cc2Cl)S(=O)(=O)O)Cl	Training	0.801	1.0078203866
73	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	2.229	1.1326117969
74	84-86-6	O=S(=O)(O)c2ccc(N)c1ccccc12	Training	0.78	0.3453725266
75	84-87-7	O=S(=O)(O)c2ccc(O)c1ccccc12	Training	1.11	0.2665858782
76	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	3.312	2.8050160078
77	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	0.805	1.5363373954
78	85-83-6	Oc3ccc4ccccc4(c3(N=Nc2ccc(N=Nc1ccccc1C)cc2C))	Training	0.752	0.8409838868
79	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	1.482	2.3731555952
80	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	2.813	3.0019575309
81	86-87-3	O=C(O)Cc2cccc1ccccc12	Training	0.107	0.2299314162
82	87-02-5	O=S(=O)(O)c1cc(O)c2ccc(N)cc2(c1)	Training	-0.159	0.5634429984
83	87-40-1	O(c1c(cc(cc1Cl)Cl)Cl)C	Training	2.806	2.8913138416
84	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	2.955	3.409763593
85	87-65-0	Oc1c(cccc1Cl)Cl	Training	1.26	1.5894693209
86	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	3.809	1.4479710698
87	87-83-2	c1(c(c(c(c(c1Br)Br)Br)Br)Br)C	Training	2.459	3.6192898995
88	87-84-3	C1(C(C(C(C(C1Br)Br)Br)Br)Br)Cl	Training	2.449	2.9052517936
89	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	2.666	2.5911233605
90	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	1.893	1.9163657051
91	88-19-7	O=S(=O)(N)c1ccccc1C	Training	0.156	0.2808794585
92	88-44-8	O=S(=O)(O)c1cc(ccc1(N))C	Training	0.102	0.3481073167
93	88-72-2	O=[N+]([O-])c1ccccc1C	Training	1.344	0.9207537282
94	88-73-3	O=[N+]([O-])c1ccccc1Cl	Training	1.714	1.3343275982
95	88-74-4	O=[N+]([O-])c1ccccc1(N)	Training	0.69	0.7252608117
96	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	0.999	0.906877409
97	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	0.476	0.7683658502
98	88-89-1	O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	-0.139	0.4950206272
99	88-98-2	O=C(O)C1CC=CCC1(C(=O)O)	Training	-0.199	-0.0413236321
100	89-63-4	O=[N+]([O-])c1cc(ccc1(N))Cl	Training	1.074	1.5268110378
101	89-93-0	NCc1ccccc1C	Training	0.475	0.6791243906
102	90-20-0	O=S(=O)(O)c1cc(O)c2c(N)cc(cc2(c1))S(=O)(=O)O	Training	0.46	0.2817844506
103	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Training	3.316	2.5285107849
104	90-41-5	Nc1ccccc1c2ccccc2	Training	1.47	1.7658337634
105	90-51-7	O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1)	Training	0.159	0.4718400549
106	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	1.591	1.3949335948
107	91-15-6	N#Cc1ccccc1(C#N)	Training	0.401	0.7324611262
108	91-20-3	c1ccc2ccccc2(c1)	Training	2.36	3.2585444293
109	91-22-5	n1cccc2ccccc12	Training	0.396	2.0415341374
110	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	0.486	0.8603587123
111	91-57-6	c1ccc2cc(ccc2(c1))C	Training	3.11	3.288076537
112	91-58-7	c1ccc2cc(ccc2(c1))Cl	Training	3.63	2.7137047444
113	91-66-7	c1ccc(cc1)N(CC)CC	Training	2.065	1.1665695044
114	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	2.289	2.8864731089
115	91-96-3	O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C	Training	-0.247	1.4795885568
116	92-69-3	Oc1ccc(cc1)c2ccccc2	Training	1.677	1.8708419772
117	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	0.318	0.9041167659
118	92-77-3	O=C(Nc1ccccc1)c2cc3ccccc3(cc2(O))	Training	0.698	1.3729427158
119	92-84-2	c1ccc3c(c1)Nc2ccccc2S3	Training	2.671	2.3733391934
120	92-86-4	c1cc(ccc1c2ccc(cc2)Br)Br	Training	3.995	3.2170453194
121	94-52-0	O=[N+]([O-])c1ccc2[nH]cnc2(c1)	Training	0.232	0.5231699306
122	95-48-7	Oc1ccccc1C	Training	1.03	0.9251368775
123	95-49-8	c1ccc(c(c1)C)Cl	Training	1.905	1.7805894588
124	95-50-1	c1ccc(c(c1)Cl)Cl	Training	2.5	2.7871203225
125	95-51-2	Nc1ccccc1Cl	Training	0.913	0.8610168972
126	95-56-7	Oc1ccccc1Br	Training	1.514	1.1625788202
127	95-57-8	Oc1ccccc1Cl	Training	1.061	1.075479989
128	95-63-6	c1cc(c(cc1C)C)C	Training	2.256	2.5709768443
129	95-64-7	Nc1ccc(c(c1)C)C	Training	0.645	0.6557862568
130	95-69-2	Nc1ccc(cc1C)Cl	Training	1.205	0.7477716331
131	95-76-1	Nc1ccc(c(c1)Cl)Cl	Training	1.148	1.7413170973
