ID	CAS	SMILES Structure	Status	Log BCF exp
1	50-30-6	O=C(O)c1c(cccc1Cl)Cl	Training	0.26
2	50-31-7	O=C(O)c1c(ccc(c1Cl)Cl)Cl	Training	0.54
3	51-44-5	O=C(O)c1ccc(c(c1)Cl)Cl	Training	0.36
4	75-98-9	O=C(O)C(C)(C)C	Training	0.36
5	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	0.23
6	76-93-7	O=C(O)C(O)(c1ccccc1)c2ccccc2	Training	0.26
7	81-16-3	O=S(=O)(O)c2c(N)ccc1ccccc12	Training	0.78
8	84-57-1	O=C1N(N=C(C)C1)c2cc(c(cc2Cl)S(=O)(=O)O)Cl	Training	1.51
9	86-87-3	O=C(O)Cc2cccc1ccccc12	Training	0.47
10	87-02-5	O=S(=O)(O)c1cc(O)c2ccc(N)cc2(c1)	Training	0.38
11	88-44-8	O=S(=O)(O)c1cc(ccc1(N))C	Training	0.6
12	88-98-2	O=C(O)C1CC=CCC1(C(=O)O)	Training	0.3
13	90-51-7	O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1)	Training	0.61
14	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	0.6
15	98-73-7	O=C(O)c1ccc(cc1)C(C)(C)C	Training	0.66
16	100-26-5	O=C(O)c1ncc(cc1)C(=O)O	Training	0.76
17	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	0.32
18	118-91-2	O=C(O)c1ccccc1Cl	Training	1
19	121-92-6	O=C(O)c1cccc(c1)[N+](=O)[O-]	Training	0.85
20	127-20-8	O=C(O)C(C)(Cl)Cl	Training	0.86
21	127-27-5	O=C(O)C2(C)(CCCC3(C)(C1C(=CC(C=C)(C)CC1)CCC23))	Training	1.92
22	127-68-4	O=[N+]([O-])c1cccc(c1)S(=O)(=O)O	Training	0.7
23	130-13-2	O=S(=O)(O)c2ccc(N)c1ccccc12	Training	0.78
25	471-77-2	O=C(O)C2(C)(CCCC3(C)(C1C(=CC(=C(C)C)CC1)CCC23))	Training	2.17
26	514-10-3	O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))	Training	1.97
27	526-78-3	O=C(O)C(C(C(=O)O)Br)Br	Training	0.81
28	577-11-7	O=C(OCC(CC)CCCC)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	Training	0.97
