ID	CAS	SMILES	Status	Exp class	LOO Knn Prediction
1	52918-63-5	CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Training	0	0
2	131929-60-7	CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC	Training	0	2
3	80844-07-1	CCOc1ccc(cc1)C(C)(C)COCc1cccc(Oc2ccccc2)c1	Training	0	0
4	66841-24-5	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Training	0	0
5	23031-36-9	CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C	Training	0	1
6	68359-37-5	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1	Training	0	0
7	91465-08-6	CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Training	0	0
8	25311-71-1	CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C	Training	0	1
9	7786-34-7	COC(=O)C=C(C)OP(=O)(OC)OC	Training	0	1
10	105827-78-9	[O-][N+](=O)N=C1NCCN1Cc1ccc(Cl)nc1	Training	0	2
11	66441-23-4	CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1	Training	0	2
12	82-68-8	[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	Training	0	2
13	2921-88-2	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	Training	0	2
14	120116-88-3	CN(C)S(=O)(=O)n1c(nc(Cl)c1-c1ccc(C)cc1)C#N	Training	0	2
15	141112-29-0	CS(=O)(=O)c1cc(ccc1C(=O)c1cnoc1C1CC1)C(F)(F)F	Training	0	2
16	66841-25-6	CC1(C)C(C(Br)C(Br)(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Training	0	0
17	1563-66-2	CNC(=O)Oc1cccc2CC(C)(C)Oc12	Training	0	0
18	60-51-5	CNC(=O)CSP(=S)(OC)OC	Training	0	1
19	16752-77-5	CNC(=O)ON=C(C)SC	Training	0	0
20	56-38-2	CCOP(=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O	Training	0	0
21	121-75-5	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	Training	0	0
22	113136-77-9	OC(=O)C1(CC1)C(=O)Nc1ccc(Cl)cc1Cl	Training	0	2
23	333-41-5	CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C	Training	0	0
24	950-37-8	COC1=NN(CSP(=S)(OC)OC)C(=O)S1	Training	0	0
25	116-06-3	CNC(=O)ON=CC(C)(C)SC	Training	0	0
26	2032-65-7	CNC(=O)Oc1cc(C)c(SC)c(C)c1	Training	0	0
27	N/A	CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1	Training	0	0
28	55-38-9	COP(=S)(OC)Oc1ccc(SC)c(C)c1	Training	0	0
29	122-14-5	COP(=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O	Training	0	0
30	29232-93-7	CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1	Training	0	0
31	86-50-0	COP(=S)(OC)SCN1N=Nc2ccccc2C1=O	Training	0	0
32	22781-23-3	CNC(=O)Oc1cccc2OC(C)(C)Oc12	Training	0	0
33	62-73-7	COP(=O)(OC)OC=C(Cl)Cl	Training	0	0
34	58-89-9	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	Training	0	2
35	732-11-6	COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O	Training	0	0
36	298-04-4	CCOP(=S)(OCC)SCCSCC	Training	0	1
37	69409-94-5	CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Training	1	0
38	63-25-2	CNC(=O)Oc1cccc2ccccc12	Training	1	0
39	114-26-1	CNC(=O)Oc1ccccc1OC(C)C	Training	1	0
40	22248-79-9	COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl	Training	1	2
41	10265-92-6	COP(N)(=O)SC	Training	1	2
42	22224-92-6	CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1	Training	1	0
43	72-20-8	ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl	Training	1	0
44	8065-48-3	CCOP(=O)(OCC)SCCSCC	Training	1	1
45	128639-02-1	CCOC(=O)C(Cl)Cc1cc(N2N=C(C)N(C(F)F)C2=O)c(F)cc1Cl	Training	1	2
46	28434-00-6	CC(C)=CC1C(C(=O)OC2CC(=O)C(CC=C)=C2C)C1(C)C	Training	1	0
47	125401-92-5	COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(O)=O)n1	Training	1	2
48	13194-48-4	CCCSP(=O)(OCC)SCCC	Training	1	1
49	115-29-7	ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl	Training	1	2
50	134-20-3	COC(=O)c1ccccc1N	Training	1	2
51	944-22-9	CCOP(=S)(CC)Sc1ccccc1	Training	1	0
52	74051-80-2	CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O	Training	1	1
53	298-02-2	CCOP(=S)(OCC)SCSCC	Training	1	1
54	142-59-6	SC(=S)NCCNC(S)=S	Training	1	1
55	2439-10-3	CCCCCCCCCCCCNC(N)=N	Training	1	2
56	133-07-3	ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O	Training	1	2
57	90982-32-4	CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1	Training	1	2
58	79277-27-3	COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	Training	1	2
59	150114-71-9	Nc1cc(Cl)nc(C(O)=O)c1Cl	Training	1	2
60	1689-84-5	Oc1c(Br)cc(cc1Br)C#N	Training	1	2
61	1861-40-1	CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	Training	1	1
62	94-82-6	OC(=O)CCCOc1ccc(Cl)cc1Cl	Training	1	2
63	1918-02-1	Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl	Training	1	2
64	23103-98-2	CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C	Training	1	0
65	563-12-2	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC	Training	1	1
66	72-43-5	COc1ccc(cc1)C(c1ccc(OC)cc1)C(Cl)(Cl)Cl	Training	1	1
67	741-58-2	CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1	Training	1	0
