ID	CAS	SMILES	Status	Exp_class
1	75-07-0	O=CC	Training	1
2	107-29-9	ON=CC	Training	0
3	60-35-5	O=C(N)C	Training	1
4	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	0
5	18523-69-8	O=[N+]([O-])c1oc(cc1)c2cnc(NN=C(C)C)s2	Training	1
6	75-05-8	N#CC	Training	0
7	127-06-0	ON=C(C)C	Test	1
8	34627-78-6	O=C(OC(C=C)c1ccc2OCOc2(c1))C	Training	1
9	4075-79-0	O=C(Nc1ccc(cc1)c2ccccc2)C	Test	1
10	28314-03-6	O=C(Nc2cccc3c1ccccc1Cc23)C	Training	0
11	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	1
12	28322-02-3	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	0
13	18699-02-0	O=C(O)Cc1ccc(cc1)NC(=O)C	Training	0
14	616-91-1	O=C(O)C(NC(=O)C)CS	Test	0
15	107-02-8	O=CC=C	Training	0
16	3054-95-3	O(CC)C(OCC)C=C	Training	0
17	5314-33-0	ON=CC=C	Training	0
18	7008-42-6	O=C2c1ccccc1N(c3c4C=CC(Oc4(cc(OC)c23))(C)C)C	Training	1
19	79-06-1	O=C(N)C=C	Training	1
20	79-10-7	O=C(O)C=C	Training	0
21	107-13-1	N#CC=C	Training	1
22	50-76-0	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	1
23	628-94-4	O=C(N)CCCCC(=O)N	Training	0
24	3688-53-7	O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2	Training	1
25	29611-03-8	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(O)CC5	Training	1
26	1162-65-8	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(=O)CC5	Test	1
27	22131-79-9	O=C(O)Cc1ccc(OCC=C)c(c1)Cl	Training	0
28	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	0
29	97-59-6	O=C(N)NC1NC(=O)NC1(=O)	Training	0
30	107-18-6	OCC=C	Training	0
31	106-92-3	O(CC=C)CC1OC1	Training	0
32	57-06-7	C(=NCC=C)=S	Test	1
33	2835-39-4	O=C(OCC=C)CC(C)C	Test	1
34	760-56-5	O=NN(C(=O)N)CC=C	Training	1
35	81-49-2	O=C1c3ccccc3(C(=O)c2c1c(N)c(cc2Br)Br)	Training	1
36	17026-81-2	O=C(Nc1ccc(OCC)c(N)c1)C	Training	0
37	82-28-0	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	1
38	3775-55-1	O=[N+]([O-])c1oc(cc1)c2nnc(o2)N	Training	1
39	712-68-5	O=[N+]([O-])c1oc(cc1)c2nnc(N)s2	Training	1
40	38514-71-5	O=[N+]([O-])c1oc(cc1)c2nc(N)sc2	Training	1
41	99-57-0	O=[N+]([O-])c1ccc(O)c(N)c1	Training	1
42	121-88-0	O=[N+]([O-])c1ccc(N)c(O)c1	Test	1
43	119-34-6	O=[N+]([O-])c1cc(N)ccc1(O)	Training	1
44	121-66-4	O=[N+]([O-])c1cnc(N)s1	Training	1
