No.	CAS	SMILES	Status	CARC
1	-	O=CC	Training	1
2	-	ON=CC	Training	0
3	-	O=C(N)C	Training	1
4	-	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	0
5	-	O=[N+]([O-])c1oc(cc1)c2cnc(NN=C(C)C)s2	Training	1
6	-	N#CC	Training	0
7	-	ON=C(C)C	Training	1
8	-	O=C(OC(C=C)c1ccc2OCOc2(c1))C	Training	1
9	-	O=C(Nc1ccc(cc1)c2ccccc2)C	Training	1
10	-	O=C(Nc2cccc3c1ccccc1Cc23)C	Training	0
11	-	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	1
12	-	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	0
13	-	O=C(O)Cc1ccc(cc1)NC(=O)C	Training	0
14	-	O=C(O)C(NC(=O)C)CS	Training	0
15	-	O=CC=C	Training	0
16	-	O(CC)C(OCC)C=C	Training	0
17	-	ON=CC=C	Training	0
18	-	O=C2c1ccccc1N(c3c4C=CC(Oc4(cc(OC)c23))(C)C)C	Training	1
19	-	O=C(N)C=C	Training	1
20	-	O=C(O)C=C	Training	0
21	-	N#CC=C	Training	1
22	-	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	1
23	-	O=C(N)CCCCC(=O)N	Training	0
24	-	O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2	Training	1
25	-	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(O)CC5	Training	1
26	-	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(=O)CC5	Training	1
27	-	O=C(O)Cc1ccc(OCC=C)c(c1)Cl	Training	0
28	-	O=C(ON=CC(C)(C)SC)NC	Training	0
29	-	O=C(N)NC1NC(=O)NC1(=O)	Training	0
30	-	OCC=C	Training	0
31	-	O(CC=C)CC1OC1	Training	0
32	-	C(=NCC=C)=S	Training	1
33	-	O=C(OCC=C)CC(C)C	Training	1
34	-	O=NN(C(=O)N)CC=C	Training	1
