No.	CAS	SMILES	Status	CARC
1	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	1
2	28322-02-3	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	0
3	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	0
4	67-66-3	C(Cl)(Cl)Cl	Training	1
5	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	1
6	56-57-5	O=[N+]([O-])c1cc[n+]([O-])c2ccccc12	Training	1
7	91-59-8	Nc1ccc2ccccc2(c1)	Training	1
8	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	1
9	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	1
10	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
12	680-31-9	O=P(N(C)C)(N(C)C)N(C)C	Training	1
13	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	1
14	96-45-7	N1C(NCC1)=S	Training	1
15	3068-88-0	O=C1OC(C)C1	Training	1
16	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	1
17	68-12-2	O=CN(C)C	Training	0
19	106-89-8	O1CC1CCl	Training	1
20	59-89-2	O=NN1CCOCC1	Training	1
21	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	0
22	57-57-8	O=C1OCC1	Training	1
23	71-55-6	CC(Cl)(Cl)Cl	Training	0
24	51-79-6	O=C(OCC)N	Training	1
25	79-44-7	O=C(N(C)C)Cl	Training	1
26	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	1
27	61-82-5	n1c[nH]nc1N	Training	1
28	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	1
29	592-62-1	O=C(OCN=[N+]([O-])C)C	Training	1
30	57-50-1	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	0
31	50-81-7	O=C1OC(C(O)=C1(O))C(O)CO	Training	0
32	636-21-5	Nc1ccccc1C	Training	1
33	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	1
34	57-06-7	C(=NCC=C)=S	Training	1
35	2835-39-4	O=C(OCC=C)CC(C)C	Training	1
36	2432-99-7	O=C(O)CCCCCCCCCCN	Training	1
37	71-43-2	c1ccccc1	Training	1
38	140-11-4	O=C(OCc1ccccc1)C	Training	0
39	2185-92-4	Nc1ccccc1c2ccccc2	Training	1
40	108-60-1	O(C(C)CCl)C(C)CCl	Training	1
41	106-99-0	C=CC=C	Training	1
43	124-48-1	C(Cl)(Br)Br	Training	1
44	2832-40-8	O=C(Nc2ccc(N=Nc1cc(ccc1(O))C)cc2)C	Training	1
45	842-07-9	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	1
46	21739-91-3	O=C([O-])C=C(C(=O)c1ccc(OC)cc1)Br	Training	1
48	96-12-8	C(C(CBr)Br)Cl	Training	1
49	106-93-4	C(CBr)Br	Training	1
50	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	1
51	78-87-5	CC(CCl)Cl	Training	1
52	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	1
53	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	1
54	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	1
55	140-88-5	O=C(OCC)C=C	Training	1
56	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	1
57	19408-74-3	O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl	Training	0
58	108-78-1	n1c(nc(nc1N)N)N	Training	1
59	13552-44-8	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	1
60	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	1
61	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	1
62	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	1
63	75-56-9	O1CC1C	Training	1
64	542-75-6	C(=CCl)CCl	Training	1
65	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	1
