No.	CAS	SMILES	Status	CARC
1	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	1
2	67-66-3	C(Cl)(Cl)Cl	Training	1
3	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	1
4	56-57-5	O=[N+]([O-])c1cc[n+]([O-])c2ccccc12	Training	1
5	91-59-8	Nc1ccc2ccccc2(c1)	Training	1
6	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	1
7	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	1
8	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
9	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	1
10	96-45-7	N1C(NCC1)=S	Training	1
11	3068-88-0	O=C1OC(C)C1	Training	1
12	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	1
13	68-12-2	O=CN(C)C	Training	0
14	67-21-0	O=C(O)C(N)CCSCC	Training	1
15	106-89-8	O1CC1CCl	Training	1
16	59-89-2	O=NN1CCOCC1	Training	1
17	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	0
18	57-57-8	O=C1OCC1	Training	1
19	71-55-6	CC(Cl)(Cl)Cl	Training	0
20	51-79-6	O=C(OCC)N	Training	1
21	79-44-7	O=C(N(C)C)Cl	Training	1
22	61-82-5	n1c[nH]nc1N	Training	1
23	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	1
24	592-62-1	O=C(OC[N-][N+](=O)C)C	Training	1
25	50-81-7	O=C1C(O)=C(O)OC1C(O)CO	Training	0
26	636-21-5	Nc1ccccc1C	Training	1
27	57-06-7	C(=NCC=C)=S	Training	1
28	2835-39-4	O=C(OCC=C)CC(C)C	Training	1
29	2432-99-7	O=C(O)CCCCCCCCCCN	Training	1
30	71-43-2	c1ccccc1	Training	1
31	2185-92-4	Nc1ccccc1c2ccccc2	Training	1
32	108-60-1	O(C(C)CCl)C(C)CCl	Training	1
33	106-99-0	C=CC=C	Training	1
34	124-48-1	C(Cl)(Br)Br	Training	1
35	2832-40-8	O=C2C=CC(=CC2(=NNc1ccc(cc1)NC(=O)C))C	Training	1
36	842-07-9	O=C3C=Cc1ccccc1C3(=NNc2ccccc2)	Training	1
37	21739-91-3	O=C(O)C=C(C(=O)c1ccc(OC)cc1)Br	Training	1
38	5160-02-1	O=C3C=Cc1ccccc1C3(=NNc2cc(c(cc2S(=O)(=O)O)Cl)C)	Training	1
39	96-12-8	C(C(CBr)Br)Cl	Training	1
40	106-93-4	C(CBr)Br	Training	1
41	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	1
42	78-87-5	CC(CCl)Cl	Training	1
43	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	1
44	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	1
45	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	1
46	140-88-5	O=C(OCC)C=C	Training	1
47	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	1
48	108-78-1	n1c(nc(nc1N)N)N	Training	1
49	13552-44-8	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	1
50	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	1
51	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	1
52	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	1
53	75-56-9	O1CC1C	Training	1
54	542-75-6	C(=CCl)CCl	Training	1
55	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	1
56	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	1
57	26471-62-5	O=C=Nc1ccc(c(N=C=O)c1)C	Training	1
58	79-01-6	C(=C(Cl)Cl)Cl	Training	1
59	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	1
60	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	1
61	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	1
62	119-53-9	O=C(c1ccccc1)C(O)c2ccccc2	Training	0
63	105-60-2	O=C1NCCCCC1	Training	0
64	1936-15-8	O=C3C=Cc1cc(cc(c1C3(=NNc2ccccc2))S(=O)(=O)O)S(=O)(=O)O	Training	0
65	3567-69-9	O=C3C(=NNc1ccc(c2ccccc12)S(=O)(=O)O)C=C(c4ccccc34)S(=O)(=O)O	Training	0
66	95-50-1	c1ccc(c(c1)Cl)Cl	Training	0
67	33229-34-4	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	0
68	148-24-3	Oc1cccc2cccnc12	Training	0
69	69-65-8	OCC(O)C(O)C(O)C(O)CO	Training	0
70	108-95-2	Oc1ccccc1	Training	0
71	115-07-1	C=CC	Training	0
72	15481-70-6	Nc1cccc(N)c1C	Training	0
73	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	0
74	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	0
75	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	0
76	118-92-3	O=C(O)c1ccccc1(N)	Training	0
77	77-65-6	O=C(N)NC(=O)C(CC)(CC)Br	Training	0
78	140-49-8	O=C(Nc1ccc(cc1)C(=O)CCl)C	Training	0
79	999-81-5	C[N+](C)(C)CCCl	Training	0
80	6959-47-3	n1ccccc1CCl	Training	0
81	94-20-2	O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	0
82	56-72-4	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	0
83	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	0
84	262-12-4	O1c3ccccc3(Oc2ccccc12)	Training	0
85	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	1
86	1212-29-9	N(C(NC1CCCCC1)=S)C2CCCCC2	Training	0
87	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	0
