id	cas	smiles	status	exp values
1	 1746-01-6	c1(cc2c(cc1Cl)Oc1c(cc(c(c1)Cl)Cl)O2)Cl	Training	3.896
2	 16813-36-8	C1(=O)CCN(N=O)C(=O)N1	Training	1.004
3	 55556-92-8	C1=CCCN(C1)N=O	Training	0.879
4	 930-55-2	C1CCCN1NO	Training	0.358
5	 53-96-3	c1(cc2c(cc1)c1c(cccc1)C2)NC(=O)C	Training	-0.185
6	 53-95-2	c1(cc2c(cc1)c1c(cccc1)C2)N(C(=O)C)O	Training	-0.241
7	 97-56-3	c1c(ccc(c1C)N)NNc1ccccc1C	Training	-0.568
8	 18883-66-4	[C@H]1([C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)NC(=O)N(NO)C)O	Training	-0.646
9	 90-94-8	c1c(ccc(c1)N(C)C)C(=O)c1ccc(cc1)N(C)C	Training	-0.688
10	 21340-68-1	c1(ccc(cc1)Cl)c1ccc(cc1)OC(C(=O)OC)(C)C	Training	-0.774
11	 72-20-8	C1(=C([C@]2(C([C@@]1([C@H]1[C@@H]2[C@@H]2[C@@H]3[C@H]([C@H]1C2)O3)Cl)(Cl)Cl)Cl)Cl)Cl	Training	-0.872
12	 7008-42-6	c12c(c3c(c(c1)OC)c(=O)c1c(cccc1)n3C)C=CC(O2)(C)C	Training	-0.942
13	 110-00-9	c1ccco1	Training	-1.049
14	 101-14-4	c1c(ccc(c1Cl)N)Cc1cc(c(cc1)N)Cl	Training	-1.199
15	 56-38-2	c1cc(ccc1N(=O)=O)OP(S)(OCC)OCC	Training	-1.233
16	 3778-73-2	[P@]1(=O)(OCCCN1CCCl)NCCCl	Training	-1.236
17	 303-34-4	C1C=C([C@@H]2[C@H](CCN12)OC(=O)/C(=C/C)/C)COC(=O)[C@@]([C@H](C)OC)(C(C)(C)O)O	Training	-1.356
18	 93-15-2	c1cc(c(cc1CCC)OC)OC	Training	-1.407
19	 62641-67-2	C1(=O)NC(=O)[C@@H](CN1N=O)C	Training	-1.494
20	 17924-92-4	c1c(cc(c2c1/C=C/CCCC(=O)CCC[C@@H](OC2=O)C)O)O	Training	-1.525
21	 60-57-1	[C@]12(C(=C([C@@](C1(Cl)Cl)([C@H]1[C@@H]3[C@@H]4[C@H]([C@H]([C@H]21)C3)O4)Cl)Cl)Cl)Cl	Training	-1.584
22	 139-65-1	c1cc(ccc1N)Sc1ccc(cc1)N	Training	-1.623
23	 95-80-7	c1(cc(c(cc1)C)N)N	Training	-1.763
24	 602-87-9	c1cc2c3c(c1)CCc3ccc2N(=O)=O	Training	-1.854
