id	cas	SMILES	status	Exp Values
1	 96806-34-7	N(CCO)(N=O)CCCl	training	0.824
2	 55984-51-5	CC(=O)CN(NO)C	training	0.599
3	 55-18-5	N(N=O)(CC)CC	training	0.569
4	 116-06-3	CNC(=O)O/N=C/C(C)(C)SC	training	-0.124
5	 551-88-2	C(CC)(CC)N(=O)=O	training	-0.375
6	 504-88-1	N(=O)(=O)CCC(=O)O	training	-0.644
7	 96-12-8	C([C@H](CCl)Br)Br	training	-0.752
8	 5314-33-0	C=C/C=N/O	training	-1.215
9	 1116-54-7	N(CCO)(CCO)N=O	training	-1.217
10	 106-93-4	C(CBr)Br	training	-1.377
11	 64-17-5	C(C)O	training	-1.529
12	 126-72-7	P(=O)(OC[C@@H](CBr)Br)(OC[C@@H](CBr)Br)OC[C@@H](CBr)Br	training	-1.535
13	 302-01-2	NN	training	-1.64
14	 62-73-7	P(=O)(OC)(OC)OC=C(Cl)Cl	training	-1.75
15	 96-29-7	CC/C(=N/O)/C	training	-1.872
16	 3054-95-3	C=CC(OCC)OCC	training	-2.093
17	 107-18-6	C=CCO	training	-2.107
18	 13674-87-8	P(=O)(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl	training	-2.158
19	 57-14-7	N(N)(C)C	training	-2.19
20	 75-05-8	C(#N)C	training	-2.225
21	 57-06-7	C=CCN=C=S	training	-2.241
22	 13171-21-6	P(=O)(O/C(=C(/C(=O)N(CC)CC)\Cl)/C)(OC)OC	training	-2.267
23	 60-51-5	P(OC)(OC)(SCC(=O)NC)S	training	-2.332
24	 55-63-0	C(C(CON(=O)=O)ON(=O)=O)ON(=O)=O	training	-2.344
25	 79-43-6	C(C(=O)O)(Cl)Cl	training	-2.422
26	 121-75-5	P(S)(S[C@H](C(=O)OCC)CC(=O)OCC)(OC)OC	training	-2.614
27	 512-56-1	P(=O)(OC)(OC)OC	training	-2.686
28	 75-52-5	N(=O)(=O)C	training	-2.716
29	 79-11-8	C(C(=O)O)Cl	training	-2.794
30	 79-34-5	C(C(Cl)Cl)(Cl)Cl	training	-2.795
31	 115-96-8	P(=O)(OCCCl)(OCCCl)OCCCl	training	-2.801
32	 3296-90-0	C(CBr)(CBr)(CO)CO	training	-2.846
33	 75-27-4	C(Cl)(Cl)Br	training	-2.873
34	 2432-99-7	C(CCCCCCCCCC(=O)O)N	training	-3.041
35	 630-20-6	C(CCl)(Cl)(Cl)Cl	training	-3.053
36	 80-62-6	C(=C)(C)C(=O)OC	training	-3.104
37	 57018-52-7	C[C@@H](COC(C)(C)C)O	training	-3.161
38	 1634-78-2	CCOC(=O)[C@@H](CC(=O)OCC)SP(=O)(OC)OC	training	-3.193
39	 598-55-0	C(=O)(N)OC	training	-3.307
40	 74-96-4	C(C)Br	training	-3.358
41	 1634-04-4	C(C)(C)(C)OC	training	-3.394
42	 78-87-5	[C@H](CCl)(Cl)C	training	-3.41
43	 115-07-1	C=CC	training	-3.664
44	 142-46-1	C(=S)(N)NNC(=S)N	training	-3.7
45	 76-03-9	C(C(=O)O)(Cl)(Cl)Cl	training	-3.827
46	 1746-01-6	c1(cc2c(cc1Cl)Oc1c(cc(c(c1)Cl)Cl)O2)Cl	training	3.408
47	 1162-65-8	c1c(c2c(c3c1O[C@@H]1[C@H]3C=CO1)oc(=O)c1c2CCC1=O)OC	training	2.378
48	 76-25-5	C12=CC(=O)C=C[C@]1([C@]1([C@H](CC2)[C@@H]2[C@](C[C@H]1O)(C)[C@@]1([C@@H](C2)OC(O1)(C)C)C(=O)CO)F)C	training	1.276
49	 10048-13-2	c1c(c2c(cc1)oc1c(c2=O)c(cc2c1[C@H]1[C@@H](O2)OC=C1)OC)O	training	1.084
50	 303-34-4	C1C=C([C@@H]2[C@H](CCN12)OC(=O)/C(=C/C)/C)COC(=O)[C@@]([C@H](C)OC)(C(C)(C)O)O	training	0.602
51	 110-00-9	c1ccco1	training	0.277
52	 64091-91-4	c1ccc(cn1)C(=O)CCCN(NO)C	training	0.186
53	 53-95-2	c1(cc2c(cc1)c1c(cccc1)C2)N(C(=O)C)O	training	0.161
54	 77-47-4	C1(=C(C(=C(C1(Cl)Cl)Cl)Cl)Cl)Cl	training	0.031
55	 100-75-4	C1CCN(CC1)N=O	training	0.016
56	 53-96-3	c1(cc2c(cc1)c1c(cccc1)C2)NC(=O)C	training	-0.068
57	 77500-04-0	c1cc2c(c3c1n(C)c(n3)N)nc(cn2)C	training	-0.093
58	 7008-42-6	c12c(c3c(c(c1)OC)c(=O)c1c(cccc1)n3C)C=CC(O2)(C)C	training	-0.324
59	 930-55-2	C1CCCN1NO	training	-0.386
60	 303-47-9	c1ccc(cc1)C[C@@H](C(=O)O)NC(=O)c1cc(c2c(c1O)C(=O)O[C@@H](C2)C)Cl	training	-0.398
61	 128-66-5	c12c(c3c4c(C1=O)ccc1c4c(cc3)C(=O)c3c1cccc3)cccc2	training	-0.446
62	 122-66-7	c1cc(ccc1)NNc1ccccc1	training	-0.568
63	 14504-15-5	c1cccc(c1)CN1[C@H](C(=O)ON1)CC(=O)N	training	-0.627
64	 97-56-3	c1c(ccc(c1C)N)NNc1ccccc1C	training	-0.649
65	 90-94-8	c1c(ccc(c1)N(C)C)C(=O)c1ccc(cc1)N(C)C	training	-0.825
66	 101-80-4	c1cc(ccc1N)Oc1ccc(cc1)N	training	-0.852
67	 139-65-1	c1cc(ccc1N)Sc1ccc(cc1)N	training	-0.856
68	 76014-81-8	c1ccc(cn1)[C@H](CCCN(NO)C)O	training	-0.86
69	 95-80-7	c1(cc(c(cc1)C)N)N	training	-0.909
70	 55-38-9	c1(cc(ccc1SC)OP(S)(OC)OC)C	training	-1.013
71	 101-14-4	c1c(ccc(c1Cl)N)Cc1cc(c(cc1)N)Cl	training	-1.033
