Id	CAS	SMILES	Set	Log SF
1	30560-19-1	O=C(NP(=O)(OC)SC)C	Training	-2.06
2	60-35-5	O=C(N)C	Training	-1.15
3	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	0.58
4	79-06-1	O=C(N)C=C	Test	-0.3
5	3688-53-7	O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2	Training	-0.62
6	107-13-1	N#CC=C	Training	-0.27
7	50-76-0	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	3.94
8	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	-1.25
9	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	1.23
10	107-05-1	C=CCCl	Training	-1.68
11	712-68-5	O=[N+]([O-])c1oc(cc1)c2nnc(N)s2	Training	1.2
12	6109-97-3	Nc1ccc3c(c1)c2ccccc2n3CC	Training	-1.11
13	117-79-3	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	-1.48
14	97-56-3	N(=Nc1ccccc1C)c2ccc(N)c(c2)C	Training	0.58
15	92-67-1	Nc1ccc(cc1)c2ccccc2	Training	1.32
16	61-82-5	n1cnc(N)[nH]1	Test	-0.03
17	62-53-3	Nc1ccccc1	Training	-2.24
18	90-04-0	O(c1ccccc1(N))C	Test	-0.85
19	84-65-1	O=C1c3ccccc3(C(=O)c2ccccc12)	Training	-1.4
20	12674-11-2	c1cc(cc(c1)Cl)c2cc(cc(c2)Cl)Cl	Training	-1.15
21	53469-21-9	c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl	Training	0.3
22	12672-29-6	c1c(cc(cc1Cl)Cl)c2cc(cc(c2)Cl)Cl	Test	0.3
23	11097-69-1	c2cc(c1ccc(c(c1Cl)Cl)Cl)c(c(c2)Cl)Cl	Training	0.3
24	11096-82-5	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	0.3
25	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Test	-0.64
26	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	-0.06
27	115-02-6	N#[N+]C=C([O-])OCC(N)C(=O)O	Training	1.04
28	446-86-6	O=[N+]([O-])c1ncn(c1Sc3ncnc2nc[nH]c23)C	Training	0.26
29	103-33-3	N(=Nc1ccccc1)c2ccccc2	Training	-0.96
30	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	-0.14
31	100-52-7	O=Cc1ccccc1	Training	-2.4
32	71-43-2	c1ccccc1	Training	-1.26
33	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	2.36
34	205-82-3	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	Training	0.08
35	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Test	0.86
36	205-99-2	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	Test	-0.14
37	207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Training	-1.14
38	98-07-7	c1ccc(cc1)C(Cl)(Cl)Cl	Test	1.11
39	100-44-7	c1ccc(cc1)CCl	Training	-0.77
40	1694-09-3	O=S(=O)(O)c1cccc(c1)CN(c2ccc(cc2)C(c3ccc(cc3)N(Cc4cccc(c4)S(=O)(=O)O)CC)=C5C=CC(C=C5)=[N+](C)C)CC	Training	-1.7
41	92-52-4	c1ccc(cc1)c2ccccc2	Test	-2.1
42	108-60-1	O(C(C)CCl)C(C)CCl	Training	-1.15
43	111-44-4	O(CCCl)CCCl	Test	0.04
44	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Test	-1.85
45	542-88-1	O(CCl)CCl	Training	2.34
46	107-04-0	C(CBr)Cl	Training	0.3
47	75-27-4	C(Cl)(Cl)Br	Test	-1.21
48	75-25-2	C(Br)(Br)Br	Test	-2.1
49	106-99-0	C=CC=C	Test	0.53
50	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	-2.72
51	25013-16-5	Oc1ccc(OC)cc1C(C)(C)C	Training	-3.7
52	128-37-0	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Test	-2.44
53	3068-88-0	O=C1OC(C)C1	Training	0
54	569-61-9	N=C1C=CC(C=C1)=C(c2ccc(N)cc2)c3ccc(N)cc3	Test	2.38
55	75-60-5	O=[As](O)(C)C	Training	-0.6
56	2425-06-1	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	-0.82
57	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	-2.64
58	86-74-8	c1ccc3c(c1)[nH]c2ccccc23	Training	-1.7
59	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	-1.15
60	305-03-3	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	-2.64
61	118-75-2	O=C1C(=C(C(=O)C(=C1Cl)Cl)Cl)Cl	Training	-0.39
62	12789-03-6	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.46
63	143-50-0	O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1
64	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Test	-1.04
65	108171-26-2	CCC(C(C(CC(C(C(C)Cl)Cl)Cl)Cl)Cl)Cl	Training	-1.05
66	95-69-2	Nc1ccc(cc1C)Cl	Training	-1
67	563-47-3	C=C(C)CCl	Training	-0.85
68	107-20-0	O=CCCl	Training	-0.57
69	106-47-8	Nc1ccc(cc1)Cl	Training	-0.7
70	510-15-6	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	-0.96
71	67-66-3	C(Cl)(Cl)Cl	Training	-1.51
72	74-87-3	CCl	Test	-1.89
73	107-30-2	O(C)CCl	Training	0.38
74	88-73-3	O=[N+]([O-])c1ccccc1Cl	Training	-0.52
75	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	-1.22
76	95-83-0	Nc1ccc(cc1(N))Cl	Training	-1.8
77	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	-2.51
78	54749-90-5	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))CCCl	Training	2.38
79	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Training	-2.14
80	87-29-6	O=C(OCC=Cc1ccccc1)c2ccccc2(N)	Training	-2.34
81	120-71-8	O(c1ccc(cc1(N))C)C	Training	-0.82
82	123-73-9	O=CC=CC	Training	0.28
83	135-20-6	O=NN(O)c1ccccc1	Test	-0.66
84	21725-46-2	N#CC(Nc1nc(nc(n1)Cl)NCC)(C)C	Training	-0.08
85	87-84-3	C1(C(C(C(C(C1Br)Br)Br)Br)Br)Cl	Test	-1.64
86	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	-0.21
87	4342-03-4	O=C(N)C1=NC=NC1(=NNN(C)C)	Training	1.69
88	1596-84-5	O=C(O)CCC(=O)NN(C)C	Training	-1.74
89	117-10-2	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	Training	-1.12
90	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	-0.62
91	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	-0.47
92	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	-0.47
93	1163-19-5	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Test	-3.15
94	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Test	-2.92
95	2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	Training	-1.21
96	615-05-4	O(c1ccc(N)cc1(N))C	Training	-1.64
97	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	-0.85
98	226-36-8	n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34)	Training	0.08
99	224-42-0	n2c5ccc1ccccc1c5(cc4c2ccc3ccccc34)	Training	0.08
100	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	0.86
101	192-65-4	c1ccc3c(c1)cc4c2ccccc2c6cccc5ccc3c4c56	Training	1.08
102	189-64-0	c1ccc2c(c1)cc3ccc5c6ccccc6(cc4ccc2c3c45)	Training	2.08
103	189-55-9	c1ccc3c(c1)cc4ccc5cc2ccccc2c6ccc3c4c56	Training	2.08
104	191-30-0	c1ccc3c(c1)cc4ccc5cccc6c2ccccc2c3c4c56	Test	2.08
105	194-59-2	c1ccc5c(c1)ccc4[nH]c3ccc2ccccc2c3c45	Training	1.08
106	96-12-8	C(C(CBr)Br)Cl	Training	-0.1
107	124-48-1	C(Cl)(Br)Br	Training	-1.08
108	106-93-4	C(CBr)Br	Test	0.3
109	79-43-6	O=C(O)C(Cl)Cl	Training	-1.3
110	106-46-7	c1cc(ccc1Cl)Cl	Test	-2.27
111	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	-0.35
112	75-34-3	CC(Cl)Cl	Training	-2.24
113	107-06-2	C(CCl)Cl	Training	-1.04
114	78-87-5	CC(CCl)Cl	Test	-1.44
115	542-75-6	C(=CCl)CCl	Training	-1
116	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Test	-0.54
117	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	2.54
118	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Test	0.23
