ID	CAS	SMILES	Status	LC50 exp [-log(mol/l)]
1	112-05-0	CCCCCCCCC(O)=O	Test	3.28
2	53939-28-9	CCCC\C=C/CCCCCCCCCC=O	Training	6.04
3	118-52-5	CC1(C)N(Cl)C(=O)N(Cl)C1=O	Training	6.32
4	542-75-6	[H]\C(Cl)=C(\[H])C([H])([H])Cl	Training	6.95
5	86-87-3	OC(=O)CC1=C2C=CC=CC2=CC=C1	Training	3.03
6	94-75-7	OC(=O)COC1=C(Cl)C=C(Cl)C=C1	Training	4.21
8	1320-18-9	CCCCOC(C)COC(=O)COC1=C(Cl)C=C(Cl)C=C1	Test	6.13
10	1929-73-3	CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1	Training	5.11
13	120-32-1	OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1	Training	6.29
14	7745-89-3	CC1=C(Cl)C=C(N)C=C1	Training	7.36
16	64359-81-5	CCCCCCCCN1SC(Cl)=C(Cl)C1=O	Test	9.05
17	88-04-0	CC1=CC(O)=CC(C)=C1Cl	Training	4.68
20	34256-82-1	CCOCN(C(=O)CCl)C1=C(C)C=CC=C1CC	Training	4.94
21	15972-60-8	CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl	Training	4.42
22	116-06-3	CNC(=O)O\N=C\C(C)(C)SC	Training	6.41
23	1646-88-4	CNC(=O)O\N=C\C(C)(C)S(C)(=O)=O	Training	6.71
25	834-12-8	CCNC1=NC(NC(C)C)=NC(SC)=N1	Training	4.16
26	33089-61-1	CN(\C=N\C1=CC=C(C)C=C1C)\C=N\C1=C(C)C=C(C)C=C1	Training	8.01
27	101-05-3	ClC1=NC(NC2=C(Cl)C=CC=C2)=NC(Cl)=N1	Training	6.07
30	22781-23-3	CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2	Training	7.96
32	741-58-2	CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1	Training	6.63
33	68359-37-5	CC1(C)[C@@H](\C=C(\Cl)Cl)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=C(F)C=C1	Training	11.3
34	3064-70-8	ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl	Test	7.14
35	314-40-9	CCC(C)N1C(=O)NC(C)=C(Br)C1=O	Training	3.42
36	1689-84-5	OC1=C(Br)C=C(C=C1Br)C#N	Training	4.48
37	1689-99-2	CCCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N	Test	7.55
38	3861-41-4	CCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N	Training	7.14
39	52-51-7	OCC(Br)(CO)[N+]([O-])=O	Training	5.69
43	133-06-2	ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O	Training	4.98
44	63-25-2	CNC(=O)OC1=C2C=CC=CC2=CC=C1	Training	8.83
46	1563-66-2	CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2	Test	7.96
47	5234-68-4	CC1=C(SCCO1)C(=O)NC1=CC=CC=C1	Test	3.58
48	2439-01-2	CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1	Training	7.21
49	143-50-0	ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl	Training	7.19
51	55-56-1	ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1	Training	8.12
53	2675-77-6	COC1=CC(Cl)=C(OC)C=C1Cl	Test	4.94
54	3691-35-8	ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1	Training	6.76
57	101-21-3	CC(C)OC(=O)NC1=CC=CC(Cl)=C1	Training	5.25
59	5598-13-0	COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=N1	Test	9.98
63	81777-89-1	CC1(C)CON(CC2=CC=CC=C2Cl)C1=O	Training	5.12
67	1134-23-2	CCSC(=O)N(CC)C1CCCCC1	Training	4.21
68	13121-70-5	O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1	Training	11.13
69	57966-95-7	CCNC(=O)NC(=O)C(=N\OC)\C#N	Training	4.09
72	121552-61-2	CC1=CC(=NC(NC2=CC=CC=C2)=N1)C1CC1	Training	7.92
73	1596-84-5	CN(C)NC(=O)CCC(O)=O	Training	3.27
75	10222-01-2	NC(=O)C(Br)(Br)C#N	Training	6.13
76	50-29-3	ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl	Training	9.24
81	35691-65-7	BrCC(Br)(CCC#N)C#N	Training	5.66
83	1194-65-6	ClC1=CC=CC(Cl)=C1C#N	Test	4.84
87	99-30-9	NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O	Training	5.56
88	141-66-2	COP(=O)(OC)O\C(C)=C\C(=O)N(C)C	Test	8.46
90	2227-17-0	ClC1=C(Cl)C(Cl)(C(Cl)=C1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	Training	6.32
91	119446-68-3	CC1COC(CN2C=NC=N2)(O1)C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1Cl	Training	6.48
92	49866-87-7	CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1	Test	5.75
93	104653-34-1	OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)SC2=CC=CC=C12	Test	9.51
94	109293-97-2	C\C(=N/NC(=O)NC1=CC(F)=CC(F)=C1)C1=NC=CC=C1C(O)=O	Training	4.76
95	87674-68-8	COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C	Training	4.74
98	82-66-6	O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O	Test	5.92
101	97886-45-8	CSC(=O)C1=C(CC(C)C)C(C(=O)SC)=C(N=C1C(F)(F)F)C(F)F	Test	4.75
104	4080-31-3	Cl\C=C\C[N+]12CN3CN(CN(C3)C1)C2	Training	4.02
110	55283-68-6	CCN(CC(C)=C)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	Training	7.8
111	563-12-2	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC	Training	11.75
116	4602-84-0	C\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO	Training	5.57
119	60168-88-9	OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=C(Cl)C=CC=C1	Training	5.16
120	13356-08-6	CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)O[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)CC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1	Training	8.79
122	66441-23-4	CCOC(=O)C(C)OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1	Training	5.63
123	79127-80-3	CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1	Test	6.68
124	39515-41-8	CC1(C)C(C(=O)OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)C1(C)C	Training	10.44
125	68254-10-4	[H]C1=C([H])C(=C([H])C([H])=C1Cl)N1N=C(C(O)=O)C(=O)C([H])=C1C([H])([H])[H]	Training	3.23
126	55-38-9	COP(=S)(OC)OC1=CC(C)=C(SC)C=C1	Training	9.05
127	76-87-9	O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	Training	8.84
131	131341-86-1	FC1(F)OC2=C(O1)C(=CC=C2)C1=CNC=C1C#N	Training	6.12
133	59756-60-4	CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F	Training	5.39
134	56425-91-3	CC(C)C(O)(C1=CC=C(OC(F)(F)F)C=C1)C1=CN=CN=C1	Training	4.82
137	133-07-3	ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O	Training	8.33
138	944-22-9	CCOP(=S)(CC)SC1=CC=CC=C1	Training	9.51
139	22259-30-9	CNC(=O)OC1=CC(=CC=C1)\N=C/N(C)C	Training	7.44
140	59682-52-9	CCOP(O)(=O)C(N)=O	Training	1.79
143	1071-83-6	OC(=O)CNCP(O)(O)=O	Training	3.13
145	53042-79-8	CCCC\C=C\CC\C=C/CCCCCCOC(C)=O	Training	6.32
146	67485-29-4	CC1(C)CN\C(NC1)=N\N=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F	Test	6.38
147	81405-85-8	COC(=O)C1=C(C=C(C)C=C1)C1=NC(C)(C(C)C)C(=O)N1	Training	3.15
148	81335-37-7	CC(C)C1(C)N=C(NC1=O)C1=NC2=CC=CC=C2C=C1C(O)=O	Training	3.06
151	28159-98-0	CSC1=NC(NC2CC2)=NC(NC(C)(C)C)=N1	Test	5.15
152	25311-71-1	CCOP(=S)(NC(C)C)OC1=C(C=CC=C1)C(=O)OC(C)C	Training	9.33
153	33820-53-0	CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O	Test	6.91
