ID	CAS	SMILES	STATUS	Exp log(mmol/l)
1	56-23-5	C(Cl)(Cl)(Cl)Cl	Test	-1.2730
2	57-14-7	NN(C)C	Test	-1.6647
3	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Test	-2.8932
4	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	-2.2154
5	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	-0.7096
6	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Test	-2.6319
7	60-24-2	OCCS	Training	-2.8130
8	60-34-4	NNC	Training	-1.6855
9	62-53-3	Nc1ccccc1	Training	-2.4636
10	62-56-6	NC(N)=S	Test	-0.6767
11	63-74-1	O=S(=O)(N)c1ccc(N)cc1	Training	-1.1217
12	68-11-1	O=C(O)CS	Training	-0.4075
13	69-72-7	O=C(O)c1ccccc1(O)	Training	-0.2535
14	75-07-0	O=CC	Test	-0.1666
15	75-08-1	CCS	Training	-2.9060
16	75-18-3	CSC	Training	0.7260
17	75-26-3	CC(C)Br	Training	-0.7245
18	75-27-4	C(Cl)(Cl)Br	Training	-0.7468
19	75-34-3	CC(Cl)Cl	Training	-0.4596
20	75-35-4	C=C(Cl)Cl	Training	-0.7779
21	75-50-3	N(C)(C)C	Training	-0.3242
22	75-91-2	OOC(C)(C)C	Test	-0.8084
23	75-98-9	O=C(O)C(C)(C)C	Test	-0.0694
24	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	Training	-3.1705
25	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	-1.6358
26	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	-4.4720
27	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	-1.0816
28	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	0.2022
29	78-70-6	OC(C=C)(C)CCC=C(C)C	Training	-0.4719
30	78-79-5	C=CC(=C)C	Training	-1.3278
31	78-87-5	CC(CCl)Cl	Training	-0.5720
32	79-01-6	C(=C(Cl)Cl)Cl	Training	-1.0723
33	79-10-7	O=C(O)C=C	Training	-0.1854
34	79-14-1	O=C(O)CO	Training	-0.2375
35	79-19-6	NNC(N)=S	Training	-0.8800
36	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Test	-1.8346
37	80-04-6	OC1CCC(CC1)C(C)(C)C2CCC(O)CC2	Training	-0.8892
38	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Test	-1.2442
39	80-09-1	O=S(=O)(c1ccc(O)cc1)c2ccc(O)cc2	Training	-0.3980
40	80-43-3	O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C	Training	-3.0167
41	80-51-3	O=S(=O)(NN)c2ccc(Oc1ccc(cc1)S(=O)(=O)NN)cc2	Training	-2.0915
42	80-62-6	O=C(OC)C(=C)C	Test	-0.0759
43	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	-2.4981
44	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	-2.0738
45	84-15-1	c1ccc(cc1)c3ccccc3(c2ccccc2)	Training	-2.6459
46	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Training	-1.6182
47	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	-1.7630
48	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	-2.2092
49	85-41-6	O=C1NC(=O)c2ccccc12	Training	-0.8452
50	85-44-9	O=C1OC(=O)c2ccccc12	Training	-0.3191
51	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	-1.2968
52	86-73-7	c1ccc3c(c1)c2ccccc2C3	Test	-2.5301
53	87-59-2	Nc1cccc(c1C)C	Training	-1.1337
54	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Test	-2.5923
55	87-62-7	Nc1c(cccc1C)C	Training	-0.7821
56	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	-3.3800
57	88-05-1	Nc1c(cc(cc1C)C)C	Training	-1.0515
58	88-09-5	O=C(O)C(CC)CC	Test	-0.2074
59	88-18-6	Oc1ccccc1C(C)(C)C	Training	-1.6082
60	88-19-7	O=S(=O)(N)c1ccccc1C	Training	0.0891
61	88-60-8	Oc1cc(ccc1C(C)(C)C)C	Training	-1.7380
62	88-74-4	O=[N+]([O-])c1ccccc1(N)	Training	-1.1400
63	88-75-5	O=[N+]([O-])c1ccccc1(O)	Test	-0.6959
64	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	-2.7783
65	89-40-7	O=C1NC(=O)c2cc(ccc12)[N+](=O)[O-]	Training	-0.8362
66	89-63-4	O=[N+]([O-])c1cc(ccc1(N))Cl	Test	-1.6123
67	89-64-5	O=[N+]([O-])c1cc(ccc1(O))Cl	Training	-1.3404
68	89-72-5	Oc1ccccc1C(C)CC	Test	-1.5743
69	89-83-8	Oc1cc(ccc1C(C)C)C	Training	-1.5232
70	90-02-8	O=Cc1ccccc1(O)	Training	-1.6715
71	90-04-0	O(c1ccccc1(N))C	Training	-0.7284
72	90-05-1	Oc1ccccc1(OC)	Training	-0.6312
73	90-12-0	c1ccc2c(c1)cccc2C	Training	-1.8101
74	90-13-1	c1ccc2c(c1)cccc2Cl	Test	-2.3463
75	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Test	-2.9257
