ID	CAS	SMILES	STATUS	Exp LC50
1	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	4.96
2	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	9.09
3	55-63-0	O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-]	Training	3.85
4	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	3.64
5	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	5.37
6	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	6.62
7	58-14-0	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Training	4.63
8	59-50-7	Oc1ccc(c(c1)C)Cl	Training	4.85
9	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	5.14
10	62-53-3	Nc1ccccc1	Training	5.41
11	62-55-5	NC(C)=S	Training	3.64
12	62-56-6	NC(N)=S	Training	3.93
13	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	9.42
14	64-17-5	OCC	Training	0.59
15	67-56-1	OC	Training	0.99
16	67-68-5	O=S(C)C	Training	0.5
17	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	4.94
18	68-12-2	O=CN(C)C	Training	0.71
19	71-23-8	OCCC	Training	0.94
20	71-43-2	c1ccccc1	Training	2.45
21	71-55-6	CC(Cl)(Cl)Cl	Training	4.08
22	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	7.34
23	74-83-9	CBr	Training	4.64
24	75-08-1	CCS	Training	5.56
25	75-09-2	C(Cl)Cl	Training	2.59
26	75-21-8	O1CC1	Training	2.34
27	75-25-2	C(Br)(Br)Br	Training	3.74
28	75-35-4	C=C(Cl)Cl	Training	3.33
29	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	4.4
30	77-73-6	C2=CC3C1C=CC(C1)C3(C2)	Training	4.1
31	78-11-5	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	Training	1.57
32	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	3.06
33	78-83-1	OCC(C)C	Training	1.83
34	78-87-5	CC(CCl)Cl	Training	3.31
35	79-00-5	C(C(Cl)Cl)Cl	Training	3.49
36	79-01-6	C(=C(Cl)Cl)Cl	Training	3.38
37	79-06-1	O=C(N)C=C	Training	2.65
38	79-09-4	O=C(O)CC	Training	3.17
39	79-92-5	C=C2C1CCC(C1)C2(C)C	Training	3.79
40	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	4.25
41	80-56-8	C1=C(C)C2CC(C1)C2(C)(C)	Training	3.52
42	82-71-3	O=[N+]([O-])c1cc(c(O)c(c1(O))[N+](=O)[O-])[N+](=O)[O-]	Training	1.56
43	83-42-1	O=[N+]([O-])c1cccc(c1C)Cl	Training	4.61
44	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	8.03
45	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	3.61
46	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	4.88
47	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	4.41
48	88-72-2	O=[N+]([O-])c1ccccc1C	Training	4.14
49	88-73-3	O=[N+]([O-])c1ccccc1Cl	Training	3.64
50	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	4.02
51	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	6
52	88-89-1	O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	3.43
53	89-59-8	O=[N+]([O-])c1cc(ccc1C)Cl	Training	4.27
54	89-61-2	O=[N+]([O-])c1cc(ccc1Cl)Cl	Training	4.24
55	90-02-8	O=Cc1ccccc1(O)	Training	4.47
56	90-04-0	O(c1ccccc1(N))C	Training	4.01
57	90-05-1	Oc1ccccc1(OC)	Training	3.68
58	90-13-1	c1ccc2c(c1)cccc2Cl	Training	5.01
59	90-43-7	Oc1ccccc1c2ccccc2	Training	5.38
60	91-20-3	c1ccc2ccccc2(c1)	Training	4.02
61	91-22-5	n1cccc2ccccc12	Training	3.53
62	91-64-5	O=C1Oc2ccccc2(C=C1)	Training	4.03
63	92-69-3	Oc1ccc(cc1)c2ccccc2	Training	4.67
64	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	3.41
65	95-47-6	c1ccc(c(c1)C)C	Training	3.79
66	95-48-7	Oc1ccccc1C	Training	3.86
67	95-50-1	c1ccc(c(c1)Cl)Cl	Training	4.81
