ID	CAS	SMILES	STATUS	Exp log(mmol/l)
1	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	-0.874
2	56-23-5	C(Cl)(Cl)(Cl)Cl	Test	-2.491
3	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	-3.106
4	59-51-8	O=C(O)C(N)CCSC	Training	-0.668
5	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	-1.725
6	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	-4.443
7	60-80-0	O=C1C=C(N(N1c2ccccc2)C)C	Test	-0.274
8	62-53-3	Nc1ccccc1	Training	-4.169
9	62-56-6	NC(N)=S	Training	-1.626
10	68-11-1	O=C(O)CS	Test	-1.532
11	69-72-7	O=C(O)c1ccccc1(O)	Test	-0.608
12	71-36-3	OCCCC	Training	-1.257
13	75-08-1	CCS	Test	-3.838
14	75-12-7	O=CN	Training	0.347
15	75-18-3	CSC	Training	-0.873
16	75-26-3	CC(C)Br	Training	-1.396
17	75-27-4	C(Cl)(Cl)Br	Training	-2.089
18	75-34-3	CC(Cl)Cl	Training	-2.267
19	75-50-3	N(C)(C)C	Training	-0.868
20	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	-2.190
21	78-67-1	N#CC(N=NC(C#N)(C)C)(C)C	Training	-1.873
22	78-70-6	OC(C=C)(C)CCC=C(C)C	Test	-1.210
23	78-79-5	C=CC(=C)C	Training	-2.231
24	78-87-5	CC(CCl)Cl	Test	-2.067
25	78-93-3	O=C(C)CC	Test	0.142
26	79-01-6	C(=C(Cl)Cl)Cl	Training	-1.791
27	79-14-1	O=C(O)CO	Test	-1.237
28	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	-2.829
29	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Test	-1.695
30	80-09-1	O=S(=O)(c1ccc(O)cc1)c2ccc(O)cc2	Training	-1.967
