@relation model

@attribute SdssC numeric
@attribute SHssNH numeric
@attribute icycem numeric
@attribute BEHm1 numeric
@attribute BELv1 numeric
@attribute BELv8 numeric
@attribute BELp3 numeric
@attribute MATS4v numeric
@attribute MATS1p numeric
@attribute MATS4p numeric
@attribute GATS2m numeric
@attribute GATS3v numeric
@attribute GATS1p numeric
@attribute Tox {N,D}

@data
0,0,0,3.202322,1.55889,0,0,0,-0.25,0,1.5,0,0.75,N
-0.115102,1.815917,0.99403,3.815959,1.940302,0.126865,1.109637,-0.319143,-0.092491,-0.320566,0.849608,0.974235,0.737192,N
-0.349889,1.989883,0.961237,4.683567,1.855779,0,1.29188,-0.145441,-0.2957,-0.121692,0.737767,1.025626,1.364548,D
-0.852321,4.124251,0.845351,4.630351,2.03282,0.996041,1.660064,0.045567,-0.471308,0.132804,1.061957,1.213465,1.471311,D
3.922913,0,0.845351,3.845302,1.994505,1.173612,1.674074,-0.069231,0,-0.069231,0.385,0.398276,0.525,D
-2.129722,5.852278,0.99403,3.721981,1.730657,0.045098,1.39175,0.010536,-0.571967,0.009231,0.578312,1.367555,1.521289,N
-1.302271,2.041804,0.970951,3.959639,1.926503,0.405008,1.312936,0.280242,-0.287131,0.342995,0.738452,1.042627,1.072946,D
0,0,0.982474,4.100328,2.157954,0.192718,1.35856,0.123482,-0.049774,0.123482,1.009615,1.453846,0.71267,N
-0.379128,1.933913,0.936667,3.904096,2.016656,0.63995,1.510645,0.02,-0.040295,0.003198,0.546441,1.015759,0.667654,D
-3.065778,4.038031,0.757878,4.007336,2.072806,1.173234,1.804515,-0.159884,-0.200758,-0.140046,0.66483,0.873893,0.992529,D
1.417176,0,0.991076,3.978946,1.993764,0.983633,1.764409,0.017188,-0.086957,0.017188,0.33871,0.3,1.369565,D
-1.655165,3.976132,0.954434,3.809733,1.950324,0.628518,1.51068,0.371,-0.136767,0.353787,0.455967,1.342472,0.833925,D
-1.99859,2.04721,0.760168,4.110937,1.971607,0.996041,1.713297,-0.578068,-0.013668,-0.601503,1.518017,0.744983,0.734566,N
-1.856869,2.02846,0.776556,4.110792,1.968181,0.996041,1.712116,-0.604529,-0.015055,-0.627828,1.525733,0.706293,0.731606,N
-2.778657,0,0.979869,3.795553,1.767556,0.133206,1.278099,-0.090909,-0.166667,-0.090909,1.186275,0.862745,1.069444,N
-0.953395,0,0.908178,3.823604,1.880679,0.569215,1.549579,0.100372,-0.422423,0.117366,0.887744,1.152542,1.294765,N
3.017778,0,0.97245,3.993427,2.017737,0.966231,1.828195,-0.078378,-0.12,-0.078378,0.825,0.721875,1.155,N
-2.539911,2.077842,0.661976,4.112865,1.968546,1.192822,1.756232,-0.335617,-0.099304,-0.401658,1.550241,0.861188,0.904599,N
0.310572,0,0.927527,4.073063,2.06675,1.202265,1.756784,-0.056522,0.016175,-0.019985,0.819518,0.704348,0.508272,D
0,4.312115,0.825627,4.680962,2.116633,0.996041,1.704629,-0.411032,-0.397779,-0.258904,0.828518,0.984514,1.446483,D
0,0,0.899744,6.842227,2.000266,0.928937,1.740076,-0.025872,-0.001171,-0.001015,0.735648,0.725893,0.681962,D
0,0,0,4.59638,1.907771,0.400093,1.554243,-0.239423,-0.801375,-0.047635,0.554368,0.944602,2.127159,D
-1.816534,4.015917,0.954434,3.81939,1.952763,0.750002,1.563762,0.379404,-0.136767,0.366307,0.455967,1.342472,0.833925,D
0,0,0.932708,4.017852,2.124764,1.053382,1.791385,-0.138186,-0.040974,-0.142218,0.826007,0.994318,0.646406,D
0,0,0.983376,3.968652,2.004233,0.989497,1.801272,0.018519,-0.083333,0.018519,0.333333,0.594595,1.375,D
0.512731,0,0.999338,3.922056,1.831266,0.253334,1.228108,-1,0.008333,-1,0.52381,1.157895,0.458333,D
-0.0293,0,0.829607,3.895493,1.965955,0.996041,1.628814,-0.334091,-0.128948,-0.330278,0.662662,1.116813,0.943369,N
0.010694,0,0.979869,3.949085,1.705146,0,1.472744,-0.306108,-0.172768,-0.511043,0.659334,1.139034,0.839367,D
-2.357188,2.057536,0.811278,4.105883,1.992289,0.859258,1.614369,-0.496862,-0.013909,-0.396636,0.878004,0.70879,0.702638,N
-1.537852,2.06268,0.79504,4.067724,2.004141,0.996041,1.660389,-0.477449,-0.013668,-0.361142,0.977016,0.747148,0.734566,N
-1.942644,2.124661,0.695358,4.108802,2.001293,1.0503,1.720032,-0.424805,0.087317,-0.157202,1.001633,0.800594,0.692603,N
-3.305874,2.212197,0.704945,4.207513,1.998005,1.199657,1.656565,-0.19712,0.000834,-0.164606,1.062987,0.813659,0.813904,N
-3.58729,2.190413,0.732514,4.200357,2.007288,1.159597,1.620892,-0.375242,-0.027973,-0.332257,1.094271,0.797899,0.815726,N
-3.985917,2.20751,0.718466,4.072158,1.998101,1.21572,1.650056,-0.143346,-0.068831,-0.155805,1.048188,0.827443,0.899418,N
-1.345467,2.04393,0.811278,4.067506,2.003465,0.996041,1.656264,-0.496862,-0.015055,-0.367157,0.97494,0.70879,0.731606,N
-0.416309,2.026986,0.811278,4.067155,2.001186,1.04477,1.657893,-0.496862,-0.015055,-0.367157,0.97494,0.70879,0.731606,N
-0.756162,1.99366,0.881291,3.940314,1.985004,0.566609,1.451575,-0.252245,0.167748,-0.167943,0.458174,1.132512,0.492801,D
1.209818,1.772364,0.940286,4.028555,2.00238,0.844574,1.742948,0.025105,0.150089,0.067922,0.690843,0.990275,0.595593,D
