ID	CAS	SMILES	Status	Exp class
1	75-07-0	O=CC	Training	0
2	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	0
3	59-66-5	O=C(Nc1nnc(s1)S(=O)(=O)N)C	Training	1
4	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	1
5	4759-48-2	O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C	Training	1
6	97-59-6	O=C(N)NC1NC(=O)NC1(=O)	Training	0
7	28981-97-7	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C	Test	1
8	2609-46-3	O=C(NC(=N)N)c1nc(c(nc1(N))N)Cl	Training	1
9	90-45-9	n2c1ccccc1c(N)c3ccccc23	Training	0
10	125-84-8	O=C2NC(=O)C(c1ccc(N)cc1)(CC)CC2	Training	1
11	54-62-6	O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3c(nc2)nc(nc3(N))N)C(=O)O	Training	1
12	50-48-6	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	Training	1
13	57-43-2	O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C	Training	1
14	26787-78-0	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccc(O)cc1)C2SC3(C)(C)	Training	0
15	69-53-4	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	Training	0
16	144-14-9	O=C(OCC)C3(c1ccccc1)(CCN(CCc2ccc(N)cc2)CC3)	Test	1
17	50-81-7	O=C1OC(C(O)=C1(O))C(O)CO	Training	0
18	51-55-8	O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO	Test	1
19	320-67-2	O=C1N=C(N=CN1C2OC(CO)C(O)C2(O))N	Training	0
20	3964-81-6	n1cccc3c1C(c2ccccc2CC3)=C4CCN(C)CC4	Training	0
21	50972-17-3	O=C(OCC)OC(OC(=O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C))C	Training	0
22	4419-39-0	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23Cl))(C)	Training	1
23	73-48-3	O=S(=O)(N)c1cc2c(cc1C(F)(F)F)NC(NS2(=O)(=O))Cc3ccccc3	Training	1
24	91-33-8	O=S2(=O)(N=C(Nc1cc(c(cc12)S(=O)(=O)N)Cl)CSCc3ccccc3)	Test	1
25	86-22-6	n1ccccc1C(c2ccc(cc2)Br)CCN(C)C	Training	1
26	55-98-1	O=S(=O)(OCCCCOS(=O)(=O)C)C	Training	1
27	125-40-6	O=C1NC(=O)C(C(=O)N1)(CC)C(C)CC	Test	1
28	77-26-9	O=C1NC(=O)C(C(=O)N1)(CC=C)CC(C)C	Training	1
