Id	CAS	SMILES	Status	Activity
2	6055-19-2	O=P1(OCCCN1)N(CCCl)CCCl	Training	2
3	3778-73-2	O=P1(OCCCN1(CCCl))(NCCCl)	Training	2
4	470-90-6	O=P(OC(=CCl)c1ccc(cc1Cl)Cl)(OCC)OCC	Training	8
5	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	8
6	732-11-6	O=C1c2ccccc2(C(=O)N1CSP(OC)(OC)=S)	Training	8
7	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	8
8	10596-23-3	O=P(O)(O)C(Cl)(Cl)P(=O)(O)O	Training	8
9	57-39-6	O=P(N1CC1C)(N2CC2C)N3CC3C	Training	2
10	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	2
11	19028-32-1	OP(O)=S	Training	8
12	2809-21-4	O=P(O)(O)C(O)(C)P(=O)(O)O	Training	8
13	59536-65-1	c1cc(c(c(c1c2cc(c(c(c2)Br)Br)Br)Br)Br)Br	Training	8
14	67774-32-7	c2c(c1cc(c(cc1Br)Br)Br)c(cc(c2Br)Br)Br	Training	8
15	12674-11-2	c1cc(cc(c1)Cl)c2cc(cc(c2)Cl)Cl	Training	2
18	53469-21-9	c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl	Training	2
19	12672-29-6	c1c(cc(cc1Cl)Cl)c2cc(cc(c2)Cl)Cl	Training	2
20	130892-67-0	O(c1cc(c(cc1Cl)Cl)Cl)c2c(cccc2Cl)Cl	Training	8
21	130892-66-9	O(c1ccc(c(c1)Cl)Cl)c2c(cccc2Cl)Cl	Training	8
22	71859-30-8	O(c1cc(c(cc1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	8
23	1836-75-5	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	8
24	1836-77-7	O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2	Training	9
25	22532-68-9	O=[N+]([O-])c2ccc(Oc1cc(c(cc1Cl)Cl)Cl)cc2	Training	8
26	1836-74-4	O=[N+]([O-])c2ccc(Oc1ccc(cc1)Cl)cc2	Training	8
27	82239-20-1	O=[N+]([O-])c2ccc(Oc1cccc(c1Cl)Cl)cc2	Training	8
28	39145-48-7	O=[N+]([O-])c2ccc(Oc1cc(ccc1Cl)Cl)cc2	Training	8
29	2093-28-9	O=[N+]([O-])c2ccc(Oc1c(cccc1Cl)Cl)cc2	Training	8
