ID	CAS	SMILES	STATUS	EXP_VALUE
1	N.A.	BrCCBr	TRAINING	1
2	N.A.	Brc1c(NC2=NCCN2)ccc2nccnc12	TRAINING	0
3	N.A.	Brc1ccccc1	TRAINING	1
4	N.A.	C#CC(O)(C=CCl)CC	TRAINING	0
5	N.A.	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C	TRAINING	0
6	N.A.	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C	TRAINING	1
7	N.A.	C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	TRAINING	0
8	N.A.	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	TRAINING	1
9	N.A.	C#CC1(O)CCC2C3CCC4=CCCCC4C3CCC21C	TRAINING	0
10	N.A.	C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	TRAINING	1
11	N.A.	C#CC1(OC(=O)CCCCCC)CCC2C3CC=C4CC(=O)CCC4C3CCC21C	TRAINING	1
12	N.A.	C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C	TRAINING	0
13	N.A.	C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	TRAINING	0
14	N.A.	C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C	TRAINING	1
15	N.A.	C#CCC(Cc1cnc2[nH]c(=N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	TRAINING	0
16	N.A.	C#CCN(C)Cc1ccccc1	TRAINING	0
17	N.A.	C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1	TRAINING	0
18	N.A.	C1=Cc2ccccc2C1	TRAINING	1
19	N.A.	C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	TRAINING	1
20	N.A.	C1CCN2CC3CC(CN4CCCCC34)C2C1	TRAINING	0
21	N.A.	C1CCc2nnnn2CC1	TRAINING	0
22	N.A.	C1CN1c1nc(N2CC2)nc(N2CC2)n1	TRAINING	0
23	N.A.	C1COC(=NC(C2CC2)C2CC2)N1	TRAINING	1
24	N.A.	C1COCCO1	TRAINING	1
25	N.A.	C=C(C)C(=O)OC	TRAINING	0
26	N.A.	C=C(C)C1CC=C(C)CC1	TRAINING	1
27	N.A.	C=C(C)C1CC=C(CO)CC1	TRAINING	1
28	N.A.	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	TRAINING	1
29	N.A.	C=C(C)CCCC(C)CCO	TRAINING	0
30	N.A.	C=C(Cl)Cl	TRAINING	1
31	N.A.	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O	TRAINING	0
32	N.A.	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O	TRAINING	0
33	N.A.	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCC(C)(C)O)CC(O)CC1O	TRAINING	0
34	N.A.	C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(=N)[nH]c21	TRAINING	1
