ID	SMILES	DS	Target
2	n1c(nc(nc1NCC)Cl)N	TS	0
781	n1c(nc(nc1NC(C)(C)C)Cl)NCC	TS	0
72	n1c(nc(nc1NC(C)C)Cl)NC(C)C	TS	0
4	O=C(O)C(Oc1cccc(c1)Cl)C	TS	0
37	O=C(O)C(Oc1ccc(cc1Cl)Cl)C	TS	0
277	O=C(O)COc1ccc(cc1Cl)Cl	TS	0
5	O=C(OC(C)C)Nc1cccc(c1)Cl	TS	0
1187	O=C(OC(C)C)Nc1ccccc1	TS	0
155	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	TS	0
152	O=C(NP(=O)(OC)SC)C	TS	0
1663	O=P(OC)(OC)C	TS	0
1726	O=P(OC)OC	TS	0
1807	O=C(N1c2ccccc2OCC1C)C(Cl)Cl	TS	0
548	O=C(c1ccc(cc1)-c2ccc(cc2C)-c3nnc(o3)C)N4c5cc6c(OCC67CCN(CC)CC7)cc5CC4	TS	0
107	O=C(OCC)COc1cc(c(F)cc1Cl)-n2ncc(c(c2=O)C)C(F)(F)F	TS	0
257	O=C(O)c1cc(cnc1C2=NC(C(=O)N2)(C)C(C)C)CC	TS	0
255	O=C(O)c1cccnc1C2=NC(C(=O)N2)(C)C(C)C	TS	0
256	O=C(O)c1cc2ccccc2nc1C3=NC(C(=O)N3)(C)C(C)C	TS	0
12	OCCOC	TS	0
378	OCCOCC	TS	0
356	OC(C)COC	TS	0
13	O=C(C=C(c1ccc(cc1)Cl)c2ccc(OC)c(OC)c2)N3CCOCC3	TS	0
981	Oc1ccc(C=CC)cc1OC	TS	0
696	O=C(c1ccc(OC(C(=O)OC(C)C)(C)C)cc1)c2ccc(cc2)Cl	TS	0
14	O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc2c(nn(c2Oc3ccccc3)C)C	TS	0
167	Fc1c(ncnc1Oc2ccccc2Cl)Oc3ccccc3C(=NOC)C4=NOCCO4	TS	0
578	O=c1[nH]c(nc2c1nn(c2CC)Cc3ncccc3)-c4cc(ccc4OCCC)S(=O)(=O)N5CCN(CC)CC5	TS	0
15	N#CN=C1N(Cc2cnc(cc2)Cl)CCS1	TS	0
68	N#CN=C(N(C)Cc1cnc(cc1)Cl)C	TS	0
732	n1cccc(c1)C2N(C)CCC2	TS	0
16	FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	TS	0
243	OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	TS	0
1245	Fc1ccc(cc1)C2(OC2c3ccccc3Cl)Cn4ncnc4	TS	0
1148	O=C(NN(C(=O)c1ccccc1)C(C)(C)C)c2ccc(cc2)Cl	TS	0
65	O=C(c1cccc(c1)C)N(CC)CC	TS	0
32	O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl	TS	0
1402	O=C1N(CCC1)CCCCCCCC	TS	0
1570	O=C1N(CCCCC1)CCCCCCCCCCCC	TS	0
244	O=C(OCN1C(=O)C2=C(C1=O)CCCC2)C3C(C=C(C)C)C3(C)C	TS	0
231	O=C(Nc1ccc(c(c1)Cl)Cl)CC	TS	0
53	O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)CCCCC2	TS	0
648	O=C1N(c2cc(cc(c2)Cl)Cl)C(=O)C3(C)CC13C	TS	0
20	O=C(N(CC)C1CCCCC1)SCC	TS	0
1133	O=C(N(CC)CCCC)SCCC	TS	0
240	O=C(N(CCC)CCC)SCC	TS	0
21	O=C(Oc1ccccc1OC(C)C)NC	TS	0
125	O=C(Oc1cccc2OC(Oc12)(C)C)NC	TS	0
537	O=C(Oc1cccc2c1OC(C)(C)C2)NC	TS	0
274	N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	TS	0
279	OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	TS	0
1211	OC1(Cn2ncnc2)C(Cc3ccc(cc3)Cl)CCC1(C)C	TS	0
1790	O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	TS	0
1060	O=S1(=O)OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	TS	0
420	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	TS	0
1318	O=C(ON=CC(C)(C)S(=O)C)NC	TS	0
96	O=C(ON=C(C)SC)NC	TS	0
131	O=C(ON=C(C(=O)N(C)C)SC)NC	TS	0
27	O=C(NC(=O)c1c(F)cccc1F)Nc2ccc(OC(F)(F)C(F)OC(F)(F)F)c(c2)Cl	TS	0
920	O=C(NC(=O)c1c(F)cccc1F)Nc2cc(c(OC(F)(F)C(F)F)c(c2)Cl)Cl	TS	0
1445	O=C(NC(=O)c1c(F)cccc1F)Nc2ccc(cc2)Cl	TS	0
28	O=C(OCC(CC)CCCC)c1ccccc1C(=O)OCC(CC)CCCC	TS	0
907	O=C(OCCCCCC)c1ccccc1C(=O)OCCCCCC	TS	0
1719	O=C(OC1CCCCC1)c2ccccc2C(=O)OC3CCCCC3	TS	0
680	O=C(N(C)C)C1N(CC(O)C1)C2(C(=O)N(c3ccc(cc32)Cl)S(=O)(=O)c4ccc(OC)cc4OC)c5ccccc5OC	TS	0
627	O=C(NN1CCCCC1)c2nn(-c3ccc(cc3Cl)Cl)c(-c4ccc(cc4)Br)c2CC	TS	0
489	O=C(OC1C(C)C(OC)C=COC2(Oc3c(C2=O)c4c(O)c(C=NN5CCN(C)CC5)c(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)c(O)c4c(O)c3C)C)C	TS	0
286	O=C(c1c(nc(c(C(=O)SC)c1CC(C)C)C(F)(F)F)C(F)F)SC	TS	0
1808	O=C(OCC)c1ccccc1-c2c3cc(c(cc3oc-4cc(=[NH+]CC)c(cc42)C)NCC)C	TS	0
495	O=C(O)c1cccc(c1)CC2COc3ccc(OCc4nc5cc(F)ccc5s4)cc3C2O	TS	0
1652	O=C(N1CCOC12CCCCC2)C(Cl)Cl	TS	0
418	O=C1OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)C(OC3OC(C)C(O)C(OC)(C)C3)C1C)C	TS	0
1300	O1CCN(CC1)CCCCCCCCCCCC	TS	0
33	N#Cc1c(cccc1Cl)Cl	TS	0
921	c1cc(c(c(c1)Cl)Cl)Cl	TS	0
444	c1cc(c(cc1Cl)Cl)Cl	TS	0
34	n1cnn(c1)CC2(OCC(O2)C)c3ccc(Oc4ccc(cc4)Cl)cc3Cl	TS	0
817	O=C(N1CCN(c2ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5cncc5)cc2)CC1)C	TS	0
918	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3	TS	0
35	O=C(OC(C)CC)N1CCCCC1CCO	TS	0
