id	CAS	smiles	status	exp
2	1007-28-9	n1c(nc(nc1NCC)Cl)N	Training	0
3	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Test	1
4	101-10-0	O=C(O)C(Oc1cccc(c1)Cl)C	Training	0
5	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	0
6	10265-92-6	O=P(OC)(N)SC	Test	0
7	103361-09-7	O=C1C4=C(C(=O)N1c3cc2c(OCC(=O)N2CC#C)cc3(F))CCCC4	Test	0
8	104098-48-8	O=C(O)c2cc(cnc2(C1=NC(C(=O)N1)(C)C(C)C))C	Test	0
9	104206-82-8	O=C(c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C)C2C(=O)CCCC2(=O)	Training	1
10	10453-86-8	O=C(OCc1coc(c1)Cc2ccccc2)C3C(C=C(C)C)C3(C)(C)	Training	1
11	105512-06-9	O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C	Training	1
12	109-86-4	OCCOC	Training	0
13	110488-70-5	O=C(C=C(c1ccc(cc1)Cl)c2ccc(OC)c(OC)c2)N3CCOCC3	Training	0
14	111812-58-9	O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc3c(nn(c3(Oc2ccccc2))C)C	Training	0
15	111988-49-9	N#CN=C2N(Cc1cnc(cc1)Cl)CCS2	Training	0
16	112281-77-3	FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	0
17	112410-23-8	O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC	Test	0
18	113-48-4	O=C2N(C(=O)C3C1C=CC(C1)C23)CC(CC)CCCC	Test	0
19	113136-77-9	O=C(O)C2(C(=O)Nc1ccc(cc1Cl)Cl)(CC2)	Test	0
20	1134-23-2	O=C(N(CC)C1CCCCC1)SCC	Training	0
21	114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	Training	0
22	114311-32-9	O=C(O)c2cc(cnc2(C1=NC(C(=O)N1)(C)C(C)C))COC	Test	0
23	114369-43-6	N#CC(c1ccccc1)(Cn2ncnc2)CCc3ccc(cc3)Cl	Test	0
24	115-29-7	O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	0
25	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Test	1
26	116-06-3	O=C(ON=CC(C)(C)SC)NC	Test	0
27	116714-46-6	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(OC(F)(F)C(F)OC(F)(F)F)c(c2)Cl	Training	0
28	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	0
29	117337-19-6	O=C(OC)CSc3cc(N=C1N2N(C(=O)S1)CCCC2)c(F)cc3Cl	Test	0
30	117718-60-2	O=C(OC)c2c(nc(c(C1=NCCS1)c2CC(C)C)C(F)(F)F)C(F)F	Test	0
31	118134-30-8	O1CC(OC12(CCC(CC2)C(C)(C)C))CN(CC)CCC	Test	0
32	119168-77-3	O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl	Training	0
33	1194-65-6	N#Cc1c(cccc1Cl)Cl	Training	0
34	119446-68-3	n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl	Training	0
35	119515-38-7	O=C(OC(C)CC)N1CCCCC1CCO	Training	0
36	120-32-1	Oc1ccc(cc1Cc2ccccc2)Cl	Training	1
37	120-36-5	O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	0
38	120068-37-3	N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Training	1
39	120116-88-3	N#Cc2nc(c(c1ccc(cc1)C)n2S(=O)(=O)N(C)C)Cl	Test	1
40	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Test	1
41	121552-61-2	n1c(nc(cc1C)C2CC2)Nc3ccccc3	Test	0
42	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	1
43	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Test	0
44	122-39-4	c1ccc(cc1)Nc2ccccc2	Test	0
45	122-99-6	OCCOc1ccccc1	Test	0
46	122008-85-9	N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2	Test	0
47	122836-35-5	O=C1N(N=C(N1C(F)F)C)c2cc(NS(=O)(=O)C)c(cc2Cl)Cl	Test	0
48	123-33-1	O=C1C=CC(=O)NN1	Training	0
49	123312-89-0	O=C2NN=C(C)CN2(N=Cc1cnccc1)	Training	0
50	123343-16-8	O=C(O)c1c(cccc1Sc2nc(OC)cc(n2)OC)Cl	Training	0
51	12427-38-2	N(C(=S)S)CCNC(=S)S	Training	1
52	124495-18-7	Fc3ccc(Oc2ccnc1cc(cc(c12)Cl)Cl)cc3	Test	1
53	126833-17-8	O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)(CCCCC2)	Training	0
54	128639-02-1	O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl	Test	0
55	129630-19-9	O=C(OCC)COc1cc(c(F)cc1Cl)c2nn(c(OC(F)F)c2Cl)C	Training	0
56	131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	Training	0
57	131-70-4	O=C(O)c1ccccc1(C(=O)OCCCC)	Training	0
58	131341-86-1	N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Training	0
59	131807-57-3	O=C4OC(c2ccc(Oc1ccccc1)cc2)(C(=O)N4(Nc3ccccc3))C	Test	0
60	131860-33-8	N#Cc3ccccc3(Oc2ncnc(Oc1ccccc1C(=COC)C(=O)OC)c2)	Training	0
61	13194-48-4	O=P(OCC)(SCCC)SCCC	Test	0
62	131983-72-7	OC2(C(=Cc1ccc(cc1)Cl)CCC2(C)(C))(Cn3ncnc3)	Test	0
63	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	1
64	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	1
65	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Training	0
66	134605-64-4	O=C(OC(C(=O)OCC=C)(C)C)c1cc(ccc1Cl)N2C(=O)C=C(N(C2(=O))C)C(F)(F)F	Test	0
67	135158-54-2	O=C(c2cccc1nnsc12)SC	Test	1
68	135410-20-7	N#CN=C(N(C)Cc1cnc(cc1)Cl)C	Training	0
69	136-45-8	O=C(OCCC)c1ncc(cc1)C(=O)OCCC	Training	0
70	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Training	0
71	138261-41-3	O=[N+]([O-])N=C1NCCN1Cc2cnc(cc2)Cl	Test	0
72	139-40-2	n1c(nc(nc1NC(C)C)Cl)NC(C)C	Training	0
73	141-66-2	O=C(C=C(OP(=O)(OC)OC)C)N(C)C	Training	0
74	141112-29-0	O=C(c1cnoc1C2CC2)c3ccc(cc3S(=O)(=O)C)C(F)(F)F	Test	0
75	141517-21-7	O=C(OC)C(=NOC)c1ccccc1CON=C(c2cccc(c2)C(F)(F)F)C	Training	0
76	142459-58-3	O=C(N(c1ccc(F)cc1)C(C)C)COc2nnc(C(F)(F)F)s2	Test	0
77	144550-36-7	O=C(OC)c1ccc(cc1S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC)I	Training	0
78	145701-21-9	O=S(=O)(Nc1c(cccc1Cl)Cl)c2nc3cc(F)nc(OCC)n3(n2)	Training	1
79	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	0
80	148477-71-8	O=C1OC3(C(OC(=O)C(C)(C)CC)=C1c2ccc(cc2Cl)Cl)(CCCCC3)	Test	0
81	149877-41-8	O=C(OC(C)C)NNc1cc(ccc1(OC))c2ccccc2	Test	0
82	149979-41-9	O=C1C(=C(O)CC(C1)C2CCOCC2)C(=NOCC=CCl)CC	Training	0
83	15299-99-7	O=C(N(CC)CC)C(Oc1cccc2ccccc12)C	Test	0
84	153233-91-1	Fc1cccc(F)c1C3=NC(c2ccc(cc2(OCC))C(C)(C)C)CO3	Test	0
85	153719-23-4	O=[N+]([O-])N=C1N(C)COCN1Cc2cnc(Cl)s2	Training	0
86	155569-91-8	O=C5OC2CC(OC1(OC(C(C=C1)C)C(C)CC)C2)CC=C(C)C(OC4OC(C)C(OC3OC(C)C(NC)C(OC)C3)C(OC)C4)C(C=CC=C6COC7C(O)C(=CC5C67(O))C)C	Test	1
87	156052-68-5	O=C(NC(C(=O)CCl)(C)CC)c1cc(c(c(c1)Cl)C)Cl	Test	1
88	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Test	0
89	1596-84-5	O=C(O)CCC(=O)NN(C)C	Training	0
90	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Test	1
91	1610-18-0	n1c(nc(nc1NC(C)C)NC(C)C)OC	Test	0
92	161050-58-4	O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2cccc(OC)c2C	Test	0
93	161326-34-7	O=C3N(Nc1ccccc1)C(=NC3(c2ccccc2)C)SC	Training	0
94	1634-78-2	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	0
95	16672-87-0	O=P(O)(O)CCCl	Training	0
96	16752-77-5	O=C(ON=C(C)SC)NC	Training	0
97	1689-84-5	N#Cc1cc(c(O)c(c1)Br)Br	Training	0
98	1698-60-8	O=C1C(=C(N)C=NN1c2ccccc2)Cl	Training	0
99	1702-17-6	O=C(O)c1nc(ccc1Cl)Cl	Test	0
100	173584-44-6	O=C(OC)N(C(=O)N2N=C3c1ccc(cc1CC3(OC2)(C(=O)OC))Cl)c4ccc(OC(F)(F)F)cc4	Test	0
101	175013-18-0	O=C(OC)N(OC)c1ccccc1COc2nn(cc2)c3ccc(cc3)Cl	Training	0
102	1763-23-1	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	1
103	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Test	0
104	181274-15-7	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)N2N=C(OCCC)N(C2(=O))C	Training	0
105	1861-40-1	O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	0
106	188425-85-6	O=C(Nc2ccccc2(c1ccc(cc1)Cl))c3cccnc3Cl	Training	0
107	188489-07-8	O=C(OCC)COc1cc(c(F)cc1Cl)N2N=CC(=C(C2(=O))C)C(F)(F)F	Training	0
108	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	1
109	19044-88-3	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N	Training	1
110	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	0
111	1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	Test	0
112	1918-02-1	O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl	Training	0
113	1929-82-4	n1c(cccc1Cl)C(Cl)(Cl)Cl	Training	0
114	19666-30-9	O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C	Training	0
115	199119-58-9	O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2ncccc2(OCC(F)(F)F)	Training	0
116	2008-41-5	O=C(N(CC(C)C)CC(C)C)SCC	Test	0
117	21087-64-9	O=C1C(=NN=C(N1(N))SC)C(C)(C)C	Test	0
118	210880-92-5	O=[N+]([O-])N=C(NC)NCc1cnc(Cl)s1	Training	0
119	21564-17-0	N#CSCSc2nc1ccccc1s2	Test	0
120	2164-17-2	O=C(Nc1cccc(c1)C(F)(F)F)N(C)C	Training	0
121	21725-46-2	N#CC(Nc1nc(nc(n1)Cl)NCC)(C)C	Training	0
122	219714-96-2	O=S(=O)(Nc1nc2c(OC)cnc(OC)n2(n1))c3c(OCC(F)F)cccc3C(F)(F)F	Test	0
123	2212-67-1	O=C(N1CCCCCC1)SCC	Test	0
124	22224-92-6	O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C	Test	0
125	22781-23-3	O=C(Oc1cccc2OC(Oc12)(C)C)NC	Training	0
126	2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	Training	0
127	23031-36-9	O=C(OC1C(=C(C(=O)C1)CC#C)C)C2C(C=C(C)C)C2(C)(C)	Training	1
128	2310-17-0	O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl	Training	0
129	23103-98-2	O=C(Oc1nc(nc(c1C)C)N(C)C)N(C)C	Training	1
130	2312-35-8	O=S(OCC#C)OC2CCCCC2(Oc1ccc(cc1)C(C)(C)C)	Training	1
131	23135-22-0	O=C(ON=C(C(=O)N(C)C)SC)NC	Training	0
132	23184-66-9	O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Training	1
133	23422-53-9	O=C(Oc1cccc(N=CN(C)C)c1)NC	Test	0
134	23564-05-8	O=C(OC)NC(Nc1ccccc1(NC(NC(=O)OC)=S))=S	Test	1
135	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Training	0
