Id	CAS	SMILES	STATUS	EXP Class
1		BrC1=C(Br)C(Br)=C(COC(=O)C=C)C(Br)=C1Br	Training	1
2		BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br	Test	0
3		BrC1=C2C(=O)OC(=O)C2=C(Br)C(Br)=C1Br	Training	0
4		BrCCBr	Training	1
5		BrCCCCCCBr	Training	0
6		C(CN1CCOCC1)OCCN1CCOCC1	Training	1
7		C(COC1=CC=CC=C1)OC1=CC=CC=C1	Training	0
8		C(CSSCCC[Si]12OCCN(CCO1)CCO2)C[Si]12OCCN(CCO1)CCO2	Training	0
9		C(N(C)C)(=S)S	Training	0
10		C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1	Training	1
11		C1=CC=C2N=CC=CC2=C1	Training	1
12		C1CCCCC1	Training	1
13		C1CCSC1	Training	1
14		C=CC(=O)OCCCCCCOC(=O)C=C	Training	0
15		C=CC(=O)OCCOC1=CC=CC=C1	Training	1
16		C=CNC=O	Training	1
17		CC(=C)C(=O)NCO	Training	0
18		CC(=C)C(=O)OCC1=CC=CC=C1	Training	0
19		CC(=C)C(=O)OCC=C	Training	0
20		CC(=C)C(=O)OCCOC(=O)C(C)=C	Training	0
21		CC(=C)C(=O)OCCOCCOCCOC(=O)C(C)=C	Training	0
22		CC(=C)C(N)=O	Training	1
23		CC(=C)C1CC=C(C)C(=O)C1	Test	0
24		CC(=C)[C@@H]1CCC(C)=CC1	Training	0
25		CC(=O)C(N=NC1=C(C=C(Cl)C=C1)N(=O)=O)C(=O)NC1=C(Cl)C=CC=C1	Training	0
26		CC(=O)C(N=NC1=C(C=C(Cl)C=C1)N(=O)=O)C(=O)NC1=CC2=C(NC(=O)N2)C=C1	Training	0
27		CC(=O)C(N=NC1=C(C=CC=C1)C(F)(F)F)C(=O)NC1=CC2=C(NC(=O)N2)C=C1	Training	0
28		CC(=O)C(N=NC1=C(C=CC=C1)C(O)=O)C(=O)NC1=CC=C2NC(=O)NC2=C1	Training	0
29		CC(=O)C(N=NC1=CC(=CC=C1Cl)C(O)=O)C(=O)NC1=CC(C)=C(NC(=O)C(N=NC2=CC(=CC=C2Cl)C(O)=O)C(C)=O)C=C1C	Training	0
30		CC(=O)C(N=NC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C(N)=O)C(=O)NC1=CC=C2NC(=O)NC2=C1	Training	0
31		CC(=O)C(N=NC1=CC=C(C=C1)N(=O)=O)C(=O)NC1=CC2=C(NC(=O)N2)C=C1	Training	0
32		CC(=O)C(N=NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(C=C1)N=NC(C(C)=O)C(=O)NC1=CC=C(C)C=C1)C(=O)NC1=CC=C(C)C=C1	Test	0
33		CC(=O)C(N=NC1=CC=CC=C1OCCOC1=C(C=CC=C1)N=NC(C(C)=O)C(=O)NC1=CC=C2NC(=O)NC2=C1)C(=O)NC1=CC=C2NC(=O)NC2=C1	Training	0
34		CC(=O)C(O)C1=CC=CC=C1	Training	1
35		CC(=O)C1(Cl)CC1	Test	0
