no.	cas	SMILES	Status	Experimental
1	59447-55-1	BrC1=C(Br)C(Br)=C(COC(=O)C=C)C(Br)=C1Br	Training	1
2	1163-19-5	BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br	Test	0
3	632-79-1	BrC1=C2C(=O)OC(=O)C2=C(Br)C(Br)=C1Br	Training	0
4	106-93-4	BrCCBr	Training	1
5	629-03-8	BrCCCCCCBr	Training	0
6	6425-39-4	C(CN1CCOCC1)OCCN1CCOCC1	Training	1
7	104-66-5	C(COC1=CC=CC=C1)OC1=CC=CC=C1	Training	0
8	883794-93-2	C(CSSCCC[Si]12OCCN(CCO1)CCO2)C[Si]12OCCN(CCO1)CCO2	Training	0
9	128-04-1	C(N(C)C)(=S)S	Training	0
10	5026-74-4	C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1	Training	1
11	91-22-5	C1=CC=C2N=CC=CC2=C1	Training	1
12	110-82-7	C1CCCCC1	Training	1
13	110-01-0	C1CCSC1	Training	1
14	13048-33-4	C=CC(=O)OCCCCCCOC(=O)C=C	Training	0
15	48145-04-6	C=CC(=O)OCCOC1=CC=CC=C1	Training	1
16	13162-05-5	C=CNC=O	Training	1
17	923-02-4	CC(=C)C(=O)NCO	Training	0
18	2495-37-6	CC(=C)C(=O)OCC1=CC=CC=C1	Training	0
19	96-05-9	CC(=C)C(=O)OCC=C	Training	0
20	97-90-5	CC(=C)C(=O)OCCOC(=O)C(C)=C	Training	0
21	109-16-0	CC(=C)C(=O)OCCOCCOCCOC(=O)C(C)=C	Training	0
22	79-39-0	CC(=C)C(N)=O	Training	1
23	6485-40-1	CC(=C)C1CC=C(C)C(=O)C1	Test	0
24	5989-27-5	CC(=C)[C@@H]1CCC(C)=CC1	Training	0
25	6486-23-3	CC(=O)C(N=NC1=C(C=C(Cl)C=C1)N(=O)=O)C(=O)NC1=C(Cl)C=CC=C1	Training	0
26	12236-62-3	CC(=O)C(N=NC1=C(C=C(Cl)C=C1)N(=O)=O)C(=O)NC1=CC2=C(NC(=O)N2)C=C1	Training	0
27	68134-22-5	CC(=O)C(N=NC1=C(C=CC=C1)C(F)(F)F)C(=O)NC1=CC2=C(NC(=O)N2)C=C1	Training	0
28	31837-42-0	CC(=O)C(N=NC1=C(C=CC=C1)C(O)=O)C(=O)NC1=CC=C2NC(=O)NC2=C1	Training	0
29	74351-78-3	CC(=O)C(N=NC1=CC(=CC=C1Cl)C(O)=O)C(=O)NC1=CC(C)=C(NC(=O)C(N=NC2=CC(=CC=C2Cl)C(O)=O)C(C)=O)C=C1C	Training	0
