ID	CAS 	SMILES	STATUS	 log1/LC50(mmol/L) 	Prediction
1	000110-54-3	C(CCCC)C	Training	1.54 	0.197534063
5	000075-09-2	ClCCl	Training	-0.59 	0.287056161
7	000107-06-2	ClCCCl	Training	-0.12 	0.138126109
8	000142-28-9	ClCCCCl	Training	0.04 	0.847503866
9	000078-87-5	ClCC(Cl)C	Training	-0.06 	0.472802872
10	000110-56-5	ClCCCCCl	Training	0.39 	0.281802054
11	000628-76-2	ClCCCCCCl	Training	0.75 	0.191667608
12	000067-66-3	C(Cl)(Cl)Cl	Training	0.23 	0.167575553
13	000071-55-6	C(Cl)(Cl)(Cl)C	Training	0.43 	0.567477546
14	000079-00-5	ClCC(Cl)Cl	Training	0.21 	0.655545049
15	000096-18-4	ClCC(Cl)CCl	Training	0.37 	0.056354352
17	000079-34-5	C(C(Cl)Cl)(Cl)Cl	Training	0.92 	1.03233827
18	000076-01-7	C(C(Cl)Cl)(Cl)(Cl)Cl	Training	1.43 	0.980612645
19	000067-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.21 	0.805076648
20	000106-94-5	BrCCC	Training	0.26 	1.521237145
21	000109-65-9	BrCCCC	Training	0.57 	1.449154048
22	000111-25-1	BrCCCCCC	Training	1.68 	1.392762954
23	000629-04-9	BrCCCCCCC	Training	2.09 	1.337533348
24	000111-83-1	BrCCCCCCCC	Training	2.36 	1.356751052
25	000109-64-8	BrCCCBr	Training	1.96 	0.341700857
26	000075-47-8	C(I)(I)I	Training	2.13 	-999
31	000110-82-7	C(CCCC1)C1	Training	1.27 	1.139446999
36	000281-23-2	C(CC(CC1CC23)C2)(C1)C3	Training	2.69 	0.855915573
37	000822-86-6	ClC1C(Cl)CCCC1	Training	0.92 	-999
41	000079-01-6	C(=CCl)(Cl)Cl	Training	0.47 	1.05
42	000127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	1.05 	0.47
44	000498-66-8	C1C2C=CC1CC2	Training	0.97 	2.208338932
46	000592-46-1	CC=CC=CC	Training	0.61 	1.282924854
47	000513-81-5	C(C(=C)C)(=C)C	Training	1.08 	1.04193427
48	000764-13-6	C(=CC=C(C)C)(C)C	Training	1.46 	0.832834738
49	001647-16-1	C(=C)CCCCCCC=C	Training	2.68 	1.612441713
57	000760-23-6	C(C(Cl)CCl)=C	Training	1.16 	0.811071363
58	001871-57-4	C=C(CCl)CCl	Training	2.82 	0.484161097
59	000087-68-3	C(=C(C(=C(Cl)Cl)Cl)Cl)(Cl)Cl	Training	3.46 	-999
61	000067-56-1	OC	Training	-2.95 	-999
62	000064-17-5	OCC	Training	-2.84 	-1.821871373
63	000071-23-8	OCCC	Training	-1.88 	-1.629252915
64	000067-63-0	OC(C)C	Training	-2.16 	-2.078110916
65	000071-36-3	OCCCC	Training	-1.36 	-1.398778543
66	000078-92-2	OC(CC)C	Training	-1.69 	-1.535875171
67	000075-65-0	OC(C)(C)C	Training	-1.94 	-1.533544032
68	000078-83-1	OCC(C)C	Training	-1.29 	-1.722519963
70	000071-41-0	OCCCCC	Training	-0.73 	-0.624338325
71	000111-27-3	OCCCCCC	Training	0.02 	0.348037879
72	000077-74-7	OC(CC)(CC)C	Training	-0.82 	-0.631962669
73	000600-36-2	OC(C(C)C)C(C)C	Training	-0.15 	-0.785574758
74	000111-70-6	OCCCCCCC	Training	0.53 	0.756201254
75	000111-87-5	OCCCCCCCC	Training	0.97 	1.103600759
76	000104-76-7	OCC(CCCC)CC	Training	0.66 	0.722418403
77	000143-08-8	OCCCCCCCCC	Training	1.40 	1.013934247
79	000112-30-1	OCCCCCCCCCC	Training	1.82 	0.90833529
84	000075-89-8	FC(F)(F)CO	Training	-0.08 	-0.334519969
85	029553-26-2	FC(F)C(F)(F)C(O)(C)C	Training	-0.56 	-0.046548673
86	000920-66-1	FC(F)(F)C(O)C(F)(F)F	Training	-0.16 	-0.315897736
87	000107-07-3	OCCCl	Training	0.19 	-1.298400834
88	000127-00-4	OC(CCl)C	Training	-0.41 	-0.910436382
89	000115-20-8	OCC(Cl)(Cl)Cl	Training	-0.30 	0.166518772
90	006001-64-5	CC(C)(O)C(Cl)(Cl)Cl	Training	0.12 	-0.051702956
91	000096-13-9	OCC(Br)CBr	Training	0.49 	0.008653647
92	000108-93-0	OC(CCCC1)C1	Training	-0.85 	-0.028932018
93	002216-51-5	OC(C(CCC1C)C(C)C)C1	Training	0.92 	0.231373061
94	000497-37-0	C1(O)CC2CC1CC2	Training	-0.31 	0.022393081
95	000464-45-9	OC(CC1C2)C(C2)(C1(C)C)C	Training	0.39 	0.444846233
96	000928-96-1	OCCC=CCC	Training	-0.51 	-0.275942636
97	000107-18-6	OCC=C	Training	2.26 	-999
100	004798-44-1	OC(C=C)CCC	Training	0.52 	-0.190685771
101	000924-41-4	OC(CC=C)C=C	Training	0.41 	-0.300000243
103	007212-44-4	OC(C=C)(CCC=C(CCC=C(C)C)C)C	Training	2.19 	1.559836875
104	000596-85-0	CC(O)(CCC1C(=C)CCC2C(C)(C)CCCC12C)C=C	Training	3.38 	1.831144406
105	000927-74-2	OCCC#C	Training	0.29 	0.30613029
106	002117-11-5	OC(C)CC#C	Training	0.38 	0.430648453
108	000107-19-7	OCC#C	Training	1.57 	0.107342473
109	000764-01-2	CC#CCO	Training	0.84 	0.723644475
110	065337-13-5	CC(O)C#C	Training	0.78 	0.155558031
111	000115-19-5	OC(C#C)(C)C	Training	-1.59 	-0.08551584
112	000077-75-8	OC(C#C)(CC)C	Training	-1.09 	-0.277352328
113	007383-19-9	OC(C#C)CCCC	Training	1.80 	0.892821964
114	001482-15-1	OC(C#C)(C)C(C)C	Training	-0.26 	-0.763097687
115	000818-72-4	OC(C#C)CCCCC	Training	2.49 	0.649348848
116	019549-98-5	CC(C)CCC(C)(O)C#C	Training	0.46 	0.733041672
117	004117-14-0	OCC#CCCCCCCC	Training	2.16 	1.675993478
118	000078-27-3	OC(C#C)(CCCC1)C1	Training	-0.31 	0.798035639
119	000110-65-6	OCC#CCO	Training	0.21 	-0.276377216
122	000107-98-2	O(CC(O)C)C	Training	-2.36 	-2.10065299
125	000111-90-0	O(CCOCC)CCO	Training	-2.30 	-1.819864689
