ID	CAS	SMILES	Status	LC50 Exp
1	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	2.68
2	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	7.27
3	50-31-7	O=C(O)c1c(ccc(c1Cl)Cl)Cl	Training	4.42
4	51-79-6	O=C(OCC)N	Training	1.23
5	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	3.37
6	55-21-0	O=C(N)c1ccccc1	Training	2.26
7	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	4.94
8	55-63-0	O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-]	Training	4.92
9	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	3.57
10	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	5.32
11	57-06-7	C(=NCC=C)=S	Training	6.06
12	57-15-8	OC(C)(C)C(Cl)(Cl)Cl	Training	3.12
13	57-55-6	OCC(O)C	Training	0.35
14	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	6.82
15	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	6.2
16	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	6.61
17	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	5.35
18	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	3.69
19	60-29-7	O(CC)CC	Training	1.46
20	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	7.21
21	62-55-5	NC(C)=S	Training	2.44
22	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	4.74
23	62-75-9	O=NN(C)C	Training	1.9
24	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	4.45
25	64-17-5	OCC	Training	0.52
26	64-19-7	O=C(O)C	Training	2.86
27	65-45-2	O=C(N)c1ccccc1(O)	Training	3.13
28	66-25-1	O=CCCCCC	Training	3.75
29	66-76-2	O=C1Oc4ccccc4(C(O)=C1CC=2C(=O)Oc3ccccc3(C=2(O)))	Training	4.82
30	67-36-7	O=Cc2ccc(Oc1ccccc1)cc2	Training	4.63
31	67-56-1	OC	Training	0.06
32	67-63-0	OC(C)C	Training	0.78
33	67-68-5	O=S(C)C	Training	0.36
34	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	5.24
35	68-11-1	O=C(O)CS	Training	3.49
36	68-12-2	O=CN(C)C	Training	0.84
37	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	7.29
38	70-38-2	O=C(OCc1ccc(cc1C)C)C2C(C=C(C)C)C2(C)(C)	Training	6.67
39	70-69-9	O=C(c1ccc(N)cc1)CC	Training	3.01
40	71-23-8	OCCC	Training	1.12
41	71-36-3	OCCCC	Training	1.59
42	71-41-0	OCCCCC	Training	2.21
43	71-43-2	c1ccccc1	Training	3.44
44	72-20-8	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.76
45	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	7.61
46	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	4.86
47	75-05-8	N#CC	Training	1.61
48	75-07-0	O=CC	Training	3.08
49	75-09-2	C(Cl)Cl	Training	2.42
50	75-21-8	O1CC1	Training	2.72
51	75-35-4	C=C(Cl)Cl	Training	2.85
52	75-36-5	O=C(C)Cl	Training	3.27
53	75-47-8	C(I)(I)I	Training	5.13
