Id	CAS	SMILES	Set	Exp -LogLC50 (mmol/L)
1	91465-08-6	N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	5.252
2	420-04-2	N#CN	Training	-0.321
3	111988-49-9	N#CN=C2N(Cc1cnc(cc1)Cl)CCS2	Training	1.008
4	6317-18-6	N#CSCSC#N	Training	2.743
5	21564-17-0	N#CSCSc2nc1ccccc1s2	Training	3.82
6	86347-14-0	n1c[nH]cc1C(c2cccc(c2C)C)C	Training	0.824
7	112-12-9	O=C(C)CCCCCCCCC	Training	1.925
8	1746-81-2	O=C(Nc1ccc(cc1)Cl)N(OC)C	Training	0.635
9	110-44-1	O=C(O)C=CC=CC	Training	0.174
10	112-05-0	O=C(O)CCCCCCCC	Training	0.18
11	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	2.87
12	55406-53-6	O=C(OCC#CI)NCCCC	Training	3.274
13	52645-53-1	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)	Training	4.971
14	79-21-0	O=C(OO)C	Training	1.844
15	90035-08-8	O=C1Oc6ccccc6(C(O)=C1C5c2ccccc2CC(c4ccc(OCc3ccc(cc3)C(F)(F)F)cc4)C5)	Training	3.776
16	2527-66-4	O=C2c1ccccc1SN2C	Training	2.837
17	94361-06-5	OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Training	1.143
18	59-50-7	Oc1ccc(c(c1)C)Cl	Training	1.395
19	71-23-8	OCCC	Training	-1.88
20	39515-40-7	N#CC(OC(=O)C1C(C=C(C)C)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	6.018
21	3691-35-8	O=C1c4ccccc4(C(=O)C1C(=O)C(c2ccccc2)c3ccc(cc3)Cl)	Training	2.901
22	127-52-6	O=S(=O)(NCl)c1ccccc1	Training	1.085
23	57-06-7	C(=NCC=C)=S	Training	3.077
24	533-74-4	C1(N(C)CN(C)CS1)(=S)	Training	2.848
25	122454-29-9	N#Cc1c([nH]c(c1Br)C(F)(F)F)c2ccc(cc2)Cl	Training	5.039
26	120068-37-3	N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Training	3.489
27	122453-73-0	N#Cc2c(c1ccc(cc1)Cl)n(c(c2Br)C(F)(F)F)COCC	Training	4.672
28	13590-97-1	N=C(N)NCCCCCCCCCCCC	Training	2.6
29	138261-41-3	O=[N+]([O-])N=C1NCCN1Cc2cnc(cc2)Cl	Training	0.048
30	77-92-9	O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	-0.897
31	119515-38-7	O=C(OC(C)CC)N1CCCCC1CCO	Training	0.123
32	26046-85-5	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(C)C)C3(C)(C)	Training	5.113
33	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	3.753
34	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	4.947
35	107-02-8	O=CC=C	Training	3.389
36	107-22-2	O=CC=O	Training	-0.67
37	20018-09-1	O=S(=O)(c1ccc(cc1)C)C(I)I	Training	2.75
38	731-27-1	O=S(=O)(N(c1ccc(cc1)C)SC(F)(Cl)Cl)N(C)C	Training	3.887
39	67-63-0	OC(C)C	Training	-2.157
