Mol_ID	CAS	SMILES	Status	Exp LC50 Class
1	10-01-5	O=Cc1ccc(OCCCCCC)c(OC)c1	Training	2
2	10-02-6	O=Cc1cc(c(O)c(OC)c1[N+](=O)[O-])Br	Training	3
3	10-04-8	O=[N+]([O-])c2ccccc2(Oc1ccc(cc1)Cl)	Training	2
4	10-05-9	O=CNc1cccc(c1C)Cl	Training	3
5	10-06-0	O=C(OCCCC)c1cccc(c1)C(=O)OCCCC	Training	1
6	10-07-1	C#CC(O)(c1ccccc1)c2ccccc2	Training	3
7	10-08-2	CCCSCCSCCC	Training	2
8	10-11-7	CCCSCCCCSCCC	Training	2
9	10-15-1	O=C(OCCCl)NC1CCCCC1	Training	3
10	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	4
11	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	3
12	51-79-6	O=C(OCC)N	Training	4
13	54-21-7	O=C(O)c1ccccc1(O)	Training	4
14	55-21-0	O=C(N)c1ccccc1	Training	4
15	57-14-7	NN(C)C	Training	2
16	57-33-0	O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC	Training	3
17	57-43-2	O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C	Training	3
18	58-08-2	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	4
19	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	1
20	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	2
21	59-50-7	Oc1ccc(c(c1)C)Cl	Training	2
22	59-97-2	N1=C(NCC1)Cc2ccccc2	Training	4
23	60-13-9	NC(C)Cc1ccccc1	Training	3
24	60-29-7	O(CC)CC	Training	4
25	60-41-3	O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67)	Training	2
26	62-53-3	Nc1ccccc1	Training	4
27	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	2
28	64-17-5	OCC	Training	4
29	65-30-5	n1cccc(c1)C2N(C)CCC2	Training	3
30	65-45-2	O=C(N)c1ccccc1(O)	Training	4
31	66-25-1	O=CCCCCC	Training	3
32	66-76-2	O=C1Oc4ccccc4(C(O)=C1CC=2C(=O)Oc3ccccc3(C=2(O)))	Training	2
33	67-36-7	O=Cc2ccc(Oc1ccccc1)cc2	Training	2
34	67-56-1	OC	Training	4
35	67-63-0	OC(C)C	Training	4
36	67-64-1	O=C(C)C	Training	4
37	67-66-3	C(Cl)(Cl)Cl	Training	3
38	67-68-5	O=S(C)C	Training	4
39	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2
