id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
1	000110-54-3	C(CCCC)C	Training	-0.3936	-0.0885003824
2	000111-65-9	C(CCCCCC)C	Training	0.3800	0.0140572969
3	000109-69-3	ClCCCC	Training	-1.9844	-1.7922543183
4	000111-85-3	ClCCCCCCCC	Training	0.2100	-0.8612899023
5	000075-09-2	ClCCl	Training	-2.4932	-1.6951931439
6	000075-34-3	C(Cl)(Cl)C	Training	-2.3044	-1.7623311316
7	000107-06-2	ClCCCl	Training	-1.8400	-2.0816935245
8	000142-28-9	ClCCCCl	Training	-1.9693	-1.2537080456
9	000078-87-5	ClCC(Cl)C	Training	-2.1262	-1.6601760726
10	000110-56-5	ClCCCCCl	Training	-1.7124	-1.8576189532
11	000628-76-2	ClCCCCCCl	Training	-1.3998	-1.9310745444
12	000067-66-3	C(Cl)(Cl)Cl	Training	-1.7335	-1.787011375
13	000071-55-6	C(Cl)(Cl)(Cl)C	Training	-1.8462	-1.6655702967
14	000079-00-5	ClCC(Cl)Cl	Training	-1.9285	-1.8408742186
15	000096-18-4	ClCC(Cl)CCl	Training	-1.7077	-1.8940537221
16	000056-23-5	C(Cl)(Cl)(Cl)Cl	Training	-1.3518	-1.8681017568
17	000079-34-5	C(C(Cl)Cl)(Cl)Cl	Training	-1.3805	-1.7261348461
18	000076-01-7	C(C(Cl)Cl)(Cl)(Cl)Cl	Training	-0.9608	-1.2590989664
19	000067-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	-0.0924	-1.3276852281
20	000106-94-5	BrCCC	Training	-1.8276	-0.8042451605
21	000109-65-9	BrCCCC	Training	-1.5644	-0.844340903
22	000111-25-1	BrCCCCCC	Training	-0.5360	-0.7714128799
23	000629-04-9	BrCCCCCCC	Training	-0.1633	-0.4364130699
24	000111-83-1	BrCCCCCCCC	Training	0.0775	-0.4682581633
25	000109-64-8	BrCCCBr	Training	-0.6219	-1.732148166
26	000075-47-8	C(I)(I)I	Training	-0.4653	-1.6188945745
27	000076-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	-1.2785	-999
28	000075-27-4	BrC(Cl)Cl	Training	-1.4468	-1.861163173
29	000124-48-1	BrC(Br)Cl	Training	-1.8974	-1.7089055916
30	000096-12-8	BrCC(Br)CCl	Training	-1.5905	-1.5878502499
31	000110-82-7	C(CCCC1)C1	Training	-0.6527	-0.1310157704
32	000108-87-2	C(CCCC1)(C1)C	Training	-0.3193	0.1310377551
33	001678-91-7	CCC1CCCCC1	Training	0.1279	0.0318428753
34	000099-82-1	C(CCC(C1)C(C)C)(C1)C	Training	0.7242	0.1930548472
35	000091-17-8	C(C(CCC1)CCC2)(C1)C2	Training	0.4344	0.2922617768
36	000281-23-2	C(CC(CC1CC23)C2)(C1)C3	Training	0.5553	0.2615448268
37	000822-86-6	ClC1C(Cl)CCCC1	Training	-1.2634	-1.0863038239
38	000112-41-4	C(=C)CCCCCCCCCC	Training	-0.4121	0.3915131348
39	000075-35-4	C(=C)(Cl)Cl	Training	-1.6526	-1.333801968
40	000156-59-2	C(=CCl)Cl	Training	-1.8255	-1.2366198112
41	000079-01-6	C(=CCl)(Cl)Cl	Training	-1.6354	-1.3084016084
42	000127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	-1.0732	-1.2066954111
43	000110-83-8	C(=CCCC1)C1	Training	-0.7609	-0.8669841441
