ID Fish LC50	CAS	VEGA SMILES	split Fish LC50	Box-Cox Fish LC50
3	56-23-5	C(Cl)(Cl)(Cl)Cl	Test	-2.551580074
11	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	-4.401246199
13	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Test	-1.274345608
14	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	-4.561511853
15	60-24-2	OCCS	Test	-0.937632907
16	60-34-4	NNC	Training	-3.727696197
19	62-53-3	Nc1ccccc1	Training	-1.156867044
25	68-11-1	O=C(O)CS	Training	-0.795825176
27	69-72-7	O=C(O)c1ccccc1(O)	Training	-1.179993482
31	75-08-1	CCS	Training	-2.794454584
35	75-27-4	C(Cl)(Cl)Br	Training	-1.595623111
38	75-35-4	C=C(Cl)Cl	Training	-0.726522963
41	75-91-2	OOC(C)(C)C	Training	0.042829533
44	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	Training	-5.962697265
45	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	-2.017170218
51	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	-2.513799174
54	78-70-6	OC(C=C)(C)CCC=C(C)C	Test	-1.275440085
55	78-79-5	C=CC(=C)C	Training	-1.393272318
56	78-87-5	CC(CCl)Cl	Test	0.363906788
58	79-01-6	C(=C(Cl)Cl)Cl	Test	-1.149799042
59	79-10-7	O=C(O)C=C	Training	-0.148597292
60	79-11-8	O=C(O)CCl	Test	-0.262572262
61	79-14-1	O=C(O)CO	Training	0.025800947
62	79-19-6	NNC(N)=S	Training	-1.354379939
66	80-04-6	OC1CCC(CC1)C(C)(C)C2CCC(O)CC2	Test	-2.21380806
67	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	-2.802362479
72	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	-4.797078252
75	84-15-1	c1ccc(cc1)c3ccccc3(c2ccccc2)	Training	-5.132647966
78	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Test	-3.567341852
79	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	-3.60910273
84	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	-2.545225451
88	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Test	-3.254947703
92	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	-4.989609707
93	88-05-1	Nc1c(cc(cc1C)C)C	Training	-0.855722852
94	88-09-5	O=C(O)C(CC)CC	Training	-0.306378737
95	88-18-6	Oc1ccccc1C(C)(C)C	Training	-3.041593985
98	88-60-8	Oc1cc(ccc1C(C)(C)C)C	Training	-3.304761204
99	88-74-4	O=[N+]([O-])c1ccccc1(N)	Training	-1.115312499
100	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	-0.743605195
101	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	-4.766202875
103	89-40-7	O=C1NC(=O)c2cc(ccc12)[N+](=O)[O-]	Test	-2.453583552
104	89-63-4	O=[N+]([O-])c1cc(ccc1(N))Cl	Training	-2.043208127
105	89-64-5	O=[N+]([O-])c1cc(ccc1(O))Cl	Test	-2.376948917
106	89-72-5	Oc1ccccc1C(C)CC	Training	-2.71120324
107	89-83-8	Oc1cc(ccc1C(C)C)C	Training	-2.880291601
108	90-02-8	O=Cc1ccccc1(O)	Training	-3.447435049
109	90-04-0	O(c1ccccc1(N))C	Test	0.498779137
111	90-12-0	c1ccc2c(c1)cccc2C	Training	-2.708634094
112	90-13-1	c1ccc2c(c1)cccc2Cl	Training	-3.584061241
113	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Training	-4.259248807
115	91-15-6	N#Cc1ccccc1(C#N)	Training	-1.564456927
116	91-17-8	C1CCC2CCCCC2(C1)	Training	-4.352046995
117	91-22-5	n1cccc2ccccc12	Training	-0.632488887
118	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Test	-1.107126087
119	91-53-2	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	-2.890323663
