Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
1	000110-54-3	C(CCCC)C	Training	1.539
2	000111-65-9	C(CCCCCC)C	Training	2.435
3	000109-69-3	ClCCCC	Test	-0.020
4	000111-85-3	ClCCCCCCCC	Training	2.380
5	000075-09-2	ClCCl	Training	-0.565
6	000075-34-3	C(Cl)(Cl)C	Test	-0.310
7	000107-06-2	ClCCCl	Training	0.154
8	000142-28-9	ClCCCCl	Test	0.083
9	000078-87-5	ClCC(Cl)C	Training	-0.074
10	000110-56-5	ClCCCCCl	Training	0.390
11	000628-76-2	ClCCCCCCl	Test	0.748
12	000067-66-3	C(Cl)(Cl)Cl	Test	0.343
13	000071-55-6	C(Cl)(Cl)(Cl)C	Training	0.278
14	000079-00-5	ClCC(Cl)Cl	Test	0.196
15	000096-18-4	ClCC(Cl)CCl	Training	0.460
16	000056-23-5	C(Cl)(Cl)(Cl)Cl	Test	0.835
17	000079-34-5	C(C(Cl)Cl)(Cl)Cl	Training	0.844
18	000076-01-7	C(C(Cl)Cl)(Cl)(Cl)Cl	Training	1.345
19	000067-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.282
20	000106-94-5	BrCCC	Training	0.261
21	000109-65-9	BrCCCC	Training	0.571
22	000111-25-1	BrCCCCCC	Training	1.680
23	000629-04-9	BrCCCCCCC	Training	2.088
24	000111-83-1	BrCCCCCCCC	Test	2.362
25	000109-64-8	BrCCCBr	Training	1.683
26	000075-47-8	C(I)(I)I	Training	2.130
27	000076-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	0.994
28	000075-27-4	BrC(Cl)Cl	Training	0.767
29	000124-48-1	BrC(Br)Cl	Test	0.421
30	000096-12-8	BrCC(Br)CCl	Training	0.782
31	000110-82-7	C(CCCC1)C1	Test	1.270
32	000108-87-2	C(CCCC1)(C1)C	Training	1.670
33	001678-91-7	CCC1CCCCC1	Test	2.175
34	000099-82-1	C(CCC(C1)C(C)C)(C1)C	Test	2.868
35	000091-17-8	C(C(CCC1)CCC2)(C1)C2	Training	2.572
36	000281-23-2	C(CC(CC1CC23)C2)(C1)C3	Training	2.687
37	000822-86-6	ClC1C(Cl)CCCC1	Training	0.920
38	000112-41-4	C(=C)CCCCCCCCCC	Test	1.811
39	000075-35-4	C(=C)(Cl)Cl	Training	0.333
40	000156-59-2	C(=CCl)Cl	Test	0.160
41	000079-01-6	C(=CCl)(Cl)Cl	Training	0.483
42	000127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	1.146
43	000110-83-8	C(=CCCC1)C1	Training	1.151
44	000498-66-8	C1C2C=CC1CC2	Test	0.974
45	000078-79-5	C(C=C)(=C)C	Test	0.657
46	000592-46-1	CC=CC=CC	Training	0.610
47	000513-81-5	C(C(=C)C)(=C)C	Training	1.078
48	000764-13-6	C(=CC=C(C)C)(C)C	Training	1.546
49	001647-16-1	C(=C)CCCCCCC=C	Test	2.679
50	000100-40-3	C(=CCCC1C=C)C1	Training	1.371
51	000111-78-4	C(=CCCC=CC1)C1	Test	0.920
52	003048-65-5	C(C(C=C1)CC=C2)(C2)C1	Test	1.436
53	000138-86-3	C(=CCC(C(=C)C)C1)(C1)C	Training	2.093
54	016219-75-3	C(C(C=CC12)C1)(=CC)C2	Training	1.235
55	000123-35-3	C(C=C)(=C)CCC=C(C)C	Test	2.170
56	000542-75-6	C(=CCl)CCl	Training	1.869
57	000760-23-6	C(C(Cl)CCl)=C	Training	0.917
58	001871-57-4	C=C(CCl)CCl	Test	2.819
59	000087-68-3	C(=C(C(=C(Cl)Cl)Cl)Cl)(Cl)Cl	Test	3.461
60	000077-47-4	C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl	Training	4.290
61	000067-56-1	OC	Test	-2.898
62	000064-17-5	OCC	Test	-2.542
63	000071-23-8	OCCC	Test	-1.880
64	000067-63-0	OC(C)C	Test	-2.160
65	000071-36-3	OCCCC	Test	-1.365
66	000078-92-2	OC(CC)C	Training	-1.690
67	000075-65-0	OC(C)(C)C	Training	-1.809
68	000078-83-1	OCC(C)C	Training	-1.275
69	000584-02-1	OC(CC)CC	Training	-1.050
70	000071-41-0	OCCCCC	Test	-0.730
71	000111-27-3	OCCCCCC	Test	0.020
72	000077-74-7	OC(CC)(CC)C	Training	-0.819
73	000600-36-2	OC(C(C)C)C(C)C	Test	-0.149
74	000111-70-6	OCCCCCCC	Training	0.669
75	000111-87-5	OCCCCCCCC	Test	0.938
76	000104-76-7	OCC(CCCC)CC	Training	0.662
77	000143-08-8	OCCCCCCCCC	Training	1.484
78	003452-97-9	OCCC(CC(C)(C)C)C	Training	0.712
79	000112-30-1	OCCCCCCCCCC	Test	1.747
80	025339-17-7	OCCCCCCCC(C)C	Test	1.429
81	000112-42-5	OCCCCCCCCCCC	Training	2.210
82	000112-53-8	OCCCCCCCCCCCC	Test	2.260
83	000112-70-9	OCCCCCCCCCCCCC	Training	2.071
84	000075-89-8	FC(F)(F)CO	Training	-0.078
85	029553-26-2	FC(F)C(F)(F)C(O)(C)C	Training	-0.560
86	000920-66-1	FC(F)(F)C(O)C(F)(F)F	Test	-0.161
87	000107-07-3	OCCCl	Test	0.192
88	000127-00-4	OC(CCl)C	Test	-0.412
89	000115-20-8	OCC(Cl)(Cl)Cl	Test	-0.268
90	006001-64-5	CC(C)(O)C(Cl)(Cl)Cl	Training	0.119
91	000096-13-9	OCC(Br)CBr	Training	0.489
92	000108-93-0	OC(CCCC1)C1	Training	-0.849
93	002216-51-5	OC(C(CCC1C)C(C)C)C1	Test	0.917
94	000497-37-0	C1(O)CC2CC1CC2	Training	-0.308
95	000464-45-9	OC(CC1C2)C(C2)(C1(C)C)C	Training	0.388
96	000928-96-1	OCCC=CCC	Training	-0.510
97	000107-18-6	OCC=C	Training	2.125
98	006117-91-5	OCC=CC	Training	1.256
99	000556-82-1	OCC=C(C)C	Training	0.263
100	004798-44-1	OC(C=C)CCC	Training	0.519
101	000924-41-4	OC(CC=C)C=C	Training	0.410
102	000078-70-6	OC(C=C)(CCC=C(C)C)C	Test	0.597
103	007212-44-4	OC(C=C)(CCC=C(CCC=C(C)C)C)C	Training	2.192
104	000596-85-0	CC(O)(CCC1C(=C)CCC2C(C)(C)CCCC12C)C=C	Training	3.384
105	000927-74-2	OCCC#C	Test	0.289
106	002117-11-5	OC(C)CC#C	Training	0.380
107	076334-36-6	BrC(=C)CCO	Test	0.551
108	000107-19-7	OCC#C	Test	1.570
109	000764-01-2	CC#CCO	Training	0.840
110	065337-13-5	CC(O)C#C	Training	0.779
111	000115-19-5	OC(C#C)(C)C	Training	-1.591
112	000077-75-8	OC(C#C)(CC)C	Test	-1.092
113	007383-19-9	OC(C#C)CCCC	Training	1.802
114	001482-15-1	OC(C#C)(C)C(C)C	Training	-0.261
115	000818-72-4	OC(C#C)CCCCC	Test	2.488
116	019549-98-5	CC(C)CCC(C)(O)C#C	Training	0.459
117	004117-14-0	OCC#CCCCCCCC	Training	2.159
118	000078-27-3	OC(C#C)(CCCC1)C1	Training	-0.312
119	000110-65-6	OCC#CCO	Training	0.208
120	000109-86-4	O(CCO)C	Training	-2.360
121	000110-80-5	O(CCO)CC	Training	-2.260
122	000107-98-2	O(CC(O)C)C	Test	-2.363
123	000111-76-2	O(CCCC)CCO	Test	-0.920
124	000109-59-1	O(C(C)C)CCO	Test	-1.720
125	000111-90-0	O(CCOCC)CCO	Training	-2.199
126	000112-34-5	O(CCOCCO)CCCC	Test	-0.850
127	000107-21-1	OCCO	Training	-2.900
128	000057-55-6	OCC(O)C	Test	-2.162
129	000107-41-5	OC(CC(O)(C)C)C	Training	-1.934
130	000080-04-6	OC(CCC(C(C(CCC(O)C1)C1)(C)C)C2)C2	Training	1.102
131	000111-46-6	O(CCO)CCO	Test	-2.805
132	000112-27-6	O(CCOCCO)CCO	Test	-2.655
133	000060-29-7	O(CC)CC	Test	-1.500
134	001634-04-4	O(C(C)(C)C)C	Training	-0.896
135	000108-20-3	O(C(C)C)C(C)C	Training	-0.122
136	000142-96-1	O(CCCC)CCCC	Training	0.605
137	000544-01-4	O(CCC(C)C)CCC(C)C	Training	1.367
138	000693-65-2	O(CCCCC)CCCCC	Test	1.693
139	000127-90-2	C(Cl)(Cl)(Cl)C(Cl)COCC(Cl)C(Cl)(Cl)Cl	Training	2.806
140	003295-94-1	CCCCCCOCC=C	Training	1.463
141	000109-99-9	O(CCC1)C1	Training	-1.479
142	015045-43-9	O1C(C)(C)CCC1(C)C	Test	-0.119
143	000470-82-6	C1CC2C(C)(C)OC1(C)CC2	Training	0.180
144	000100-79-8	O(CC(O1)CO)C1(C)C	Training	-2.100
145	003984-22-3	O(CC1)C(O1)C=C	Training	0.188
146	034723-82-5	BrCC1CCCCO1	Training	-0.060
147	000123-91-1	O(CCOC1)C1	Test	-2.058
148	000110-88-3	O(COCO1)C1	Test	-1.820
149	000075-07-0	O=CC	Training	0.138
150	000123-72-8	O=CCCC	Test	0.672
151	000110-62-3	O=CCCCC	Test	0.826
152	000096-17-3	O=CC(CC)C	Test	0.938
153	000590-86-3	O=CCC(C)C	Training	1.422
154	000123-15-9	O=CC(CCC)C	Training	0.729
155	000066-25-1	O=CCCCCC	Training	0.808
156	003944-76-1	CCC(C)C(C)C(=O)	Test	0.852
157	003268-49-3	O=CCCSC	Training	1.173
158	000107-02-8	O=CC=C	Test	3.448
159	004170-30-3	O=CC=CC	Training	2.988
160	000111-30-8	O=CCCCC=O	Training	1.056
161	000067-64-1	O=C(C)C	Training	-2.226
162	000078-93-3	O=C(CC)C	Test	-1.650
163	000563-80-4	O=C(C(C)C)C	Test	-1.010
164	000096-22-0	O=C(CC)CC	Test	-1.256
165	000107-87-9	O=C(CCC)C	Training	-1.159
166	000108-10-1	O=C(CC(C)C)C	Test	-0.718
167	000591-78-6	O=C(CCCC)C	Training	-0.630
168	000075-97-8	O=C(C(C)(C)C)C	Training	0.060
169	000111-13-7	O=C(CCCCCC)C	Test	0.551
170	000110-43-0	O=C(CCCCC)C	Test	-0.060
171	000110-12-3	O=C(CCC(C)C)C	Test	-0.142
172	000502-56-7	O=C(CCCC)CCCC	Training	0.661
173	000821-55-6	O=C(CCCCCCC)C	Test	0.970
174	000693-54-9	O=C(CCCCCCCC)C	Training	1.434
175	000112-12-9	O=C(CCCCCCCCC)C	Training	1.904
176	006175-49-1	O=C(CCCCCCCCCC)C	Test	2.192
177	000593-08-8	O=C(CCCCCCCCCCC)C	Training	2.740
178	000108-94-1	O=C(CCCC1)C1	Training	-0.765
179	000464-48-2	O=C(CC1C2)C(C2)(C1(C)C)C	Test	0.952
180	010293-06-8	O=C(C(C(C1C2)(C)C)(C2)C)C1Br	Training	0.528
181	000700-58-3	C13CC2CC(CC(C1=O)C2)C3	Test	0.393
182	000110-93-0	O=C(CCC=C(C)C)C	Training	0.165
183	001502-22-3	O=C(C(C(=CCCC1)C1)CCC2)C2	Test	0.789
184	001335-46-2	O=C(C=CC1C(=C(CCC1(C)C)C)C)C	Test	1.837
