id 	cas	smiles	status	exp_values
1		Nc1cc(Cl)cc(Cl)c1S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(F)(F)F	Training	1
2		FC(F)(F)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3c(Cl)cc(Cl)cc3Cl	Training	1
3		Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(F)(F)F	Training	1
4		CC(C)(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3c(N)cc(Cl)cc3Cl	Training	1
5		Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(Cc2c[nH]c3cccc(C)c23)C(F)(F)F	Training	1
6		Cc1ccc2[nH]cc(CC(NS(=O)(=O)c3c(C)cc(C)cc3C)C(F)(F)F)c2c1	Training	1
7		Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(Cc2c[nH]c3cc(ccc23)C#N)C(F)(F)F	Training	1
8		Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(Cn2cc(C#N)c3ccccc23)C(F)(F)F	Training	1
9		Cc1cc(C)c(c(C)c1)S(=O)(=O)NC(Cn2ccc3c(cccc23)C#N)C(F)(F)F	Training	1
10		CC[C@@H](Cn1cc(C#N)c2ccccc12)NS(=O)(=O)c3c(N)cc(Cl)cc3Cl	Training	1
11		C[C@@H](COc1cccc2cnccc12)NS(=O)(=O)c3c(C)cc(C)cc3C	Training	1
12		C[C@@H](CNc1ccc2cnccc2c1)NS(=O)(=O)c3c(C)cc(C)cc3C	Training	1
13		C[C@@H](CCc1cccc2c1cnn2c3ccc(F)cc3)NS(=O)(=O)c4c(C)cc(C)cc4C	Training	1
14		C[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3c(C)cc(C)cc3C	Training	1
15		COc1ccc(cc1)n2ncc3c(NC[C@H](C)NS(=O)(=O)c4c(C)cc(C)cc4C)cc(C)cc23	Training	1
16		C[C@@H](CNc1cc(C)cc2c1cnn2c3ccc(cc3)C#N)NS(=O)(=O)c4c(C)cc(C)cc4C	Training	1
17		C[C@@H](CNc1cc(C)cc2c1cnn2c3ccc(cc3)S(=O)(=O)C)NS(=O)(=O)c4c(C)cc(C)cc4C	Training	1
18		CC(C)Nc1ccc(cc1)n2ncc3c(NC[C@H](C)NS(=O)(=O)c4c(C)cc(C)cc4C)cc(C)cc23	Training	1
19		C[C@@H](CNc1cc(C)cc2c1cnn2c3ccc(NC4CC4)cc3)NS(=O)(=O)c5c(C)cc(C)cc5C	Training	1
20		C[C@@H](CNc1cc(C)cc2c1cnn2c3ccc(NCC(=O)N)cc3)NS(=O)(=O)c4c(C)cc(C)cc4C	Training	1
