No	CAS	SMILES VEGA	Set	EXP (Log atm-m3/mole)	yc_weighted (pred pesata)
1	50-00-0	O=C	Training	-6.47237009912864	-4.17245416688625
2	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	-5.07987667370929	-4.72808173264305
3	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	-6.34008379993015	-6.17601042430692
4	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	-7.06550154875643	-7.03369335240815
5	55-21-0	O=C(N)c1ccccc1	Training	-9.61083391563546	-7.38326359322684
6	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	-1.55909091793478	-1.13377352510798
7	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	-6.52578373592374	-6.22178436829612
8	56-81-5	OCC(O)CO	Training	-7.76195389687121	-7.99853948663201
9	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	-5.49794861162898	-3.53631441393607
10	60-29-7	O(CC)CC	Training	-2.9100948885606	-3.13487693842346
11	64-17-5	OCC	Training	-5.30102999566399	-5.17665326390541
12	64-18-6	O=CO	Training	-6.77728352885244	-5.97478051311991
13	64-19-7	O=C(O)C	Training	-6.99999999999999	-6.55500800051249
14	66-25-1	O=CCCCCC	Training	-3.67162039656126	-4.07761237929639
15	67-63-0	OC(C)C	Training	-5.09151498112136	-5.10962744089549
16	67-64-1	O=C(C)C	Training	-4.45593195564974	-4.10892323116007
17	67-66-3	C(Cl)(Cl)Cl	Training	-2.43533393574791	-2.83435684992123
18	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	-2.41005039867429	-1.83726237236612
19	68-12-2	O=CN(C)C	Training	-7.13135556160519	-7.32121205056147
20	71-36-3	OCCCC	Training	-5.05502409158796	-4.95432005819352
21	71-41-0	OCCCCC	Training	-4.88605664769315	-4.87635995385847
22	71-43-2	c1ccccc1	Training	-2.25570701687732	-2.61293452388648
23	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	-6.69250396208678	-5.57873473733088
24	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	-5.18045606445813	-4.4017924964035
25	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	-4.38090666937328	-7.55634106199759
26	74-83-9	CBr	Training	-2.13430394008393	-2.01670364921654
27	74-87-3	CCl	Training	-2.05453141486818	-1.94197716047676
28	74-88-4	CI	Training	-2.27901425584626	-2.58604079256607
29	74-90-8	N#C	Training	-3.87614835903291	-3.03009338596231
30	74-95-3	C(Br)Br	Training	-3.08512818245995	-2.29431369493829
31	75-01-4	C=CCl	Training	-1.55595520408193	-2.05631550649879
32	75-04-7	NCC	Training	-4.9100948885606	-4.81412801532366
33	75-07-0	O=CC	Training	-4.17587416608345	-4.61476187595647
34	75-08-1	CCS	Training	-2.34390179798717	-2.30649811731678
35	75-09-2	C(Cl)Cl	Training	-2.48811663902113	-2.18714761353327
36	75-15-0	C(=S)=S	Training	-1.84163750790475	-3.74728093040955
37	75-18-3	CSC	Training	-2.79317412396815	-2.55468180796086
38	75-21-8	O1CC1	Training	-3.82973828460504	-3.77112228397525
39	75-25-2	C(Br)(Br)Br	Training	-3.27164621797877	-2.71089449550595
40	75-34-3	CC(Cl)Cl	Training	-2.25026368443094	-1.90299940919349
41	75-35-4	C=C(Cl)Cl	Training	-1.58335949266172	-4.15555502779441
42	75-37-6	FC(F)C	Training	-1.69250396208679	-1.45456254421193
43	75-44-5	O=C(Cl)Cl	Training	-1.77728352885242	-1.84515616183799
44	75-45-6	FC(F)Cl	Training	-1.39147396642281	-1.31945212793493
45	75-50-3	N(C)(C)C	Training	-3.98296666070122	-3.59708337175788
46	75-52-5	O=[N+]([O-])C	Training	-4.54363396687097	-4.27187994427464
47	75-63-8	FC(F)(F)Br	Training	-0.30189945437661	-0.64078062274806
48	75-65-0	OC(C)(C)C	Training	-5.04335142079478	-5.06033713240191
49	75-69-4	FC(Cl)(Cl)Cl	Training	-1.01322826573375	0.606422227562163
50	75-71-8	FC(F)(Cl)Cl	Training	-0.464705879957231	-0.19450963003486
51	75-72-9	FC(F)(F)Cl	Training	0.139879086401236	-0.267091482275838
52	75-87-6	O=CC(Cl)(Cl)Cl	Training	-8.53610701101409	-4.80053754434128
53	75-89-8	FC(F)(F)CO	Training	-4.76195389687119	-5.47866402507424
54	75-96-7	O=C(O)C(Br)(Br)Br	Training	-8.47625353318843	-8.10617509328108
55	75-98-9	O=C(O)C(C)(C)C	Training	-5.55595520408191	-6.19118348448626
56	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	-7.86966623150498	-8.24142052340692
57	76-04-0	O=C(O)C(F)(F)Cl	Training	-7.38721614328026	-6.66738378974247
58	76-05-1	O=C(O)C(F)(F)F	Training	-6.95467702121335	-6.22091462489823
59	76-16-4	FC(F)(F)C(F)(F)F	Training	1.30749603791321	-0.561338296016879
60	76-37-9	FC(F)C(F)(F)CO	Training	-5.20134935455472	-4.97617527616199
61	76-38-0	FC(F)(OC)C(Cl)Cl	Training	-2.43179827593301	-3.05160199530832
62	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	-3.53165266958784	-4.32926489145563
63	78-48-8	O=P(SCCCC)(SCCCC)SCCCC	Training	-6.53165266958783	-5.78506957212424
64	78-70-6	OC(C=C)(C)CCC=C(C)C	Training	-4.66756154008441	-5.83687624365595
65	78-83-1	OCC(C)C	Training	-5.00966114521238	-4.97118796443126
66	78-85-3	O=CC(=C)C	Training	-3.6345120151091	-4.40344532423666
67	78-86-4	CCC(C)Cl	Training	-1.61798295742513	-1.80869961373581
68	78-87-5	CC(CCl)Cl	Training	-2.54975089168064	-2.97716998161093
69	78-92-2	OC(C)CC	Training	-5.04287180232319	-4.99368218334102
70	78-93-3	O=C(C)CC	Training	-4.24488773360493	-4.14737330021042
71	78-94-4	O=C(C=C)C	Training	-4.33254704711004	-4.14005603962713
72	78-98-8	O=CC(=O)C	Training	-6.568636235841	-7.47655844582156
73	79-00-5	C(C(Cl)Cl)Cl	Training	-3.08407278830288	-2.7855011909199
74	79-08-3	O=C(O)CBr	Training	-8.1857524042681	-7.66834804569469
75	79-09-4	O=C(O)CC	Training	-6.35163998901908	-6.23311603975956
76	79-11-8	O=C(O)CCl	Training	-8.03338901331806	-7.24353593737224
77	79-20-9	O=C(OC)C	Training	-3.93930215964639	-3.73256534266778
78	79-24-3	O=[N+]([O-])CC	Training	-4.32239304727951	-4.51689925602063
79	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	-3.43533393574791	-2.92155259918054
80	79-41-4	O=C(O)C(=C)C	Training	-6.41116827440578	-6.94094471793154
81	79-43-6	O=C(O)C(Cl)Cl	Training	-8.07675598136972	-7.75515266281996
82	80-56-8	C1=C(C)C2CC(C1)C2(C)(C)	Training	-0.872895201635194	-1.41551085932105
83	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	-3.73518217699046	-3.6172620978451
84	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	-5.7423214251308	-7.7267748739555
85	86-57-7	O=[N+]([O-])c2cccc1ccccc12	Training	-5.75448733218584	-5.04943480770945
86	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	-4.01682492796219	-3.96803725012823
87	86-74-8	c1ccc3c(c1)[nH]c2ccccc23	Training	-6.93554201077306	-7.14631558075865
88	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	-1.98716277529483	-1.93793637496024
89	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	-7.61083391563545	-5.81416036852879
90	88-72-2	O=[N+]([O-])c1ccccc1C	Training	-4.90308998699194	-5.0290863622309
91	88-73-3	O=[N+]([O-])c1ccccc1Cl	Training	-5.03151705144608	-5.0263904952614
92	88-74-4	O=[N+]([O-])c1ccccc1(N)	Training	-7.22914798835786	-6.91050597415851
93	90-05-1	Oc1ccccc1(OC)	Training	-5.92081875395237	-6.94589975951176
94	90-13-1	c1ccc2c(c1)cccc2Cl	Training	-3.44977164694491	-3.28494322235917
