Mol_ID	CAS	SMILES	Status	Exp tox
1	n.a.	OCC4=CC(NC1C(O)C(O)C(OC1(C))OC2C(O)C(O)C(OC2(CO))OC3C(O)C(O)C(O)OC3(CO))C(O)C(O)C4(O)	Training	1
2	n.a.	O=C(Nc1ccc(O)cc1)C	Training	1
3	n.a.	O=C1N=CNc2cn[nH]c12	Training	1
4	n.a.	N#CC(c1cc(cc(c1)C(C#N)(C)C)Cn2ncnc2)(C)C	Training	1
5	n.a.	O=C(O)CC(O)CC(O)CCn4c(c1ccc(F)cc1)c(c2ccccc2)c(C(=O)Nc3ccccc3)c4C(C)C	Test	1
6	n.a.	O=[N+]([O-])c1ncn(c1Sc3ncnc2[nH]cnc23)C	Training	1
7	n.a.	O=C(O)CC(c1ccc(cc1)Cl)CN	Training	1
8	n.a.	N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(O)(C)CS(=O)(=O)c2ccc(F)cc2	Training	1
9	n.a.	O=C(O)C1=NN(c2cc3OCOc3(cc2(C1(=O))))CC	Training	1
10	n.a.	N=3c1ccccc1N(c2ccc(cc2)Cl)C4=CC(=NC(C)C)C(=CC=34)Nc5ccc(cc5)Cl	Test	1
12	n.a.	N2=C(Nc1c(cccc1Cl)Cl)NCC2	Training	1
13	n.a.	N=1c4ccc(cc4(NC(=C2C=CC=CC=12)N3CCN(C)CC3))Cl	Training	1
14	n.a.	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	Training	1
15	n.a.	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	1
16	n.a.	O=C(O)Cc2ccccc2(Nc1c(cccc1Cl)Cl)	Test	1
17	n.a.	O=C3N=CNc1c3(ncn1C2OC(CO)CC2)	Training	1
18	n.a.	C(N(CC)CC)(=S)SSC(N(CC)CC)=S	Training	1
19	n.a.	O3c1ccccc1C(=CCCN(C)C)c2ccccc2C3	Training	1
20	n.a.	O=C(Nc1ccccc1CCC2N(C)CCCC2)c3ccc(OC)cc3	Training	1
21	n.a.	O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Test	1
22	n.a.	O=C(OCC)C=C(C=CC=C(C=Cc1c(cc(OC)c(c1C)C)C)C)C	Training	1
23	n.a.	O=C(OCC(c1ccccc1)COC(=O)N)N	Training	1
24	n.a.	O=C(NCC1NCCCC1)c2cc(OCC(F)(F)F)ccc2(OCC(F)(F)F)	Training	1
25	n.a.	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3	Training	1
26	n.a.	FC(F)(F)c2ccc(OC(c1ccccc1)CCNC)cc2	Test	1
27	n.a.	O=C(Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])C(C)C	Training	1
28	n.a.	FC(F)(F)c1ccc(cc1)C(=NOCCN)CCCCOC	Training	1
29	n.a.	O=C3C=C(OC)C2(Oc1c(c(OC)cc(OC)c1Cl)C2(=O))C(C)C3	Training	1
30	n.a.	O=C(NC2c1ccccc1CC2(O))C(Cc3ccccc3)CC(O)CN5CCN(Cc4cnccc4)CC5(C(=O)NC(C)(C)C)	Training	1
31	n.a.	O=C(NN)c1ccncc1	Test	1
33	n.a.	O=C1N(N=CN1c2ccc(cc2)N7CCN(c6ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5ncnc5)cc6)CC7)C(C)CC	Training	1
34	n.a.	O=C(N5CCN(c4ccc(OCC1OC(OC1)(c2ccc(cc2Cl)Cl)Cn3cncc3)cc4)CC5)C	Training	1
35	n.a.	O=C1N=C(N)C=CN1C2OC(CO)SC2	Training	1
36	n.a.	n1nc(c(nc1N)N)c2cccc(c2Cl)Cl	Training	1
