No.	CAS	SMILES	Set	Exp KOA	Pred (weighted)
1	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	9.82	9.1073
2	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	2.79	2.8069
3	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	8.295	6.8855
4	60-29-7	O(CC)CC	Training	2.19	2.2507
5	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	8.515	9.3239
6	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	9.59	8.4836
7	64-17-5	OCC	Training	3.25	2.9684
8	64-19-7	O=C(O)C	Training	4.31	3.5049
9	66-25-1	O=CCCCCC	Training	4.41	3.6675
10	67-56-1	OC	Training	2.88	2.5656
11	67-63-0	OC(C)C	Training	3.41	3.8559
12	67-64-1	O=C(C)C	Training	2.31	2.3145
13	67-66-3	C(Cl)(Cl)Cl	Training	2.8	2.5282
14	67-68-5	O=S(C)C	Training	4.96	3.7016
15	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	4.47	4.5690
16	68-12-2	O=CN(C)C	Training	4.38	2.8201
17	69-72-7	O=C(O)c1ccccc1(O)	Training	7.44	7.7953
18	71-23-8	OCCC	Training	3.71	3.7616
19	71-36-3	OCCCC	Training	4.19	3.9539
20	71-41-0	OCCCCC	Training	4.69	3.9866
21	71-43-2	c1ccccc1	Training	2.78	3.1877
22	71-55-6	CC(Cl)(Cl)Cl	Training	2.7	2.8011
23	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	10.1	9.2259
24	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	9.68	9.1211
25	74-82-8	C	Training	-0.38	0.4031
26	74-84-0	CC	Training	0.42	1.2994
27	74-85-1	C=C	Training	0.28	0.7250
28	74-87-3	CCl	Training	1.39	1.4924
29	74-88-4	CI	Training	2.16	2.2809
30	74-89-5	NC	Training	1.9	2.8732
31	74-95-3	C(Br)Br	Training	3.07	3.0098
32	74-96-4	CCBr	Training	2.11	2.2900
33	74-98-6	CCC	Training	0.97	1.8996
34	75-03-6	CCI	Training	2.59	2.8580
35	75-05-8	N#CC	Training	2.31	1.9023
36	75-09-2	C(Cl)Cl	Training	2.27	2.2873
37	75-15-0	C(=S)=S	Training	2.28	2.2555
38	75-34-3	CC(Cl)Cl	Training	2.41	2.1308
39	75-52-5	O=[N+]([O-])C	Training	2.53	1.4477
40	75-65-0	OC(C)(C)C	Training	3.5	3.8370
41	75-73-0	FC(F)(F)F	Training	-0.95	0.4303
42	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	7.64	9.5477
43	78-79-5	C=CC(=C)C	Training	2.06	2.3017
44	78-82-0	N#CC(C)C	Training	2.87	2.5539
45	78-83-1	OCC(C)C	Training	3.93	3.9232
46	78-87-5	CC(CCl)Cl	Training	2.96	3.3241
47	78-92-2	OC(C)CC	Training	3.85	3.9232
48	78-93-3	O=C(C)CC	Training	2.71	2.8301
49	79-00-5	C(C(Cl)Cl)Cl	Training	3.4	3.1442
50	79-01-6	C(=C(Cl)Cl)Cl	Training	2.99	3.7600
51	79-20-9	O=C(OC)C	Training	2.31	2.2827
52	79-24-3	O=[N+]([O-])CC	Training	2.88	2.0722
53	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	6.31	6.7841
54	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	7.57	7.4865
55	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	6.79	7.0808
56	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	5.19	4.9815
57	87-85-4	c1(c(c(c(c(c1C)C)C)C)C)C	Training	6.31	5.5731
58	90-13-1	c1ccc2c(c1)cccc2Cl	Training	5.8	5.7713
59	91-20-3	c1ccc2ccccc2(c1)	Training	5.19	5.0009
60	91-58-7	c1ccc2cc(ccc2(c1))Cl	Training	5.8	5.7713
61	92-52-4	c1ccc(cc1)c2ccccc2	Training	6.15	5.8366
62	95-47-6	c1ccc(c(c1)C)C	Training	3.91	3.9128
