No	CAS	SMILES	Set	EXP (Log L/Kg)	yc_weighted (pred pesata)
1	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	5.31	4.748
2	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	5.95	5.475
3	50-65-7	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2cc(ccc2(O))Cl	Training	3.35	3.323
4	51-66-1	O=C(Nc1ccc(OC)cc1)C	Training	1.4	2.016
5	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	1.9	1.057
6	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	6.22	5.751
7	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	3.14	3.593
8	54-11-5	n1cccc(c1)C2N(C)CCC2	Training	2.01	2.188
9	55-21-0	O=C(N)c1ccccc1	Training	1.46	1.516
10	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	3.18	3.031
11	56-04-2	O=C1NC(N=C(C)C1)=S	Training	2.14	1.773
12	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	1.85	1.872
13	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	3.2	2.919
14	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	6.1	5.743
15	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	4.14	4.343
16	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	5.3	5.408
17	57-13-6	O=C(N)N	Training	0.15	0.953
18	57-55-6	OCC(O)C	Training	0.36	1.016
19	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	4.78	4.452
20	57-97-6	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	5.37	5.341
21	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	3.17	3.19
22	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	3.35	4.007
23	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	2.79	2.274
24	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	3.87	2.757
25	60-12-8	OCCc1ccccc1	Training	1.5	1.613
26	60-35-5	O=C(N)C	Training	0.7	0.614
27	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	1.2	1.47
28	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	4.08	5.043
29	61-82-5	n1c[nH]nc1N	Training	1.25	0.682
30	62-53-3	Nc1ccccc1	Training	1.6	1.815
31	62-55-5	NC(C)=S	Training	0.78	0.846
32	62-56-6	NC(N)=S	Training	0.85	0.718
33	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	1.67	1.157
34	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	2.4	2.244
35	63-99-0	O=C(N)Nc1cccc(c1)C	Training	1.56	1.49
36	64-10-8	O=C(N)Nc1ccccc1	Training	1.35	1.756
37	64-17-5	OCC	Training	0.2	0.504
38	64-19-7	O=C(O)C	Training	0	0.866
39	65-85-0	O=C(O)c1ccccc1	Training	1.5	1.598
40	66-75-1	O=C1N=CC(C(=O)N1)N(CCCl)CCCl	Training	1.46	1.657
41	67-56-1	OC	Training	0.44	0.454
42	67-66-3	C(Cl)(Cl)Cl	Training	1.6	1.933
43	71-23-8	OCCC	Training	0.48	0.976
44	71-36-3	OCCCC	Training	0.5	1.453
45	71-41-0	OCCCCC	Training	0.7	1.325
46	71-43-2	c1ccccc1	Training	1.75	1.545
47	71-55-6	CC(Cl)(Cl)Cl	Training	1.95	1.739
48	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	4.9	4.484
49	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	4.21	4.844
50	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	4.82	4.627
51	74-83-9	CBr	Training	1.34	1.76
52	75-09-2	C(Cl)Cl	Training	1.44	1.704
53	75-15-0	C(=S)=S	Training	2.34	1.729
54	75-25-2	C(Br)(Br)Br	Training	2.06	2.362
55	75-27-4	C(Cl)(Cl)Br	Training	1.78	1.931
56	75-34-3	CC(Cl)Cl	Training	1.48	1.68
57	75-35-4	C=C(Cl)Cl	Training	1.81	1.663
58	75-60-5	O=[As](O)(C)C	Training	3	2.419
59	75-99-0	O=C(O)C(C)(Cl)Cl	Training	0.4	0.319
60	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	0.3	1.574
61	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	Training	1.79	1.876
62	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	4.38	4.771
63	78-48-8	O=P(SCCCC)(SCCCC)SCCCC	Training	3.7	3.502
64	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	1.4	2.79
65	78-87-5	CC(CCl)Cl	Training	1.67	1.702
66	79-00-5	C(C(Cl)Cl)Cl	Training	1.89	1.986
67	79-01-6	C(=C(Cl)Cl)Cl	Training	2	1.769
68	79-06-1	O=C(N)C=C	Training	1.7	0.581
69	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	1.9	1.859
70	81-81-2	O=C2Oc1ccccc1C(=O)C2C(c3ccccc3)CC(=O)C	Training	2.96	2.906
71	82-28-0	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	3.9	2.965
72	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	3.98	4.174
73	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	3.59	3.748
74	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	4	5.591
75	84-65-1	O=C1c3ccccc3(C(=O)c2ccccc12)	Training	3.57	2.883
76	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	1.84	2.396
77	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Training	3.14	2.787
78	84-72-0	O=C(OCC(=O)OCC)c1ccccc1(C(=O)OCC)	Training	2.54	2.319
79	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	3.14	3.407
80	84-75-3	O=C(OCCCCCC)c1ccccc1(C(=O)OCCCCCC)	Training	4.72	3.634
81	85-00-7	c1cc[n+]3c(c1)c2cccc[n+]2CC3	Training	2.7	4.352
82	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	4.35	4.223
83	85-02-9	n1cccc3c1ccc2ccccc23	Training	4.64	4.039
84	85-22-3	c1(c(c(c(c(c1Br)Br)Br)Br)Br)CC	Training	4.92	4.006
85	85-34-7	O=C(O)Cc1c(ccc(c1Cl)Cl)Cl	Training	1.8	1.941
86	85-44-9	O=C1OC(=O)c2ccccc12	Training	1.56	1.666
87	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	3.72	3.253
88	85-70-1	O=C(OCC(=O)OCCCC)c1ccccc1(C(=O)OCCCC)	Training	3.7	3.364
89	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	3.08	2.478
90	86-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	2.28	2.582
91	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	3.7	3.788
92	86-74-8	c1ccc3c(c1)[nH]c2ccccc23	Training	3.4	4.045
93	86-86-2	O=C(N)Cc2cccc1ccccc12	Training	2	2.32
94	86-87-3	O=C(O)Cc2cccc1ccccc12	Training	2.2	2.36
95	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	3.33	3.108
96	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	4.3	4.009
97	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	3.03	3.501
98	88-30-2	O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Training	2.11	2.643
99	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	2.7	3.307
100	88-99-3	O=C(O)c1ccccc1(C(=O)O)	Training	1.07	1.73
101	90-05-1	Oc1ccccc1(OC)	Training	1.56	2.006
102	90-12-0	c1ccc2c(c1)cccc2C	Training	3.36	3.224
103	90-15-3	Oc1cccc2ccccc12	Training	2.72	3.337
104	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	2.21	3.329
105	91-01-0	OC(c1ccccc1)c2ccccc2	Training	2.34	2.578
106	91-16-7	O(c1ccccc1(OC))C	Training	2.03	2.391
107	91-17-8	C1CCC2CCCCC2(C1)	Training	3.67	3.562
108	91-20-3	c1ccc2ccccc2(c1)	Training	2.96	3.196
109	91-22-5	n1cccc2ccccc12	Training	3.1	2.67
110	91-57-6	c1ccc2cc(ccc2(c1))C	Training	3.6	3.047
111	91-66-7	c1ccc(cc1)N(CC)CC	Training	2.08	2.137
112	91-80-5	n1ccccc1N(Cc2cccs2)CCN(C)C	Training	2.87	2.815
113	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	4.35	2.766
114	92-24-0	c1ccc2cc3cc4ccccc4(cc3(cc2(c1)))	Training	5.81	5.119
115	92-52-4	c1ccc(cc1)c2ccccc2	Training	3.27	3.502
116	92-82-0	n1c3ccccc3(nc2ccccc12)	Training	3.37	3.694
117	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	3.46	2.896
118	92-91-1	O=C(c1ccc(cc1)c2ccccc2)C	Training	3.22	2.977
119	93-08-3	O=C(c1ccc2ccccc2(c1))C	Training	2.93	2.751
120	93-58-3	O=C(OC)c1ccccc1	Training	2.1	1.591
121	93-65-2	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	1.3	2.013
122	93-71-0	O=C(N(CC=C)CC=C)CCl	Training	1.3	1.677
123	93-72-1	O=C(O)C(Oc1cc(c(cc1Cl)Cl)Cl)C	Training	1.75	2.276
124	93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	1.99	1.832
125	93-89-0	O=C(OCC)c1ccccc1	Training	2.3	1.684
126	93-99-2	O=C(Oc1ccccc1)c2ccccc2	Training	3.16	2.937
127	94-08-6	O=C(OCC)c1ccc(cc1)C	Training	2.59	1.853
128	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	2.83	3.472
129	94-74-6	O=C(O)COc1ccc(cc1C)Cl	Training	1.73	1.692
130	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	1.66	2.348
131	94-78-0	N(=Nc1ccc(nc1(N))N)c2ccccc2	Training	2.32	2.317
132	94-81-5	O=C(O)CCCOc1ccc(cc1C)Cl	Training	2.73	2.075
133	95-14-7	n1nc2ccccc2([nH]1)	Training	1.69	1.803
134	95-15-8	c1ccc2c(c1)ccs2	Training	3.48	2.866
135	95-47-6	c1ccc(c(c1)C)C	Training	2.25	2.496
136	95-50-1	c1ccc(c(c1)Cl)Cl	Training	2.56	2.704
137	95-57-8	Oc1ccccc1Cl	Training	2.6	2.401
138	95-76-1	Nc1ccc(c(c1)Cl)Cl	Training	2.29	2.66
139	95-77-2	Oc1ccc(c(c1)Cl)Cl	Training	3.09	2.765
140	95-93-2	c1c(c(cc(c1C)C)C)C	Training	3.12	3.058
141	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	4.1	3.462
142	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	3.36	3.376
143	96-12-8	C(C(CBr)Br)Cl	Training	1.85	2.068
144	98-16-8	FC(F)(F)c1cccc(N)c1	Training	2.36	1.778
145	98-85-1	OC(c1ccccc1)C	Training	1.5	1.745
146	98-86-2	O=C(c1ccccc1)C	Training	1.8	1.744
147	98-95-3	O=[N+]([O-])c1ccccc1	Training	1.94	1.93
148	99-09-2	O=[N+]([O-])c1cccc(N)c1	Training	1.73	1.867
149	99-30-9	O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl	Training	3	2.517
150	99-34-3	O=C(O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	1.53	2.087
151	99-54-7	O=[N+]([O-])c1ccc(c(c1)Cl)Cl	Training	2.53	3.185
152	99-77-4	O=C(OCC)c1ccc(cc1)[N+](=O)[O-]	Training	2.48	2.184
153	99-94-5	O=C(O)c1ccc(cc1)C	Training	1.77	1.698
154	99-96-7	O=C(O)c1ccc(O)cc1	Training	1.43	1.771
155	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	1.88	2.014
156	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	2.37	1.73
157	100-41-4	c1ccc(cc1)CC	Training	2.23	2.42
158	100-42-5	C=Cc1ccccc1	Training	2.96	2.056
159	100-43-6	n1ccc(C=C)cc1	Training	1.18	1.807
160	100-51-6	OCc1ccccc1	Training	1.1	1.57
161	100-54-9	N#Cc1cnccc1	Training	1.56	1.354
162	100-61-8	c1ccc(cc1)NC	Training	2.28	1.605
163	100-66-3	O(c1ccccc1)C	Training	1.54	2.348
164	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	3	2.663
165	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	2.6	1.971
166	101-27-9	O=C(OCC#CCCl)Nc1cccc(c1)Cl	Training	3.06	2.445
167	101-42-8	O=C(Nc1ccccc1)N(C)C	Training	1.4	1.667
168	101-55-3	O(c1ccccc1)c2ccc(cc2)Br	Training	4.23	4.275
169	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	3.96	2.776
170	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	1.99	2.644
171	101-84-8	O(c1ccccc1)c2ccccc2	Training	3.29	3.332
172	101-97-3	O=C(OCC)Cc1ccccc1	Training	1.89	2.008
173	101-99-5	O=C(OCC)Nc1ccccc1	Training	1.82	1.804
174	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	4.19	4.121
175	103-33-3	N(=Nc1ccccc1)c2ccccc2	Training	3.3	3.015
176	103-45-7	O=C(OCCc1ccccc1)C	Training	1.89	1.98
177	103-65-1	c1ccc(cc1)CCC	Training	2.87	2.825
178	103-74-2	OCCc1ncccc1	Training	1.45	1.623
179	103-82-2	O=C(O)Cc1ccccc1	Training	1.45	1.758
180	103-84-4	O=C(Nc1ccccc1)C	Training	1.43	1.585
181	103-88-8	O=C(Nc1ccc(cc1)Br)C	Training	1.95	1.927
182	104-40-5	Oc1ccc(cc1)CCCCCCCCC	Training	3.84	3.653
183	104-51-8	c1ccc(cc1)CCCC	Training	3.39	2.974
184	104-94-9	O(c1ccc(N)cc1)C	Training	1.93	1.796
185	106-30-9	O=C(OCC)CCCCCC	Training	2.61	2.167
186	106-32-1	O=C(OCC)CCCCCCC	Training	3.02	2.335
187	106-40-1	Nc1ccc(cc1)Br	Training	1.96	2.482
188	106-41-2	Oc1ccc(cc1)Br	Training	2.41	2.717
189	106-42-3	c1cc(ccc1C)C	Training	2.41	2.491
190	106-44-5	Oc1ccc(cc1)C	Training	2.7	2.016
191	106-46-7	c1cc(ccc1Cl)Cl	Training	2.65	2.704
192	106-47-8	Nc1ccc(cc1)Cl	Training	1.96	2.24
193	106-49-0	Nc1ccc(cc1)C	Training	1.9	1.994
194	106-89-8	O1CC1CCl	Training	1	1.036
195	106-93-4	C(CBr)Br	Training	1.71	1.828
196	107-06-2	C(CCl)Cl	Training	1.52	1.54
197	108-38-3	c1cc(cc(c1)C)C	Training	2.25	2.419
198	108-43-0	Oc1cccc(c1)Cl	Training	2.54	2.427
199	108-44-1	Nc1cccc(c1)C	Training	1.53	2.05
200	108-46-3	Oc1cccc(O)c1	Training	0.98	1.837
201	108-60-1	O(C(C)CCl)C(C)CCl	Training	1.67	1.864
202	108-62-3	O1C(OC(OC(OC1C)C)C)C	Training	2.38	1.468
203	108-65-6	O=C(OC(C)COC)C	Training	0.36	1.755
204	108-67-8	c1c(cc(cc1C)C)C	Training	2.82	2.749
205	108-68-9	Oc1cc(cc(c1)C)C	Training	2.83	2.509
206	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	2.85	3.316
207	108-86-1	c1ccc(cc1)Br	Training	2.49	2.588
208	108-88-3	c1ccc(cc1)C	Training	2.07	1.886
209	108-90-7	c1ccc(cc1)Cl	Training	2.15	2.082
