id	cas	smiles	status	exp values	predicted
1		C=1(C(=C(C(C=1Cl)(C2(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0.41	-999
2		C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.36	-0.8583751426
3		O=P(OC(=CBr)c1ccc(cc1Cl)Cl)(OC)OC	Training	-0.22	-0.7488608001
4		O=C(OC)C(Cc1ccc(cc1)Cl)Cl	Training	0.66	0.8441939162
5		O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	0.45	0.3803064668
6		O=P(OC(=CCl)c1ccc(cc1Cl)Cl)(OC)OC	Training	-0.53	0.6998318102
7		O=P(OC(=CCl)c1cc(ccc1Cl)Cl)(OC)OC	Training	1.06	-0.475136793
8		O=P(OCC)(OCC)Sc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0.35	-0.5854034544
9		O=C(Nc1ccc(OC)cc1)C(=C)Cl	Training	-0.41	0.8123406742
10		O=C(C=C(C)Cl)Nc1ccc(O)cc1	Training	0.87	0.4340469538
11		O=C(Nc1ccccc1Cl)CC(=O)C	Training	1.28	1.0868944552
12		O=C(Nc1ccccc1)CC(=O)CCl	Training	0.94	1.2042671472
13		O=[N+]([O-])c1ccccc1C2OCC(O2)CCl	Training	-0.57	0.7333530177
14		O=C(Nc1cc(F)ccc1(F))NC2CC2	Training	-0.14	0.1571605083
15		Nc1cccc2c(N)cccc12	Training	0.6	0.2831680539
16		O=C1N(N=C(C)C1)c2ccccc2	Training	1.04	1.0048844382
17		O=C(O)CCc1nc2ccccc2([nH]1)	Training	0.95	1.0118802858
18		O=C(NC1C(=O)SCC1)c2cnccc2	Training	1.31	1.1412343148
19		O=S(=O)(O)c2cccc1c2(cc(N)c(N)c1S(=O)(=O)O)	Training	1.96	1.6966636846
20		O=C1C(=NN=C(N1(N))C)c2ccccc2	Training	0.77	0.4266167065
21		O1c2ccc(C=CC)cc2(OC1)	Training	0.9	1.0858367283
22		O=COCC=Cc1ccccc1	Training	1.25	1.293151023
23		O=C(OCC1OC1)c2ccccc2	Training	0.9	1.3634092444
24		O=C(OC)c1cccc(c1)C(=O)OC	Training	1.35	1.4350301542
25		O=C(OC)c1ccccc1(C(=O)OC)	Training	1.17	1.1471726323
26		O=C(O)C=Cc1ccc(OC)c(O)c1	Training	1.61	1.1171903006
27		O=C(OCc1ccc2OCOc2(c1))C	Training	1.03	0.9995748044
28		O=C1OC(=O)C(OC(=O)CC)=C1(OC(=O)CC)	Training	1.32	1.4836990927
29		O=P(OC(=C)c1ccc(cc1Cl)Cl)(OC)OC	Training	0.9	-0.0216935268
30		O=P(OC=C(Cl)Cl)(c1ccc(cc1)Cl)N(C)C	Training	0.2	-999
31		O=C2NC(Oc1ccc(N)cc12)CCCl	Training	0.88	0.9186928367
32		O=C(ON=C(c1ccc(cc1)Cl)SC)NC	Training	0.41	0.0834734559
33		O=C(NCC=C)NS(=O)(=O)c1ccc(cc1)Cl	Training	0.86	0.5707398164
34		O=C(c1c(cc(cc1C)C)C)Cl	Training	1.1	1.2550481535
35		N#Cc1ccc(cc1)C(C)C	Training	1.43	1.4118692623
36		n1c(cc(N)n1c2ccccc2)C	Training	1.16	0.6136776515
37		O=S(=O)(Nc1noc(c1)C)c2ccc(N)cc2	Training	1.39	1.3546793714
38		O=C2NN=C(C)CN2(N=Cc1cnccc1)	Training	1.42	-999
39		O=C(N(C=C)c1ccccc1)C	Training	1.18	0.7720906716
40		O=C=Nc1ccc(cc1)C(C)C	Training	1.49	1.1655344468
41		O=C(N)c1ccccc1(OCC=C)	Training	0.64	0.6346871622
42		O=C1NC(Oc2ccccc12)CC	Training	0.87	0.8973155719
43		O=C(Nc1ccc(O)cc1)C(=C)C	Training	0.8	0.9541768329
44		O=C(Nc1ccccc1)CC(=O)C	Training	1.14	0.9769955588
45		O1c2ccc(cc2(OC1))C(N(C)C)=S	Training	-0.42	0.1046870182
46		N2=C(c1ccc(OC)cc1)SCOC2	Training	0.63	0.0953754954
47		O=C(N)C=Cc1ccc(O)c(OC)c1	Training	1.41	-999
