id	cas	smiles	status	exp values
1	NA	C[N+]1(C)CCCCC1	Training	0
2	NA	FC(F)(F)c1cc(ccc1N=C(n1cncc1)COCCC)Cl	Training	0
3	NA	FC(c1nc(nc(n1)NC1c2cc(ccc2CC1C)C)N)C	Training	0
4	NA	Fc1c(ncnc1Oc1ccccc1Cl)Oc1ccccc1C(=NOC)C1=NOCCO1	Training	0
5	NA	Fc1ccc(N=C(O)c2cn(nc2C(F)F)C)c2c1C(C)(C)CC2C	Training	0
6	NA	Fc1ccc(Oc2ccnc3cc(cc(c23)Cl)Cl)cc1	Training	0
7	NA	N#CC(=C1N(c2ccccc2OC)CCS1)Sc1cc(ccc1F)C(F)(F)F	Training	0
8	NA	N#CC(=CC1C(C(=O)OCc2c(F)c(F)c(c(F)c2F)COC)C1(C)C)C	Training	0
9	NA	N#CC(C(=O)c1ccc(cc1S(=O)(=O)C)C(F)(F)F)C(=O)C1CC1	Training	0
10	NA	N#CC(NC(=O)C(Oc1ccc(cc1Cl)Cl)C)(C)C(C)C	Training	0
11	NA	N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c1cccc(Oc2ccccc2)c1	Training	0
12	NA	N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)C)c1cccc(Oc2ccccc2)c1	Training	0
13	NA	N#CC(OC(=O)C1C(C=C(C)C)C1(C)C)c1cccc(Oc2ccccc2)c1	Training	0
14	NA	N#Cc1ccc(Oc2ccc(OC(C(=O)OCCCC)C)cc2)c(F)c1	Training	0
15	NA	N#Cc1ccc(cc1)CC(=NNC(=O)Nc1ccc(OC(F)(F)F)cc1)c1cccc(c1)C(F)(F)F	Training	0
16	NA	N#Cc1ccccc1Oc1ncnc(Oc2ccccc2C(=COC)C(=O)OC)c1	Training	0
17	NA	N1C(=S)NCC1	Training	0
18	NA	O(Cc1ccccc1C)C1CC2(OC1(C)CC2)C(C)C	Training	0
19	NA	O1c2cc(c(cc2OC1)CCC)COCCOCCOCCCC	Training	0
20	NA	O=C(C(Oc1ccc(cc1)Cl)n1ncnc1)C(C)(C)C	Training	0
21	NA	O=C(N(CCC)CCC)SCc1ccccc1	Training	0
22	NA	O=C(N(c1ccc(F)cc1)C(C)C)COc1nnc(C(F)(F)F)s1	Training	1
23	NA	O=C(N1CCC(c2nc(cs2)C2=NOC(c3c(F)cccc3F)C2)CC1)Cn1nc(cc1C)C(F)(F)F	Training	0
24	NA	O=C(N=C(NOCC1CC1)c1c(F)c(F)ccc1C(F)(F)F)Cc1ccccc1	Training	0
25	NA	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(c(F)c(c1F)Cl)Cl	Training	0
26	NA	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(c(OC(F)(F)C(F)C(F)(F)F)c(c1F)Cl)Cl	Training	0
27	NA	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(c(OC(F)(F)C(F)F)c(c1)Cl)Cl	Training	0
28	NA	O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(cc2Cl)C(F)(F)F)cc1F	Training	0
29	NA	O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1	Training	1
30	NA	O=C(NC(C(=O)CCl)(C)CC)c1cc(c(c(c1)Cl)C)Cl	Training	0
31	NA	O=C(NC(C(=O)c1ccc(OC(C)C)cc1C)(C)C)c1c(ccs1)C	Training	0
32	NA	O=C(NCc1ccc(cc1)C(C)(C)C)c1c(c(nn1C)CC)Cl	Training	0
33	NA	O=C(NCc1ccc(cc1)C(F)(F)F)c1c(cccc1Cl)Cl	Training	0
