ID	CAS	SMILES	Status	Expr
1	93-65-2	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	1.301
2	109023-83-8	O=[N+]([O-])c1cc(c(cc1(NCCO))NCCO)Cl	Test	2.699
3	84041-77-0	O=[N+]([O-])c1cc(ccc1(NCCO))NCCO	Training	2.857
4	134-72-5	OC(c1ccccc1)C(NC)C	Training	1.699
5	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	1.505
6	1634-78-2	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Test	2.602
7	846-70-8	O=[N+]([O-])c1cc(c2ccc(cc2(c1(O)))S(=O)(=O)O)[N+](=O)[O-]	Training	2
8	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Test	1.568
9	83-56-7	Oc1cccc2c(O)cccc12	Training	2
10	5036-02-2	N2=C1N(CCS1)CC2c3ccccc3	Training	1.602
11	127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	3
12	97404-02-9	N(=Nc1n(cc[n+]1C)C)c2ccc(N)cc2	Training	2.398
13	81612-54-6	O=[N+]([O-])c1cc(OCC(O)CO)ccc1(NCCO)	Test	2.477
14	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	2.796
15	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Test	0.875
16	2784-89-6	O=[N+]([O-])c2cc(N)ccc2(Nc1ccccc1)	Test	1.301
17	534-73-6	OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1(O)	Training	3.948
18	27311-52-0	Oc1ccc(N)cc1Cc2cc(N)ccc2(O)	Training	1.176
19	73-31-4	O=C(NCCc2c[nH]c1ccc(OC)cc12)C	Test	1.699
20	77061-58-6	N(=Nc1n(cc[n+]1C)C)c2ccc(cc2)N(C)C	Test	1.699
21	104226-19-9	O=[N+]([O-])c1cc(ccc1(NCCCO))N(CCO)CCO	Test	2.301
22	128-95-0	O=C1c3ccccc3(C(=O)c2c(N)ccc(N)c12)	Training	1.301
23	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	2.111
24	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Test	0.097
25	103-50-4	O(Cc1ccccc1)Cc2ccccc2	Training	2.792
26	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	2.087
27	53716-50-0	O=C(OC)Nc1nc2cc(ccc2([nH]1))S(=O)c3ccccc3	Training	0.886
28	2832-40-8	O=C(Nc2ccc(N=Nc1cc(ccc1(O))C)cc2)C	Training	2.699
29	842-07-9	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	2
30	113-92-8	n1ccccc1C(c2ccc(cc2)Cl)CCN(C)C	Training	1.778
31	6846-50-0	O=C(OCC(C)(C)C(OC(=O)C(C)C)C(C)C)C(C)C	Training	3
32	120-40-1	O=C(N(CCO)CCO)CCCCCCCCCCC	Training	1.903
33	19224-26-1	O=C(OCC(OC(=O)c1ccccc1)C)c2ccccc2	Training	3.405
34	147-24-0	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	1.491
35	57775-29-8	OC(COc2cccc3[nH]c1ccccc1c23)CNC(C)C	Training	1.483
36	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	1
37	2372-82-9	NCCCN(CCCN)CCCCCCCCCCCC	Training	1
38	68391-32-2	O=C2C=Cc3ccc(cc3(C2(=NNc1ccc(N)c(c1)[N+](=O)[O-])))[N+](C)(C)C	Test	2.079
39	128729-28-2	OCCN(c1ccc(N)cc1)CC(O)CN(c2ccc(N)cc2)CCO	Test	2
40	4430-25-5	O=S4(=O)(OC(c1cc(c(O)c(c1)Br)Br)(c2cc(c(O)c(c2)Br)Br)c3c(c(c(c(c34)Br)Br)Br)Br)	Training	1
41	4368-56-3	O=C1c4ccccc4(C(=O)c2c(cc(c(N)c12)S(=O)(=O)O)NC3CCCCC3)	Training	3
42	52793-97-2	O=C2C(=Cc1ccc(cc1)[N+](C)(C)C)C3CCC2(C)C3(C)(C)	Training	3
43	77-90-7	O=C(OC(C(=O)OCCCC)(CC(=O)OCCCC)CC(=O)OCCCC)C	Test	2.477
44	111-62-6	O=C(OCC)CCCCCCCC=CCCCCCCCC	Training	3.785
45	64-75-5	O=C(N)C=3C(=O)C4(O)(C(O)=C2C(=O)c1c(O)cccc1C(O)(C)C2CC4(C(C=3(O))N(C)C))	Training	2.799
46	54556-98-8	O=C(OC1CCN(C)CC1)C(OCCC)(c2ccccc2)c3ccccc3	Training	1
47	614-33-5	O=C(OCC(OC(=O)c1ccccc1)COC(=O)c2ccccc2)c3ccccc3	Training	3.41
