ID	CAS	SMILES	Status	logLOEL
1	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	0.364
2	5989-27-5	C=C(C)C1CC=C(C)CC1	Training	2.176
3	303-47-9	O=C1OC(C)Cc2c1c(O)c(cc2Cl)C(=O)NC(C(=O)O)Cc3ccccc3	Training	-1.204
4	2185-92-4	Nc1ccccc1c2ccccc2	Training	1.886
5	81-49-2	O=C1c3ccccc3(C(=O)c2c1c(N)c(cc2Br)Br)	Training	2.283
6	513-37-1	C(=C(C)C)Cl	Training	1.799
7	98-85-1	OC(c1ccccc1)C	Training	2.574
8	95-50-1	c1ccc(c(c1)Cl)Cl	Training	1.477
9	107-06-2	C(CCl)Cl	Training	1.255
10	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	0.364
11	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	1.097
12	58-55-9	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	1.574
13	102-06-7	N=C(Nc1ccccc1)Nc2ccccc2	Training	1.283
14	8003-22-3	O=C1c4ccccc4(C(=O)C1c2nc3ccccc3(cc2))	Training	1.585
15	3296-90-0	OCC(CO)(CBr)CBr	Training	1.983
16	518-82-1	O=C1c3cc(O)cc(O)c3(C(=O)c2c(O)cc(cc12)C)	Training	1.380
17	1948-33-0	Oc1ccc(O)c(c1)C(C)(C)C	Training	2.283
18	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	1.679
19	2432-99-7	O=C(O)CCCCCCCCCCN	Training	2.840
20	5634-39-9	OCC1OC(OC1)C(C)I	Training	1.792
21	480-16-0	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3(O)	Training	2.983
22	99-57-0	O=[N+]([O-])c1ccc(O)c(N)c1	Training	2.097
23	121-88-0	O=[N+]([O-])c1ccc(N)c(O)c1	Training	2.000
24	149-57-5	O=C(O)C(CC)CCCC	Training	1.886
25	131-57-7	O=C(c1ccccc1)c2ccc(OC)cc2(O)	Training	2.292
26	693-98-1	n1cc[nH]c1C	Training	1.682
27	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	1.188
28	107-18-6	OCC=C	Training	0.477
29	126-98-7	N#CC(=C)C	Training	0.875
30	33145-10-7	Oc1c(cc(cc1C(c2cc(cc(c2(O))C)C)C(C)C)C)C	Training	0.886
31	111-42-2	OCCNCCO	Training	1.146
32	88-24-4	Oc1c(cc(cc1C(C)(C)C)CC)Cc2cc(cc(c2(O))C(C)(C)C)CC	Training	2.188
33	556-52-5	OCC1OC1	Training	1.398
34	129-79-3	O=C3c1cc(ccc1c2c3(cc(cc2[N+](=O)[O-])[N+](=O)[O-]))[N+](=O)[O-]	Training	1.886
35	828-00-2	O=C(OC1OC(OC(C)C1)C)C	Training	1.491
36	96-48-0	O=C1OCCC1	Training	2.352
37	563-47-3	C=C(C)CCl	Training	2.301
38	108-42-9	Nc1cccc(c1)Cl	Training	1.000
39	6471-49-4	O=C(Nc1cccc(c1)[N+](=O)[O-])c3cc4ccccc4(c(N=Nc2cc(ccc2(OC))[N+](=O)[O-])c3(O))	Training	2.364
40	99-08-1	O=[N+]([O-])c1cccc(c1)C	Training	1.682
41	77-09-8	O=C3OC(c1ccc(O)cc1)(c2ccc(O)cc2)c4ccccc34	Training	2.965
42	119-84-6	O=C2Oc1ccccc1CC2	Training	1.875
43	20265-96-7	Nc1ccc(cc1)Cl	Training	0.699
44	136-77-6	Oc1ccc(c(O)c1)CCCCCC	Training	1.796
45	137-09-7	Oc1ccc(N)cc1(N)	Training	1.079
46	822-36-6	n1c[nH]c(c1)C	Training	1.682
47	62-23-7	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Training	1.686
48	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	1.682
49	585-86-4	OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1(O))C(O)CO	Training	2.796
50	98-29-3	Oc1ccc(cc1(O))C(C)(C)C	Training	1.779
51	100-40-3	C=CC1CC=CCC1	Training	1.699
52	96-69-5	Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C	Training	1.283
53	446-72-0	O=C1C(=COc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	2.699
54	298-81-7	O=C1Oc2c(OC)c3occc3(cc2(C=C1))	Training	1.398
55	1972-08-3	Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC	Training	0.699
56	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	1.789
57	50892-23-4	O=C(O)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	-0.415
58	107-02-8	O=CC=C	Training	-0.125
59	924-42-5	O=C(C=C)NCO	Training	1.097
