no.	CAS	SMILES	Status	Experimental
1	50-00-0	O=C	Training	0.35
2	50-02-2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Training	1.89
3	50-03-3	O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C	Training	2.19
4	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	1.47
5	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	-0.4
6	50-11-3	O=C1NC(=O)C(C(=O)N1C)(CC)CC	Training	1.15
7	50-12-4	O=C2NC(c1ccccc1)(C(=O)N2C)CC	Training	1.69
8	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	0.63
9	50-21-5	O=C(O)C(O)C	Training	-0.72
10	50-22-6	O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Training	1.94
11	50-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Training	1.61
12	50-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Training	1.62
13	50-27-1	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34)	Training	2.45
14	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	4.01
15	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	6.91
16	50-30-6	O=C(O)c1c(cccc1Cl)Cl	Training	2.23
17	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	6.13
18	50-35-1	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Training	0.33
19	50-36-2	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Training	2.3
20	50-37-3	O=C(N(CC)CC)C4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4	Training	2.95
21	50-47-5	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	Training	4.9
22	50-48-6	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	Training	4.92
