Id	CAS	SMILES	STATUS	EXP Class
1	50-06-6	CCC1(C(=O)NC(=O)NC1=O)c1ccccc1	Training	0
2	79-43-6	OC(=O)C(Cl)Cl	Training	0
3	67-72-1	ClC(Cl)(Cl)C(Cl)(Cl)Cl	Training	0
4	91-64-5	O=C1Oc2ccccc2C=C1	Training	0
5	127-18-4	ClC(Cl)=C(Cl)Cl	Training	0
6	117-81-7	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	Training	0
7	140-11-4	CC(=O)OCc1ccccc1	Training	0
8	637-07-0	CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1	Training	0
9	504-88-1	OC(=O)CC[N+]([O-])=O	Training	0
10	50892-23-4	Cc1cccc(Nc2cc(Cl)nc(SCC(O)=O)n2)c1C	Training	0
11	123-33-1	Oc1ccc(O)nn1	Training	0
12	16561-29-8	CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C2C=C(C)C3=O)C2C(C)(C)C12OC(C)=O	Training	0
13	3771-19-5	CC(C)(Oc1ccc(cc1)C1CCCc2ccccc12)C(O)=O	Training	0
14	51630-58-1	CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1	Training	0
15	141-12-8	O=C(OCC=C(C)CCC=C(C)C)C	Training	0
16	54299-17-1	O=C(c2ccc(Oc1ccccc1)cc2)c3ccc(cc3)C(=O)c5ccc(Oc4ccccc4)cc5	Training	0
17	124-09-4	NCCCCCCN	Training	0
18	13048-34-5	O=C(OCCCCCCCCCCOC(=O)C=C)C=C	Training	0
19	15520-11-3	O=C(OOC(=O)OC1CCC(CC1)C(C)(C)C)OC2CCC(CC2)C(C)(C)C	Training	0
20	901-44-0	OCCOc1ccc(cc1)C(c2ccc(OCCO)cc2)(C)C	Training	0
21	102-20-5	O=C(OCCc1ccccc1)Cc2ccccc2	Training	0
22	3179-63-3	OCCCN(C)C	Training	0
23	619-17-0	O=C(O)c1ccc(cc1(N))[N+](=O)[O-]	Training	0
24	541-85-5	O=C(CC)CC(C)CC	Training	0
25	120-61-6	O=C(OC)c1ccc(cc1)C(=O)OC	Training	0
26	82576-75-8	O=[N+]([O-])c1cc(NCCO)c(cc1(N))C	Training	0
27	2051-49-2	O=C(OC(=O)CCCCC)CCCCC	Training	0
28	18031-40-8‎	O=CC1=CCC(C(=C)C)CC1	Training	0
