ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
1	110-26-9	O=C(C=C)NCNC(=O)C=C	Training	1
2	59-89-2	O=NN1CCOCC1	Training	1
3	636-21-5	Nc1ccccc1C	Training	0
4	536-90-3	O(c1cccc(N)c1)C	Training	1
5	7239-21-6	N(=NN(C)C)c1ccc(cc1)Br	Training	1
6	111-41-1	OCCNCCN	Training	0
7	64-67-5	O=S(=O)(OCC)OCC	Training	1
8	2832-40-8	O=C(Nc2ccc(N=Nc1cc(ccc1(O))C)cc2)C	Training	0
9	1120-71-4	O=S1(=O)(OCCC1)	Training	1
10	55-98-1	O=S(=O)(OCCCCOS(=O)(=O)C)C	Training	1
11	512-56-1	O=P(OC)(OC)OC	Training	1
12	3365-85-3	Nc1ccc(cc1)c2ccc(cc2)c3ccc(N)cc3	Training	1
13	495-48-7	[O-][N+](=Nc1ccccc1)c2ccccc2	Training	1
14	100-75-4	O=NN1CCCCC1	Training	0
15	926-06-7	O=S(=O)(OC(C)C)C	Training	1
16	20830-81-3	O=C1c5cccc(OC)c5(C(=O)c2c(O)c4c(c(O)c12)CC(O)(C(=O)C)CC4(OC3OC(C)C(O)C(N)C3))	Training	1
17	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	0
18	99-09-2	O=[N+]([O-])c1cccc(N)c1	Training	1
19	3688-53-7	O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2	Training	1
21	91-59-8	Nc1ccc2ccccc2(c1)	Training	0
22	142-83-6	O=CC=CC=CC	Training	1
23	1684-40-8	n2c1ccccc1c(N)c3c2CCCC3	Training	0
24	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	1
25	613-35-4	O=C(Nc1ccc(cc1)c2ccc(cc2)NC(=O)C)C	Training	1
26	51264-14-3	O=S(=O)(Nc4ccc(Nc2c3ccccc3(nc1ccccc12))c(OC)c4)C	Training	1
27	99-56-9	O=[N+]([O-])c1ccc(N)c(N)c1	Training	0
28	67-45-8	O=C2OCCN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	1
29	1836-77-7	O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2	Training	0
30	868-85-9	O=P(OC)OC	Training	1
31	127-07-1	O=C(N)NO	Training	1
32	153-78-6	Nc2ccc3c1ccccc1Cc3(c2)	Training	0
33	1068-57-1	O=C(NN)C	Training	1
34	2835-95-2	Oc1cc(N)ccc1C	Training	0
35	81-88-9	O=C(O)c1ccccc1C=3c4ccc(cc4(OC2=CC(C=CC2=3)=[N+](CC)CC))N(CC)CC	Training	1
36	110-49-6	O=C(OCCOC)C	Training	0
37	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	0
38	6923-22-4	O=C(C=C(OP(=O)(OC)OC)C)NC	Training	1
39	156-43-4	O(c1ccc(N)cc1)CC	Training	1
40	96-45-7	N1C(NCC1)=S	Training	0
41	1629-58-9	O=C(C=C)CC	Training	0
42	520-18-3	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	1
43	484-20-8	O=C2Oc3cc1occc1c(OC)c3(C=C2)	Training	0
44	102-06-7	N(=C(N)Nc1ccccc1)c2ccccc2	Training	1
45	18883-66-4	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))C	Training	1
46	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	1
47	122-57-6	O=C(C=Cc1ccccc1)C	Training	0
48	22994-85-0	O=C(NCc1ccccc1)Cn2ccnc2[N+](=O)[O-]	Training	1
49	443-48-1	O=[N+]([O-])c1cnc(n1CCO)C	Training	0
50	136-35-6	N(=Nc1ccccc1)Nc2ccccc2	Training	1
51	1116-54-7	O=NN(CCO)CCO	Training	0
52	23696-28-8	O=C(NCCO)c2c([n+]([O-])c1ccccc1[n+]2([O-]))C	Training	1
53	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	1
55	54-85-3	O=C(NN)c1ccncc1	Training	0
56	593-60-2	C=CBr	Training	0
57	75464-11-8	O=C2c1c(O)cccc1C(C(=O)CCC)c3cccc(O)c23	Training	0
58	6959-48-4	n1cccc(c1)CCl	Training	0
59	100-44-7	c1ccc(cc1)CCl	Training	0
60	5307-14-2	O=[N+]([O-])c1cc(N)ccc1(N)	Training	0
61	299-75-2	O=S(=O)(OCC(O)C(O)COS(=O)(=O)C)C	Training	1
62	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	0
63	496-72-0	Nc1ccc(cc1(N))C	Training	1
64	118-96-7	O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])C)[N+](=O)[O-]	Training	0
65	134-32-7	Nc1cccc2ccccc12	Training	1
66	33229-34-4	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	0
67	7227-91-0	N(=NN(C)C)c1ccccc1	Training	1
68	22089-22-1	O=P1(OCCCN1(CCCl))N(CCCl)CCCl	Training	1
69	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	1
70	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	1
71	107-06-2	C(CCl)Cl	Training	0
72	4097-22-7	OCC3OC(n2cnc1c(ncnc12)N)CC3	Training	1
73	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	0
74	91-64-5	O=C1Oc2ccccc2(C=C1)	Training	0
76	65-61-2	n1c3ccc(cc3(cc2c1cccc2N(C)C))N(C)C	Training	1
77	95-54-5	Nc1ccccc1(N)	Training	1
78	101-25-7	O=NN1CN2CN(N=O)CN(C1)C2	Training	0
79	5694-00-8	O=C(N)C1OC1	Training	1
80	13171-21-6	O=C(C(=C(OP(=O)(OC)OC)C)Cl)N(CC)CC	Training	1
81	117-39-5	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3	Training	1
82	77-78-1	O=S(=O)(OC)OC	Training	1
83	816-57-9	O=NN(C(=O)N)CCC	Training	1
84	54150-69-5	O(c1ccc(c(OC)c1)[NH3+])C	Training	0
85	8003-22-3	O=C1c4ccccc4(C(=O)C1c2nc3ccccc3(cc2))	Training	0
86	624-18-0	Nc1ccc(N)cc1	Training	0
87	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	0
88	494-03-1	c1ccc2cc(ccc2(c1))N(CCCl)CCCl	Training	1
89	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	0
90	10595-95-6	O=NN(C)CC	Training	0
91	2608-48-2	O=CC=CC=Cc1ccc(cc1)[N+](=O)[O-]	Training	1
92	924-16-3	O=NN(CCCC)CCCC	Training	0
93	602-87-9	O=[N+]([O-])c3ccc2c1c3(cccc1CC2)	Training	0
94	3778-73-2	O=P1(OCCCN1(CCCl))(NCCCl)	Training	1
95	1162-65-8	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(=O)CC5	Training	1
96	76180-96-6	n2c[nH]c3ccc1nc(N)c(cc1c23)C	Training	0
97	23564-05-8	O=C(OC)NC(Nc1ccccc1(NC(NC(=O)OC)=S))=S	Training	1
98	542-56-3	O=NOCC(C)C	Training	1
99	79-46-9	O=[N+]([O-])C(C)C	Training	0
100	57-57-8	O=C1OCC1	Training	0
101	62-23-7	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Training	0
102	107-02-8	O=CC=C	Training	0
103	107-13-1	N#CC=C	Training	0
104	103-33-3	N(=Nc1ccccc1)c2ccccc2	Training	1
