ID	CAS	SMILES	STATUS	EXP_VALUE
1	N.A.	N#CC(C#N)=Cc1ccc(O)c(O)c1	TRAINING	1
2	N.A.	CCc1cc(OC)c(CC(C)N)cc1OC	TRAINING	0
3	N.A.	CCC(C)COC(=O)C=Cc1ccc(N=Cc2ccc(OC)cc2)cc1	TRAINING	1
4	N.A.	CC1CCC2C(C)(C)C3CC12CCC3(C)O	TRAINING	1
5	N.A.	CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1	TRAINING	0
6	N.A.	COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1	TRAINING	0
7	N.A.	Clc1ccc(C2CC3CCC2N3)cn1	TRAINING	0
8	N.A.	CNC1(c2ccccc2Cl)CCCCC1=O	TRAINING	0
9	N.A.	CC1C2Cc3ccc(O)cc3C1(C)CCN2C	TRAINING	0
10	N.A.	CCCCCCC(=O)CCCCCCC=CCC(O)C(O)C(N)(CO)C(=O)O	TRAINING	0
11	N.A.	CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C	TRAINING	0
12	N.A.	CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1	TRAINING	0
13	N.A.	CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	TRAINING	0
14	N.A.	Cc1c(C)c(O)c(C(=CCCCCC(=O)O)c2ccccc2)c(C)c1O	TRAINING	0
15	N.A.	COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1	TRAINING	0
16	N.A.	O=C(O)CCCCC1CCSS1	TRAINING	0
17	N.A.	CNC(C)CC1CCCCC1	TRAINING	0
18	N.A.	CCCCCCCCCCCCCC(=O)OCC(O)CO	TRAINING	0
19	N.A.	Cc1cc(Cl)ccc1OC(C)C(=O)O	TRAINING	0
20	N.A.	CNC(C)Cc1ccc2c(c1)OCO2	TRAINING	0
21	N.A.	CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	TRAINING	0
22	N.A.	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	TRAINING	1
23	N.A.	CC(=O)OC(C)c1ccccc1	TRAINING	0
24	N.A.	CC(N)C(=O)c1ccccc1	TRAINING	0
25	N.A.	CCN(CC)C(=O)NC1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1	TRAINING	1
26	N.A.	COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C	TRAINING	0
27	N.A.	CCC12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32	TRAINING	0
28	N.A.	OCC(Cc1cccc(O)c1)C(CO)Cc1cccc(O)c1	TRAINING	0
29	N.A.	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2	TRAINING	0
30	N.A.	O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	TRAINING	1
31	N.A.	CCNC(C)Cc1cccc(C(F)(F)F)c1	TRAINING	0
32	N.A.	CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341	TRAINING	0
33	N.A.	C=C(C)C1CCC(C)CC1O	TRAINING	0
34	N.A.	CC(C(O)c1ccccc1)N(C)C	TRAINING	0
35	N.A.	CN1CCCC1c1cccnc1	TRAINING	0
36	N.A.	C=C1CCC2OC2(C)CCC2C1CC2(C)C	TRAINING	0
37	N.A.	CC(C)(C)CC(C)(C)c1ccccc1	TRAINING	1
38	N.A.	CC(C)(C)NC(N)=O	TRAINING	0
39	N.A.	O=C(c1ccccc1)C1(O)CCCCC1	TRAINING	0
40	N.A.	CCCCC(F)(F)C(=O)CCC1C(O)CC(=O)C1CCCCCCC(=O)O	TRAINING	0
41	N.A.	CC12CCC(C1)C(C)(C)C2O	TRAINING	0
42	N.A.	CC1CCC(C(C)C)C(O)C1	TRAINING	0
43	N.A.	CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21	TRAINING	1
44	N.A.	CC12CCC(CC1=O)C2(C)C	TRAINING	0
45	N.A.	COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3	TRAINING	0
46	N.A.	CC1(C)CC(=O)CC(C)(C)N1[O]	TRAINING	0
47	N.A.	C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O	TRAINING	1
48	N.A.	N#CCc1ccc(Cl)cc1Cl	TRAINING	0
49	N.A.	CN(C)CCCl	TRAINING	0
