No.	CAS	SMILES VEGA	Status	Exp MOA
1	2028-63-9	C#CC(O)C	Training	5
2	7383-19-9	C#CC(O)CCCC	Training	5
3	818-72-4	C#CC(O)CCCCC	Training	5
4	2117-11-5	C#CCC(O)C	Training	5
5	927-74-2	C#CCCO	Training	5
6	107-19-7	C#CCO	Training	5
7	598-16-3	C(=C(Br)Br)Br	Training	3
8	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	3
9	79-01-6	C(=C(Cl)Cl)Cl	Training	3
10	542-75-6	C(=CCl)CCl	Training	5
11	556-61-6	C(=NC)=S	Training	5
12	57-06-7	C(=NCC=C)=S	Training	5
13	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	5
14	96-18-4	C(C(CCl)Cl)Cl	Training	3
15	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Test	3
16	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	3
17	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	3
18	79-00-5	C(C(Cl)Cl)Cl	Training	3
19	109-64-8	C(CBr)CBr	Training	5
20	628-76-2	C(CCCl)CCCl	Training	3
21	110-56-5	C(CCCl)CCl	Test	3
22	142-28-9	C(CCl)CCl	Training	3
23	107-06-2	C(CCl)Cl	Training	3
24	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	3
25	67-66-3	C(Cl)(Cl)Cl	Training	3
26	75-09-2	C(Cl)Cl	Training	3
27	97-74-5	C(N(C)C)(=S)SC(N(C)C)=S	Training	3
30	1715-40-8	C1(=C(C2(C(CC1(C2(Cl)Cl)Cl)CBr)Cl)Cl)Cl	Training	4
31	2550-75-6	C1(=C(C2(C(CCl)C(CCl)C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	4
32	608-73-1	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	4
34	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	4
35	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	4
36	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	4
37	110-83-8	C1=CCCCC1	Training	3
38	108-85-0	C1CCC(CC1)Br	Training	3
39	3734-49-4	C2(=C(C3(C1C(C(C(C1Cl)Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	4
40	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	4
41	14168-01-5	C2(=C(C3(C1CC(CC1C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	4
42	77-73-6	C2=CC3C1C=CC(C1)C3(C2)	Training	3
43	2227-17-0	C=1(C(=C(C(C=1Cl)(C2(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	4
44	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	5
45	513-81-5	C=C(C(=C)C)C	Training	5
46	5989-27-5	C=C(C)C1CC=C(C)CC1	Test	3
47	1871-57-4	C=C(CCl)CCl	Training	5
