row_ID	SMILES	MLOGP	P_VSA_ppp_L	P_VSA_e_2	SpMin2_Bh.e.	P_VSA_i_2	F07.C.C.	NaasC	IDDE	CATS2D_06_LL	CATS2D_04_LL	IC3	ATSC2s	P_VSA_ppp_cyc	DBS	Exp
C99570	O=[N+]([O-])c1ccc(O)c(N)c1	1.339	28.429	33.942	1.206	33.942	0	3	2.845	0	0	3.852	51.185	33.942	tr	1
C121880	O=[N+]([O-])c1ccc(N)c(O)c1	1.339	28.429	33.942	1.226	33.942	0	3	2.845	0	0	3.735	51.185	33.942	tr	1
C119346	O=[N+]([O-])c1cc(N)ccc1(O)	0.828	28.429	33.942	1.212	33.942	0	3	2.914	0	0	3.852	50.872	33.942	tr	1
C2113613	Nc1ccc(cc1)c2ccccc2	3.127	91.657	94.414	1.755	94.414	1	3	2.873	2	9	3.47	7.049	94.414	tr	1
C120321	Oc1ccc(cc1Cc2ccccc2)Cl	3.93	123.864	88.216	1.815	88.216	4	4	3.374	7	8	4.21	6.388	85.682	tr	1
C22260511	O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)CC(C)C))C(C)C)C6=CC7c5cccc4[nH]c(c(c45)CC7(N(C)C6))Br	3.063	141.428	126.966	1.822	172.92	38	3	5.24	13	12	5.607	51.176	113.188	tr	1
C51333223	O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	2.014	73.297	83.924	1.793	83.924	23	0	4.825	13	20	5.588	43.978	69.245	tr	1
C94268	O=C(OCCCC)c1ccc(O)cc1	2.378	54.985	66.769	1.676	66.769	5	2	3.039	5	1	4.138	22.826	41.091	tr	1
C98544	Oc1ccc(cc1)C(C)(C)C	2.813	67.566	67.566	1.585	67.566	0	2	2.413	0	6	2.992	11.194	41.091	tr	1
C80331	O=S(=O)(Oc1ccc(cc1)Cl)c2ccc(cc2)Cl	3.81	154.107	97.355	1.849	89.605	8	4	3.392	8	0	3.7	52.771	89.605	tr	1
C88107102	O=C(c2ccc(OCCCCc1nn[nH]n1)c(c2(O))CCC)C	3.228	55.647	72.944	1.706	72.944	11	5	4.089	8	7	5.014	22.809	99.302	tr	1
C102501	O(c1ccc(N)c(c1)C)C	1.58	40.44	59.323	1.257	59.323	0	3	2.371	0	1	3.844	9.94	39.614	tr	1
C59865133	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	-0.321	184.188	296.82	1.839	296.82	99	0	6.056	15	2	5.139	126.52	147.77	tr	1
C2164092	O=C(Nc1ccc(c(c1)Cl)Cl)C(=C)C	3.271	134.504	70.669	1.645	70.669	2	3	3.182	3	3	4.143	14.053	38.187	tr	1
C609201	Nc1cc(c(N)c(c1)Cl)Cl	2.116	97.25	31.467	1.069	31.467	0	4	1.895	0	3	3	9.567	31.467	tr	1
C120832	Oc1ccc(cc1Cl)Cl	2.729	106.726	35.43	0.873	35.43	0	3	2.725	0	2	3.7	10.799	35.43	tr	1
C330541	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	2.646	106.726	59.255	1.526	59.255	2	3	3.182	0	1	3.772	12.25	38.187	tr	1
C51285	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	1.395	28.429	33.942	1.286	33.942	0	3	3.239	0	0	3.617	95.388	33.942	tr	1
C86293	N#CC(c1ccccc1)c2ccccc2	3.315	101.134	117.735	1.824	117.735	4	2	2.574	8	10	3.027	6.892	101.134	tr	1
C98319267	O=C1C=CC4(C)(C(N1)CCC2C4(CCC3(C)(C(C(=O)NC(C)(C)C)CCC23)))	3.652	78.286	87.695	1.798	87.695	16	0	4.431	20	26	4.957	29.159	56.875	tr	1
C363177	O=C(Nc2ccc3c1ccccc1Cc3(c2))C(F)(F)F	3.736	81.611	96.831	1.85	96.831	4	5	3.409	1	11	4.482	136.592	84.367	tr	1
C54319	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	0.434	80.239	74.91	1.59	69.103	7	5	3.554	3	1	4.812	96.426	75.594	tr	1
C87514	O=C(O)Cc2c[nH]c1ccccc12	1.464	46.198	58.299	1.616	58.299	0	1	3.393	0	3	4.278	29.428	71.641	tr	1
C520183	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	0.992	63.229	78.849	1.84	78.849	8	6	3.939	5	2	4.414	38.576	89.849	tr	1
C1634782	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	0.544	20.185	94.325	1.492	65.518	3	0	3.787	0	1	3.958	76.56	0	tr	1
C950378	O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	-0.266	32.22	141.555	1.322	39.37	2	0	3.5	0	0	3.782	35.164	58.134	tr	1
C55801	N(=Nc1cccc(c1)C)c2ccc(cc2)N(C)C	3.47	87.821	112.884	1.877	112.884	10	4	3.461	8	1	4.129	12.649	87.266	tr	1
C5307142	O=[N+]([O-])c1cc(N)ccc1(N)	0.828	28.429	36.699	1.215	36.699	0	3	2.914	0	0	3.503	44.11	36.699	tr	1
C99569	O=[N+]([O-])c1ccc(N)c(N)c1	0.828	28.429	36.699	1.241	36.699	0	3	2.845	0	0	3.392	44.555	36.699	tr	1
C619170	O=C(O)c1ccc(cc1(N))[N+](=O)[O-]	1.642	31.614	38.038	1.287	38.038	0	3	3.085	0	0	4.037	77.26	37.128	tr	1
C136403	N=C2NC(N)=CC=C2(N=Nc1ccccc1)	1.896	66.334	76.503	1.774	76.503	6	1	3.203	4	0	4.282	9.498	94.514	tr	1
C834286	N=C(N=C(N)NCCc1ccccc1)N	1.493	53.101	59.005	1.555	59.005	3	1	3.24	0	1	4.282	26.967	50.567	tr	1
C842079	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	3.566	109.385	114.898	1.876	114.898	15	3	3.892	8	3	4.168	6.57	114.898	tr	1
C1918021	O=C(O)C=1NC(=C(C(=N)C=1Cl)Cl)Cl	1.119	117.446	16.496	1.165	16.496	0	0	3.547	0	1	4	52.132	33.597	tr	1
C53032	O=C4C=CC3(C(=CCC2C3(C(=O)CC1(C)(C2(CCC1(O)(C(=O)CO)))))C4)(C)	1.442	61.937	77.338	1.793	77.338	13	0	4.393	10	20	5.287	44.501	54.554	tr	1
C81549	O=C1C(=O)CC(=O)c2c(O)c3ccccc3(c(O)c12)	1.508	51.957	67.357	1.708	67.357	2	4	4.037	2	5	4.162	58.181	67.357	tr	1
C58140	N=C2NC(=N)C(c1ccc(cc1)Cl)=C(N2)CC	3.048	94.785	66.12	1.684	66.12	2	2	3.69	2	4	4.415	14.808	90.782	tr	1
C2871014	O=CCNc1ccc(N)cc1[NH+]([O-])O	-3.506	28.429	50.229	1.451	50.229	0	3	2.896	0	0	4.404	54.078	36.699	tr	1
C989388	O=C(OCC)c1ccccc1c3c4cc(c(cc4([o+]c2cc(NCC)c(cc23)C))NCC)C	4.444	141.01	172.191	1.867	172.191	39	7	4.294	24	26	4.785	31.987	121.577	tr	1
C83794	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	1.936	77.774	135.483	1.844	135.483	21	8	4.444	8	8	5.079	29.901	118.939	tr	1
C148798	n1cscc1c2nc3ccccc3([nH]2)	1.526	69.183	93.425	1.556	62.147	2	2	2.753	2	0	4.297	5.2	143.782	tr	1
C139651	Nc1ccc(cc1)Sc2ccc(N)cc2	3.05	108.03	116.644	1.83	84.425	4	4	2.44	4	4	3.051	6.927	84.425	tr	1
C1156190	O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	1.622	60.054	75.899	1.712	70.092	7	2	3.594	0	0	4.327	58.306	59.993	tr	1
C89778278	O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)CCCl)CCN(C)C	5.402	190.279	182.714	1.865	182.714	29	4	4.306	32	32	4.455	20.969	147.468	tr	1
C88062	Oc1c(cc(cc1Cl)Cl)Cl	3.314	136.398	29.454	0.849	29.454	0	4	1.895	0	5	3.085	19.943	29.454	tr	1
C143077	O=C(O)CCCCCCCCCCC	4.165	34.171	35.08	1.712	35.08	5	0	2.95	5	7	3.257	29.716	0	tr	1
C544638	O=C(O)CCCCCCCCCCCCC	4.701	39.24	40.149	1.746	40.149	7	0	3.125	7	9	3.062	31.409	0	tr	1
C79776	O=C(C=CC1=C(C)CCCC1(C)C)C	2.998	68.228	73.362	1.593	73.362	1	0	3.039	5	12	4.116	13.009	13.975	tr	1
C90471	O=C1c3ccccc3(Oc2ccccc12)	2.438	82.181	97.801	1.772	97.801	2	4	3.107	6	6	3.48	5.699	108.801	tr	1
C94622	O=C(C=CC=Cc1ccc2OCOc2(c1))N3CCCCC3	2.575	77.123	103.176	1.825	103.176	9	3	4.011	4	6	4.622	21.573	85.691	tr	1
C97234	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	3.842	144.06	72.764	1.807	72.764	4	6	2.676	5	7	3.792	8.923	70.23	tr	1
C104132	Nc1ccc(cc1)CCCC	2.813	57.519	60.276	1.636	60.276	1	2	2.845	2	5	3.902	8.34	43.847	tr	1
C124221	NCCCCCCCCCCCC	4.379	34.171	36.276	1.723	36.276	5	0	2.777	5	7	3.015	6.871	0	tr	1
C143168	N(CCCCCC)CCCCCC	3.467	37.927	42.138	1.738	42.138	6	0	2.777	3	3	3.434	6.702	0	tr	1
C525826	O=C1C=C(Oc2ccccc12)c3ccccc3	3.148	101.134	116.754	1.855	116.754	8	3	3.735	9	6	3.899	6.292	127.754	tr	1
C614802	O=C(Nc1ccccc1(O))C	1.06	46.73	54.192	1.445	54.192	0	2	2.914	1	1	3.984	9.823	40.662	tr	1
C791286	O=P(c1ccccc1)(c2ccccc2)c3ccccc3	4.878	142.144	143.213	1.824	143.213	12	3	2.295	24	12	2.713	9.007	143.213	tr	1
C1689834	N#Cc1cc(c(O)c(c1)I)I	2.938	135.702	155.623	1.111	42.059	0	4	2.413	0	3	3.236	13.684	25.457	tr	1
C39905572	O(c1ccc(N)cc1)CCCCCC	2.773	56.868	69.461	1.748	69.461	6	2	2.842	4	3	4.173	12.72	45.905	tr	1
C58720	c1ccc(cc1)C=C(c2ccccc2)c3ccccc3	5.551	164.362	164.362	1.863	164.362	20	3	3.122	28	25	3.05	10.752	151.7	tr	1
C89725	Oc1ccccc1C(C)CC	2.813	61.276	61.276	1.595	61.276	0	2	2.914	1	6	4.103	8.795	41.091	tr	1
C1610180	N=1C(=NC(C)C)NC(=NC(C)C)NC=1OC	2.527	35.301	54.368	1.631	54.368	8	0	3	0	0	3.479	29.769	60.991	tr	1
C520365	O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	1.764	72.705	88.325	1.84	88.325	8	6	3.309	5	6	4.348	23.278	99.325	tr	1
C491805	O=C1C(=COc2cc(O)cc(O)c12)c3ccc(OC)cc3	2.013	66.414	104.452	1.837	104.452	10	6	4.202	4	4	4.537	21.865	104.569	tr	1
C480400	O=C1C=C(Oc2cc(O)cc(O)c12)c3ccccc3	2.552	82.181	97.801	1.846	97.801	8	5	3.682	5	6	4.349	12.7	108.801	tr	1
C131566	O=C(c1ccccc1)c2ccc(O)cc2(O)	2.917	82.181	87.315	1.813	87.315	4	4	3.25	5	6	4.104	10.341	82.181	tr	1
C81903	O=C(O)c1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3	3.625	126.457	127.367	1.833	127.367	14	6	3.185	16	25	4.182	29.661	126.457	tr	1
C2467029	Oc1ccccc1Cc2ccccc2(O)	2.786	84.716	84.716	1.814	84.716	4	4	2.974	6	7	3.644	6.969	82.181	tr	1
C103366	O=C(OCC)C=Cc1ccccc1	2.592	78.345	90.128	1.54	90.128	4	1	3.027	1	4	3.943	19.962	50.567	tr	1
C94133	O=C(OCCC)c1ccc(O)cc1	2.086	52.45	64.234	1.604	64.234	3	2	3.393	4	1	3.974	22.051	41.091	tr	1
C90357065	N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(O)(C)CS(=O)(=O)c2ccc(F)cc2	2.74	81.53	130.97	1.921	124.924	11	5	4.185	4	0	4.926	241.237	86.133	tr	1
C530789	O=C(O)c2ccccc2(Nc1cccc(c1)C(F)(F)F)	3.864	82.181	96.364	1.845	96.364	8	4	3.404	8	4	4.523	153.292	87.695	tr	1
C51489	O=C(O)C(N)Cc2cc(c(Oc1cc(c(O)c(c1)I)I)c(c2)I)I	1.774	270.753	288.788	1.837	61.66	7	8	3.542	2	8	4.444	46.98	58.216	tr	1
C61734	n2c1ccc(cc1[s+]c3cc(ccc23)N(C)C)N(C)C	2.64	88.135	133.014	1.808	101.736	10	2	2.946	3	4	3.379	13.302	116.214	tr	1
C57476	O=C(Oc1ccc2c(c1)C3(C)(CCN(C)C3(N2C)))NC	1.869	42.974	85.032	1.633	85.032	4	3	4.022	0	3	4.796	31.708	50.503	tr	1
