Group Symbol	Atom type	nSng	nDbl	nTrp	nAr	nH	Charge
sCH3	C	1	0	0	0	3	0
dCH2	C	0	1	0	0	2	0
ssCH2	C	2	0	0	0	2	0
tCH	C	0	0	3	0	1	0
dsCH	C	1	1	0	0	1	0
aaCH	C	0	0	0	2	1	0
sssCH	C	3	0	0	0	1	0
ddC	C	0	2	0	0	0	0
tsC	C	1	0	0	1	0	0
dssC	C	2	1	0	0	0	0
aasC	C	1	0	0	2	0	0
aaaC	C	0	0	0	3	0	0
ssssC	C	4	0	0	0	0	0
sNH2	N	1	0	0	0	2	0
ssNH	N	2	0	0	0	1	0
dNH	N	0	1	0	0	1	0
sssN	N	3	0	0	0	0	0
dsN	N	2	1	0	0	0	0
aaN	N	0	0	0	2	0	0
tN	N	0	0	1	0	0	0
sNH3+	N	1	0	0	0	3	1
ssNH2+	N	2	0	0	0	2	1
dNH2+	N	0	1	0	0	2	1
sssNH+	N	3	0	0	0	1	1
ssssN+	N	4	0	0	0	0	1
ddsN	N	1	2	0	0	0	0
aadN	N	0	1	0	2	0	0
aasN	N	1	0	0	2	0	0
aaNH	N	0	0	0	2	1	0
sOH	O	1	0	0	0	1	0
dO	O	0	1	0	0	0	0
ssO	O	2	0	0	0	0	0
aaO	O	0	0	0	2	0	0
sPH2	P	1	0	0	0	2	0
ssPH	P	2	0	0	0	1	0
sssP	P	3	0	0	0	0	0
dsssP	P	3	1	0	0	0	0
ddsP	P	1	2	0	0	0	0
sssssP	P	5	0	0	0	0	0
sSH	S	1	0	0	0	1	0
dS	S	0	1	0	0	0	0
ssS	S	2	0	0	0	0	0
aaS	S	0	0	0	2	0	0
dssS	S	2	1	0	0	0	0
ddssS	S	2	2	0	0	0	0
ssssssS	S	5	0	0	0	0	0
sF	F	1	0	0	0	0	0
sCl	Cl	1	0	0	0	0	0
sBr	Br	1	0	0	0	0	0
sI	I	1	0	0	0	0	0
sLi	Li	1	0	0	0	0	0
ssBe	Be	2	0	0	0	0	0
ssssBe-	Be	4	0	0	0	0	-1
sBH2	B	1	0	0	0	2	0
ssBH	B	2	0	0	0	1	0
sssB	B	3	0	0	0	0	0
ssssB-	B	4	0	0	0	0	-1
sGeH3	Ge	1	0	0	0	3	0
ssGeH2	Ge	2	0	0	0	2	0
sssGeH	Ge	3	0	0	0	1	0
ssssGe	Ge	4	0	0	0	0	0
sAsH2	As	1	0	0	0	2	0
ssAsH	As	2	0	0	0	1	0
sssAs	As	3	0	0	0	0	0
sssssAs	As	5	0	0	0	0	0
dsssAs	As	3	1	0	0	0	0
ddsAs	As	1	2	0	0	0	0
sSeH	Se	1	0	0	0	1	0
dSe	Se	0	1	0	0	0	0
ssSe	Se	2	0	0	0	0	0
aaSe	Se	0	0	0	2	0	0
dssSe	Se	2	1	0	0	0	0
ssssssSe	Se	5	0	0	0	0	0
ddssSe	Se	2	2	0	0	0	0
sSnH3	Sn	1	0	0	0	3	0
ssSnH2	Sn	2	0	0	0	2	0
sssSnH	Sn	3	0	0	0	1	0
ssssSn	Sn	4	0	0	0	0	0
sPbH3	Pb	1	0	0	0	3	0
ssPbH2	Pb	2	0	0	0	2	0
sssPbH	Pb	3	0	0	0	1	0
ssssPb	Pb	4	0	0	0	0	0
sSiH3	Si	1	0	0	0	3	0
ssSiH2	Si	2	0	0	0	2	0
sssSiH	Si	3	0	0	0	1	0
ssssSi	Si	4	0	0	0	0	0
