id	cas	smiles	status	exp values
1		O=[N+]([O-])c1ccc(O)c(N)c1	Training	1
2		O=[N+]([O-])c1ccc(N)c(O)c1	Training	1
3		O=[N+]([O-])c1cc(N)ccc1(O)	Training	1
4		Nc1ccc(cc1)c2ccccc2	Training	1
5		Oc1ccc(cc1Cc2ccccc2)Cl	Training	1
6		O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)CC(C)C))C(C)C)C6=CC7c5cccc4[nH]c(c(c45)CC7(N(C)C6))Br	Training	1
7		O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	Training	1
8		O=C(OCCCC)c1ccc(O)cc1	Training	1
9		Oc1ccc(cc1)C(C)(C)C	Training	1
10		O=S(=O)(Oc1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	1
11		O=C(c2ccc(OCCCCc1nn[nH]n1)c(c2(O))CCC)C	Training	1
12		O(c1ccc(N)c(c1)C)C	Training	1
13		O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	Training	1
14		O=C(Nc1ccc(c(c1)Cl)Cl)C(=C)C	Training	1
15		Nc1cc(c(N)c(c1)Cl)Cl	Training	1
16		Oc1ccc(cc1Cl)Cl	Training	1
17		O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	1
18		O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	1
19		N#CC(c1ccccc1)c2ccccc2	Training	1
20		O=C1C=CC4(C)(C(N1)CCC2C4(CCC3(C)(C(C(=O)NC(C)(C)C)CCC23)))	Training	1
21		O=C(Nc2ccc3c1ccccc1Cc3(c2))C(F)(F)F	Training	1
22		O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	Training	1
23		O=C(O)Cc2c[nH]c1ccccc12	Training	1
24		O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	1
25		O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	1
26		O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	Training	1
27		N(=Nc1cccc(c1)C)c2ccc(cc2)N(C)C	Training	1
28		O=[N+]([O-])c1cc(N)ccc1(N)	Training	1
29		O=[N+]([O-])c1ccc(N)c(N)c1	Training	1
30		O=C(O)c1ccc(cc1(N))[N+](=O)[O-]	Training	1
31		N=C2NC(N)=CC=C2(N=Nc1ccccc1)	Training	1
32		N=C(N=C(N)NCCc1ccccc1)N	Training	1
33		Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	1
34		O=C(O)C=1NC(=C(C(=N)C=1Cl)Cl)Cl	Training	1
35		O=C4C=CC3(C(=CCC2C3(C(=O)CC1(C)(C2(CCC1(O)(C(=O)CO)))))C4)(C)	Training	1
36		O=C1C(=O)CC(=O)c2c(O)c3ccccc3(c(O)c12)	Training	1
37		N=C2NC(=N)C(c1ccc(cc1)Cl)=C(N2)CC	Training	1
38		O=CCNc1ccc(N)cc1[NH+]([O-])O	Training	1
39		O=C(OCC)c1ccccc1c3c4cc(c(cc4([o+]c2cc(NCC)c(cc23)C))NCC)C	Training	1
40		O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	1
41		n1cscc1c2nc3ccccc3([nH]2)	Training	1
42		Nc1ccc(cc1)Sc2ccc(N)cc2	Training	1
43		O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	1
44		O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)CCCl)CCN(C)C	Training	1
45		Oc1c(cc(cc1Cl)Cl)Cl	Training	1
46		O=C(O)CCCCCCCCCCC	Training	1
47		O=C(O)CCCCCCCCCCCCC	Training	1
48		O=C(C=CC1=C(C)CCCC1(C)C)C	Training	1
49		O=C1c3ccccc3(Oc2ccccc12)	Training	1
50		O=C(C=CC=Cc1ccc2OCOc2(c1))N3CCCCC3	Training	1
51		Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	1
52		Nc1ccc(cc1)CCCC	Training	1
53		NCCCCCCCCCCCC	Training	1
54		N(CCCCCC)CCCCCC	Training	1
55		O=C1C=C(Oc2ccccc12)c3ccccc3	Training	1
56		O=C(Nc1ccccc1(O))C	Training	1
57		O=P(c1ccccc1)(c2ccccc2)c3ccccc3	Training	1
58		N#Cc1cc(c(O)c(c1)I)I	Training	1
59		O(c1ccc(N)cc1)CCCCCC	Training	1
60		c1ccc(cc1)C=C(c2ccccc2)c3ccccc3	Training	1
61		Oc1ccccc1C(C)CC	Training	1
62		N=1C(=NC(C)C)NC(=NC(C)C)NC=1OC	Training	1
63		O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	1
64		O=C1C(=COc2cc(O)cc(O)c12)c3ccc(OC)cc3	Training	1
65		O=C1C=C(Oc2cc(O)cc(O)c12)c3ccccc3	Training	1
66		O=C(c1ccccc1)c2ccc(O)cc2(O)	Training	1
67		O=C(O)c1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3	Training	1
68		Oc1ccccc1Cc2ccccc2(O)	Training	1
69		O=C(OCC)C=Cc1ccccc1	Training	1
70		O=C(OCCC)c1ccc(O)cc1	Training	1
71		N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(O)(C)CS(=O)(=O)c2ccc(F)cc2	Training	1
72		O=C(O)c2ccccc2(Nc1cccc(c1)C(F)(F)F)	Training	1
73		O=C(O)C(N)Cc2cc(c(Oc1cc(c(O)c(c1)I)I)c(c2)I)I	Training	1
74		n2c1ccc(cc1[s+]c3cc(ccc23)N(C)C)N(C)C	Training	1
75		O=C(Oc1ccc2c(c1)C3(C)(CCN(C)C3(N2C)))NC	Training	1
76		O=C(O)CC=2c3cc(F)ccc3(C(=Cc1ccc(cc1)S(=O)C)C=2C)	Training	1
77		N#CC2C(=O)C5OC35(CCC1C4CCC(O)C4(C)(CCC1C3(C)(C2)))	Training	1
78		C(=NC1CCCCC1)=NC2CCCCC2	Training	1
79		O=C(N(c1c(cccc1CC)C)COCC)CCl	Training	1
80		FC(F)(F)c3ccc(C=CC(=NNC1=NCC(C)(C)CN1)C=Cc2ccc(cc2)C(F)(F)F)cc3	Training	1
81		O=C(Nc1ccccc1)C2=C(OCCS2)C	Training	1
82		N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	1
83		N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	1
84		O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C	Training	1
85		O=C1C(=CN(C=C1c2cccc(c2)C(F)(F)F)C)c3ccccc3	Training	1
86		O=C(OC)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C	Training	1
87		n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Training	1
88		O=C(NC(C)C)N2C=C(O)N(c1cc(cc(c1)Cl)Cl)C2(=O)	Training	1
89		O=C(N=C1ONC(=C1)C(C)(CC)CC)c2c(OC)cccc2(OC)	Training	1
90		O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	1
91		O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C	Training	1
92		O=C(N(CC)CC)C(Oc1cccc2ccccc12)C	Training	1
93		O=C1C(=C(C=NN1c2cccc(c2)C(F)(F)F)NC)Cl	Training	1
94		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N	Training	1
95		O=C1NC(=C(C(=O)N1C(C)(C)C)Cl)C	Training	1
96		O=C(NC(=N)N)C=1N=C(C(=N)NC=1(N))Cl	Training	1
97		N=C2Nc1ccc(OC)cc1S2	Training	1
98		O=[N+]([O-])c1ccc2NC(=N)Sc2(c1)	Training	1
99		O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	1
100		n1ccn(c1)CC(OCc2ccc(cc2)Cl)c3ccc(cc3Cl)Cl	Training	1
101		O=C(OC3(C(=O)C)(CCC2C4CC(=C1CC(=O)CCC1(C)C4(CCC23(C)))C))C	Training	1
102		O=C(C=C)NCNC(=O)C=C	Training	1
103		O=[N+]([O-])c2c3ccccc3(cc1ccccc12)	Training	1
104		O=C(O)CCCCCCCC=CCCCCCCCC	Training	1
105		Oc1cc(O)cc(c1)CCCCC	Training	1
106		O(CCN(C)C)C(c1ccccc1)c2ccccc2C	Training	1
107		O=C(OCCc1ccccc1)c2ccccc2(N)	Training	1
108		O=S(=O)(N=C1NC=CS1)c2ccc(N)cc2	Training	1
109		Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	1
110		OCCN(c1cccc(c1)Cl)CCO	Training	1
111		O=C(O)c1cc2ccccc2(cc1(O))	Training	1
112		O=C(O)CCCCCCCCCCC(O)CCCCCC	Training	1
113		N(C)(C)CCCCCCCCCCCC	Training	1
114		O=C(OC)c1cccc(c1)C(=O)OC	Training	1
115		O=C(C=C)NCOCCCC	Training	1
