ID	CAS	SMILES	label	Expr
1	93-65-2	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	0.398
2	109023-83-8	O=[N+]([O-])c1cc(c(cc1(NCCO))NCCO)Cl	Training	2
3	84041-77-0	O=[N+]([O-])c1cc(ccc1(NCCO))NCCO	Training	2.38
4	134-72-5	OC(c1ccccc1)C(NC)C	Test	1.398
5	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	1.204
6	1634-78-2	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	2.301
7	846-70-8	O=[N+]([O-])c1cc(c2ccc(cc2(c1(O)))S(=O)(=O)O)[N+](=O)[O-]	Training	1.477
8	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	0.973
9	83-56-7	Oc1cccc2c(O)cccc12	Training	1.699
10	5036-02-2	N2=C1N(CCS1)CC2c3ccccc3	Training	1
11	127-69-5	O=S(=O)(Nc1onc(c1C)C)c2ccc(N)cc2	Training	2.667
12	97404-02-9	N(=Nc1n(cc[n+]1C)C)c2ccc(N)cc2	Training	1.778
13	81612-54-6	O=[N+]([O-])c1cc(OCC(O)CO)ccc1(NCCO)	Training	2
14	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	2.477
15	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Test	0.398
16	2784-89-6	O=[N+]([O-])c2cc(N)ccc2(Nc1ccccc1)	Training	0.699
17	534-73-6	OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1(O)	Test	3.466
18	27311-52-0	Oc1ccc(N)cc1Cc2cc(N)ccc2(O)	Training	0.699
19	73-31-4	O=C(NCCc2c[nH]c1ccc(OC)cc12)C	Training	0.699
20	77061-58-6	N(=Nc1n(cc[n+]1C)C)c2ccc(cc2)N(C)C	Training	1
21	104226-19-9	O=[N+]([O-])c1cc(ccc1(NCCCO))N(CCO)CCO	Test	1.699
22	128-95-0	O=C1c3ccccc3(C(=O)c2c(N)ccc(N)c12)	Training	0.301
23	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	1.792
24	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Training	-0.602
25	103-50-4	O(Cc1ccccc1)Cc2ccccc2	Training	2.292
26	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Test	1.783
27	53716-50-0	O=C(OC)Nc1nc2cc(ccc2([nH]1))S(=O)c3ccccc3	Training	0.58
28	2832-40-8	O=C(Nc2ccc(N=Nc1cc(ccc1(O))C)cc2)C	Test	2.398
29	842-07-9	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Test	1.699
30	113-92-8	n1ccccc1C(c2ccc(cc2)Cl)CCN(C)C	Training	1.477
31	6846-50-0	O=C(OCC(C)(C)C(OC(=O)C(C)C)C(C)C)C(C)C	Test	2
32	120-40-1	O=C(N(CCO)CCO)CCCCCCCCCCC	Test	1.398
33	19224-26-1	O=C(OCC(OC(=O)c1ccccc1)C)c2ccccc2	Training	2.801
34	147-24-0	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Test	1.204
35	57775-29-8	OC(COc2cccc3[nH]c1ccccc1c23)CNC(C)C	Training	0.978
36	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	0.477
37	2372-82-9	NCCCN(CCCN)CCCCCCCCCCCC	Training	0.699
38	68391-32-2	O=C2C=Cc3ccc(cc3(C2(=NNc1ccc(N)c(c1)[N+](=O)[O-])))[N+](C)(C)C	Training	1.778
39	128729-28-2	OCCN(c1ccc(N)cc1)CC(O)CN(c2ccc(N)cc2)CCO	Training	1.398
40	4430-25-5	O=S4(=O)(OC(c1cc(c(O)c(c1)Br)Br)(c2cc(c(O)c(c2)Br)Br)c3c(c(c(c(c34)Br)Br)Br)Br)	Test	0.477
41	4368-56-3	O=C1c4ccccc4(C(=O)c2c(cc(c(N)c12)S(=O)(=O)O)NC3CCCCC3)	Training	2.477
42	52793-97-2	O=C2C(=Cc1ccc(cc1)[N+](C)(C)C)C3CCC2(C)C3(C)(C)	Training	2.477
43	77-90-7	O=C(OC(C(=O)OCCCC)(CC(=O)OCCCC)CC(=O)OCCCC)C	Training	2
44	111-62-6	O=C(OCC)CCCCCCCC=CCCCCCCCC	Training	3.591
45	64-75-5	O=C(N)C=3C(=O)C4(O)(C(O)=C2C(=O)c1c(O)cccc1C(O)(C)C2CC4(C(C=3(O))N(C)C))	Training	2.491
46	54556-98-8	O=C(OC1CCN(C)CC1)C(OCCC)(c2ccccc2)c3ccccc3	Training	0.301
47	614-33-5	O=C(OCC(OC(=O)c1ccccc1)COC(=O)c2ccccc2)c3ccccc3	Training	2.781
48	6422-86-2	O=C(OCC(CC)CCCC)c1ccc(cc1)C(=O)OCC(CC)CCCC	Training	2.442
49	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0.398
50	4403-90-1	O=C2c5ccccc5(C(=O)c3c(ccc(Nc1ccc(cc1S(=O)(=O)O)C)c23)Nc4ccc(cc4S(=O)(=O)O)C)	Training	2
51	59-02-9	Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C	Test	2.491
52	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	1.146
53	630-20-6	C(C(Cl)(Cl)Cl)Cl	Test	2
54	75-01-4	C=CCl	Training	1.477
55	79-14-1	O=C(O)CO	Training	2.176
56	107-15-3	NCCN	Training	2
57	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Test	2.097
58	32687-78-8	O=C(NNC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C	Training	1.398
59	643-22-1	O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Training	2.255
60	79-06-1	O=C(N)C=C	Training	-0.699
61	108-78-1	n1c(nc(nc1N)N)N	Training	2.23
62	814-80-2	O=C(O)C(O)C	Test	2.477
63	203255-81-6	Oc1c(C)cc(cc1C(C)(C)C)CCCOp3oc2c(cc(cc2C(C)(C)C)C(C)(C)C)c4cc(cc(c4(o3))C(C)(C)C)C(C)(C)C	Training	2
64	5977-14-0	O=C(N)CC(=O)C	Training	2.248
65	56-84-8	O=C(O)CC(N)C(=O)O	Training	2.854
66	99911-45-2	O=C(NS(=O)(=O)O)CC(=O)C	Training	3.27
67	141-78-6	O=C(OCC)C	Training	2.954
68	155601-30-2	OCCn1ncc(N)c1(N)	Training	2.398
69	77182-82-2	O=C(O)C(N)CCP(=O)(O)C	Training	-0.398
70	67-48-1	OCC[N+](C)(C)C	Training	2.699
71	3149-28-8	n1ccnc(OC)c1	Training	1.301
72	16867-03-1	Oc1cccnc1(N)	Test	1.477
73	77-71-4	O=C1NC(=O)C(N1)(C)C	Training	2.481
74	108-60-1	O(C(C)CCl)C(C)CCl	Training	2
75	123-86-4	O=C(OCCCC)C	Training	2.778
76	102-71-6	OCCN(CCO)CCO	Training	2.699
77	61693-43-4	Oc1ccc(c(N)c1Cl)Cl	Training	1.903
78	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	2
79	591-27-5	Oc1cccc(N)c1	Training	1.301
80	106-50-3	Nc1ccc(N)cc1	Training	0.903
81	56216-28-5	n1c(OC)c(N)cc(N)c1OC	Training	0.699
82	110-43-0	O=C(C)CCCCC	Training	1.301
83	106-44-5	Oc1ccc(cc1)C	Training	1.699
84	608-25-3	Oc1cccc(O)c1C	Test	2
85	4940-11-8	O=C1C=COC(=C1(O))CC	Training	2.699
86	2835-99-6	Oc1ccc(N)c(c1)C	Training	1.778
87	122-99-6	OCCOc1ccccc1	Test	1.903
88	271-89-6	o1ccc2ccccc12	Training	1.495
89	622-97-9	C=Cc1ccc(cc1)C	Training	1.699
90	85-91-6	O=C(OC)c1ccccc1(NC)	Test	1.176
91	94158-14-2	OCCNc1ccc2OCOc2(c1)	Training	1.301
92	100418-33-5	O=[N+]([O-])c1cc(ccc1(NCCO))C	Test	1.653
93	66095-81-6	O=[N+]([O-])c1ccc(NCCO)c(OC)c1	Test	2
94	1123-85-9	OCC(c1ccccc1)C	Training	1
95	55302-96-0	Oc1cc(ccc1C)NCCO	Training	2.342
96	106-72-9	O=CC(C)CCC=C(C)C	Test	1.568
97	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC	Test	1
98	7757-97-3	O=C(N)CCNC(=O)C(O)C(C)(C)CO	Training	2.699
99	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	2.602
100	119-84-6	O=C2Oc1ccccc1CC2	Training	1.875
101	83-72-7	O=C1C=C(O)C(=O)c2ccccc12	Training	0.301
102	38866-20-5	O=C1c4ccccc4(C(=O)c2c(ccc(O)c12)NCCC[N+]3(C)(CCOCC3))	Test	1.699
103	74578-10-2	N=C1C(=CC(C=C1C)=C(c2cc(c(N)c(c2)C)C)c3c(cccc3Cl)Cl)C	Test	0.602
104	160219-76-1	O=[N+]([O-])c1cc(N)ccc1(NCC=C)	Training	1
105	59820-63-2	O=[N+]([O-])c1ccc(OCCO)cc1(NC)	Test	1.398
106	27080-42-8	O=C(N)N(c1ccc(cc1)[N+](=O)[O-])CCN	Training	0.699
107	107-18-6	OCC=C	Training	0.681
108	75-25-2	C(Br)(Br)Br	Test	1.398
109	91-58-7	c1ccc2cc(ccc2(c1))Cl	Training	2.398
110	95-49-8	c1ccc(c(c1)C)Cl	Training	1.301
111	106-37-6	c1cc(ccc1Br)Br	Test	1
112	124-48-1	C(Cl)(Br)Br	Test	1.477
113	120-83-2	Oc1ccc(cc1Cl)Cl	Training	-0.523
114	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	2.875
115	105-67-9	Oc1ccc(cc1C)C	Test	1.699
116	300-71-6	Oc1c(cccc1C)C	Training	-0.222
117	99-65-0	O=[N+]([O-])c1cccc(c1)[N+](=O)[O-]	Training	-0.398
118	60-29-7	O(CC)CC	Training	2.699
119	76774-50-0	c1ccc2c(c1)c4cccc3cccc2c34	Test	2.097
120	2299-68-5	c1ccc3c(c1)c2ccccc2C3	Training	2.097
