id	CAS	SMI VEGA	Status	Exp (ave)
1	513-86-0	O=C(C)C(O)C                                                                       	Training	-2.519
2	2432-99-7	O=C(O)CCCCCCCCCCN                                                                 	Training	-3.176
3	123-31-9	Oc1ccc(O)cc1                                                                      	Training	-1.398
4	94-26-8	O=C(OCCCC)c1ccc(O)cc1                                                             	Training	-2.954
5	87-20-7	O=C(OCCC(C)C)c1ccccc1(O)                                                          	Training	-0.672
6	534-73-6	OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1(O)                                         	Test	-3.466
7	503-74-2	O=C(O)CC(C)C                                                                      	Training	-3.333
8	38502-29-3	OC(Cc1ccccc1)CC(C)C                                                               	Training	-1
9	108-39-4	Oc1cccc(c1)C                                                                      	Training	-1.699
10	93-92-5	O=C(OC(c1ccccc1)C)C                                                               	Training	-1.699
11	122-99-6	OCCOc1ccccc1                                                                      	Training	-1.903
12	698-87-3	OC(C)Cc1ccccc1                                                                    	Training	-1
13	142-19-8	O=C(OCC=C)CCCCCC                                                                  	Training	-1.695
14	431-03-8	O=C(C(=O)C)C                                                                      	Training	-1.954
15	78-59-1	O=C1C=C(C)CC(C)(C)C1                                                              	Training	-2.699
16	110-43-0	O=C(C)CCCCC                                                                       	Training	-1.301
17	93-65-2	O=C(O)C(Oc1ccc(cc1C)Cl)C                                                          	Training	-0.398
18	94-81-5	O=C(O)CCCOc1ccc(cc1C)Cl                                                           	Test	-1.079
19	99911-45-2	O=C(NS(=O)(=O)O)CC(=O)C                                                           	Training	-3.27
20	1646-88-4	O=C(ON=CC(C)(C)S(=O)(=O)C)NC                                                      	Training	0.222
21	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC                                                           	Training	-0.934
22	108-60-1	O(C(C)CCl)C(C)CCl                                                                 	Training	-2
23	56-23-5	C(Cl)(Cl)(Cl)Cl                                                                   	Training	0.149
24	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl                                                              	Training	-2
25	95-50-1	c1ccc(c(c1)Cl)Cl                                                                  	Training	-1.778
26	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl                                                            	Training	0
27	2164-17-2	O=C(Nc1cccc(c1)C(F)(F)F)N(C)C                                                     	Training	-0.903
28	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl                                                      	Training	0
29	108-78-1	n1c(nc(nc1N)N)N                                                                   	Training	-2.23
30	85-91-6	O=C(OC)c1ccccc1(NC)                                                               	Test	-1.176
31	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C                                                           	Training	-1.875
32	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl                                                              	Training	-2.097
33	108-45-2	Nc1cccc(N)c1                                                                      	Test	-0.778
34	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl                                                  	Training	-0.398
35	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl                                                            	Training	0.469
