id	cas	smiles	status	exp values
1	n.a.	CC1(C)CCCC(NC(=O)C(S)CC2=CC=CC=C2)C(=O)N1CC(=O)O	training	1
2	n.a.	CC(CS)C(=O)N1CCCC1C(=O)O	training	1
3	n.a.	CC(C)(C)OC(=O)NCCCCC(NC1CCC2=C(C=CC=C2)N(CC(=O)O)C1=O)C(=O)O	training	1
4	n.a.	O=C(NC(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O)C(S)CC1CCCCC1	training	1
5	n.a.	O=C(O)C(CC1=CC=C(C2=CC=CC=C2)C=C1)NC(=O)C(S)C1CCCCC1	training	0
6	n.a.	O=C(O)C(CC1=CC=C(C2=CC=CC=C2)C=C1)NC(=O)C(S)C1CCC1	training	1
7	n.a.	CC(C)C(S)C(=O)NC(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O	training	1
8	n.a.	O=C(CS)NC(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O	training	1
9	n.a.	NC(CS)C(=O)N1CCCC1C(=O)O	training	1
10	n.a.	CCC(C)C(S)C(=O)NC(CC1=CC=C(OCC2=CC=CC=C2)C=C1)C(=O)O	training	1
11	n.a.	CCC(C)C(S)C(=O)NC(CC1=C(OCC2=CC=CC=C2)C=CC=C1)C(=O)O	training	1
12	n.a.	CCC(C)C(S)C(=O)NC(CC1=CC(C2=CC=CC=C2)=CC=C1)C(=O)O	training	1
13	n.a.	CCC(C)C(S)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)O	training	1
14	n.a.	CCCC1=CC=C(CSCC(NC(=O)C(C)CS)C(=O)O)C=C1	training	1
15	n.a.	CC(CS)C(=O)NC(CSCC1=CC=C(OC2=CC=CC=C2)C=C1)C(=O)O	training	1
16	n.a.	CC(CS)C(=O)NC(CSCC1=CC=C([N+](=O)[O-])C=C1)C(=O)O	training	1
17	n.a.	CC(C)C1=CC=C(C(SCC(NC(=O)C(C)CS)C(=O)O)C(C)C)C=C1	training	1
18	n.a.	CC(C)C1=CC=C(C(SCC(NC(=O)C(C)CS)C(=O)O)C2=CC=CC=C2)C=C1	training	1
19	n.a.	O=C(CCS)OC(CC1=CC=CC=C1)C(=O)O	training	1
20	n.a.	CC(CC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCN)NC(=O)C1CCC1)C(=O)N1CCCC1C(=O)O	training	1
21	n.a.	O=C(O)CN1C(=O)C(NC(=O)C(S)CC2=CC=CC=C2)CSC2=C1C=CC=C2	training	1
22	n.a.	CC(=O)SCC1CCN(CC(=O)O)C1=O	training	0
23	n.a.	CC(C)CCC(NC(C)C(=O)N1C(=O)N(CC2=CC=CC=C2)CC1C(=O)O)C(=O)O	training	1
24	n.a.	NCCCCC(N)C(=O)NC(CCC(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)O	training	1
25	n.a.	CC(NC(=O)C(S)CC1=CC=CC=C1)C(=O)N(CC(=O)O)C1=CC=CC=C1	training	1
26	n.a.	NCCCCC(NC(=O)OCC1=CC=CC=C1)C(=O)NC(CCC(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)O	training	1
27	n.a.	CC(NC(=O)OCC1=CC=CC=C1)C(=O)NC(CCC(=O)N1CCCC1C(=O)O)C(=O)O	training	1
28	n.a.	COC1=CC=C(CSCC(NC(=O)C(CS)CC2=CC=CC=C2)C(=O)O)C=C1	training	1
29	n.a.	CC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N(CC(=O)O)C1CC2=C(C=CC=C2)C1	training	1
30	n.a.	O=C(NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)N1C2=C(C=CC=C2)CC1C(=O)O)C(=O)O)OCC1=CC=CC=C1	training	1
31	n.a.	O=C(NC(CC1=CC=CC=C1)CP(=O)(O)CC(=O)N1CCCC1C(=O)O)C1=CC=CC=C1	training	1
32	n.a.	CC1=CC=C(N(CC(=O)O)C(=O)C(C)N)C=C1	training	1
33	n.a.	O=C1C=C(N2CCOCC2)OC2=C1C=CC=C2	training	0
34	n.a.	O=C(CCS)NC(CS)C(=O)O	training	0
35	n.a.	O=C(O)CCC(=O)CCS	training	1
36	n.a.	CC(NC(CCC1=CC=CC=C1)P(=O)(O)O)C(=O)N1CCCC1C(=O)O	training	1
37	n.a.	CC(CS)C(=O)NC(CSCC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O	training	1
38	n.a.	CC(CS)C(=O)NC(CSCC1=CC=C(S(C)(=O)=O)C=C1)C(=O)O	training	1
39	n.a.	CC(C)C1=CC=C(C(C)SCC(NC(=O)C(C)CS)C(=O)O)C=C1	training	1
40	n.a.	CCC(SCC(NC(=O)C(C)CS)C(=O)O)C1=CC=C(C(C)C)C=C1	training	1
41	n.a.	CCCC(SCC(NC(=O)C(C)CS)C(=O)O)C1=CC=C(C(C)C)C=C1	training	1
42	n.a.	CC(C)(C)CN(CC(O)C(=O)O)C(=O)NC(CC1=CC2=C(C=CC=C2)C=C1)C(=O)O	training	1
43	n.a.	CCC(C)C(S)C(=O)NC(CC1=CC=C(OCC2=C(F)C=C(F)C=C2)C=C1)C(=O)O	training	1
44	n.a.	CCC(C)C(S)C(=O)NC(CC1=CC=C(OC2=CC=CC=C2)C=C1)C(=O)O	training	1
45	n.a.	O=C(O)C1C2=C(C=CC=C2)CN1C(=O)CCS	training	0
46	n.a.	CC(NC(C(=O)O)C1CCCN1C(=O)NCC(=O)O)C(=O)N1CCCC1C(=O)O	training	1
47	n.a.	O=C(CC(S)C(F)(F)F)NC(CC1=CC=C(O)C=C1)C(=O)O	training	1
48	n.a.	COC(=O)C1=C(NC(=O)CN(C)C(=O)C2CC(S)CN2S(=O)(=O)C2=CC3=C(C=CC=C3)C=C2)C=CC=C1	training	0
49	n.a.	CC(CSC(=O)C1=CC=CC=C1)C(=O)N1CC(SC2=CC=CC=C2)CC1C(=O)O	training	1
50	n.a.	CC(NC(C)(CCC1=CC=CC=C1)C(=O)O)C(=O)N1CCCC1C(=O)O	training	1
51	n.a.	O=C1C(=NC(=S)NCC2=C(O)C=C3C=CC=CC3=C2)C2=C(C=CC=C2)N1C1=C(Cl)C=CC=C1	training	1
52	n.a.	COC1=CC=C(CN2C(=O)C(=NC(=S)NCC3=C(O)C=C4C=CC=CC4=C3)C3=C2C=CC=C3)C=C1	training	1
53	n.a.	O=C(O)CN1C(=O)C(NC(CCC2=CC=CC=C2)C(=O)O)CSC2=C1C=CC=C2	training	1
54	n.a.	CCCCC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N1CC(NC(=O)CC(N)CC2=C(F)C=C(F)C(F)=C2)CC1C(=O)O	training	1
55	n.a.	CN1C(=O)CCC(NC(=O)C(S)CC2=CC=CC=C2)C(=O)N1CC(=O)O	training	1
56	n.a.	CC(CS)C(=O)N1C[Si](C)(C)CC1C(=O)O	training	1
