id	cas	smiles	status	exp values
1	n.a.	COC1=C(O)C=C(C=CC(=O)NCCC2CCN(CC3=CC=CC=C3)CC2)C=C1	training	1
2	n.a.	N#CC(C#N)=C1NCCN1CCNCC1=CC=C(CN2CCCCC2)O1	training	1
3	n.a.	CCNC1CCC2=C1C=C(OC(=O)N(C)C)C=C2	training	0
4	n.a.	CN(C)CC1=CC=C(CSCCNC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C(NCCCN3CCOCC3)=C2)O1	training	1
5	n.a.	O=C1C=CC(=O)C=C1	training	1
6	n.a.	CC(C)N(CCN1CC(=O)N(CCC2=C(Cl)C=C(Cl)C=C2)CC1=O)C(C)C	training	0
7	n.a.	COC1=C(C(=O)NCCNC2=C3C=CC=CC3=NC3=C2CCCC3)SC(C2=CC(NC(=O)C3CC3)=NC=C2)=N1	training	1
8	n.a.	NC(=O)C1=C(OCCNC2=C3C=CC=CC3=NC3=C2CCCC3)N=C(C2=CC(NC(=O)C3CC3)=NC=C2)S1	training	1
9	n.a.	COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=C(Cl)C=CC=C4)CC3)CC2=C1	training	1
10	n.a.	CC1=CC(=O)OC2=C1C=CC(OCCSC(=S)N(C)C)=C2	training	0
11	n.a.	COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=C(C(F)(F)F)C=CC=C4)CC3)CC2=C1	training	1
12	n.a.	O=C1C2=C(C=CC=C2)CCC1=CC1=CC=C(N2CCCC2)C=C1	training	0
13	n.a.	CC1=C(CN2CCC(C(=O)NCCC3=CNC4=C3C=CC=C4)CC2)C=CC=C1	training	1
14	n.a.	O=C(CCC1CCN(CC2=CC=CC=C2)CC1)C1=CC2=C(C=C1)CCCN2	training	1
15	n.a.	O=C1C(=O)N(CCBr)C2=C1C=CC=C2	training	0
16	n.a.	CC1CCN(C2=NC(NC(C3=CC=CC=C3)C3=CC=CC=C3)=CC=N2)CC1	training	0
