id	cas	smiles	status	exp values
1	n.a.	OC1=C2N=C(C=CC3=C(Cl)C=CC=C3)C=CC2=CC=C1	training	0
2	n.a.	CCCCC1=NC=C(C=C2C(=O)N(CCCC)C(=O)N2CC2=C(C)C=CS2)N1CC1=CC=C(C(=O)OC)C=C1	training	1
3	n.a.	CCCCC1=NC=C(C=C2C(=O)N(CCCC)C(=O)N2CC2=CC=C(Cl)C=C2)N1CC1=CC=C(C(=O)OC)C=C1	training	1
4	n.a.	CC1=CSC(N=C(S)NC2=CC(Cl)=CC=C2)=N1	training	0
5	n.a.	CC1=CC=C(S(=O)(=O)NC2=C3N=CC=CC3=CC=C2)C=C1	training	1
6	n.a.	CC1=CC(C)=NC(NNS(=O)(=O)C2=CC=C(Cl)C=C2)=N1	training	0
7	n.a.	O=C(CCCC(=O)NC1=CC(Br)=CC=C1)NN=CC1=C(O)C=CC([N+](=O)[O-])=C1	training	0
8	n.a.	CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2C1=C(O)C=C(O)C=C1	training	1
9	n.a.	CCCOC1=CC(C2=NC3=C(C=CC=C3)C(C(=O)NN=CC3=NC=CC=C3)=C2)=CC=C1	training	1
10	n.a.	CCOC(=O)C1=C2NC(=O)C3=C(C=CC=C3)N2C(=O)C1	training	1
11	n.a.	OC1=C2N=CC=CC2=CC=C1C(C1=C(Cl)C=CC=C1)N1CCCC1	training	0
12	n.a.	CCN(CC)S(=O)(=O)C1=CC2=C(C=C1)OC(SCC(=O)NC1=NOC(C)=C1)=N2	training	0
13	n.a.	O=S1(=O)C=C(SC2=NN=C(C3=CC=CC=C3)O2)C2=C1C=CC=C2	training	1
14	n.a.	CC1=CC=C(NN=C2C(=O)NN3C(=O)C=C(C)N=C23)C=C1	training	0
15	n.a.	CC1=CC(N=C2C(=O)NC3=C2C=CC=C3Cl)=CC=C1	training	0
16	n.a.	C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(OC(C)=O)C12	training	0
17	n.a.	O=C(COC(=O)C1=CC=CO1)C1=CC=C(S(=O)(=O)N2CCCCC2)C=C1	training	0
18	n.a.	O=C(CCN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O)OCC(=O)C1=CC([N+](=O)[O-])=CC=C1	training	0
19	n.a.	CC1=CC(NC(=S)NN=C2CCCCC3=C2C=CC=C3)=C(C)C=C1	training	0
20	n.a.	CSC1=CC(N=C2C(=O)NC3=C2C=CC=C3)=CC=C1	training	0
21	n.a.	NC(=O)C1=C(NCC(=O)C2=CC=C(Cl)C=C2)C=CC=C1	training	1
22	n.a.	CC1=CC(C)=NN1C1=NC(NN=CC2=C([N+](=O)[O-])C=CC=C2)=CC(C)=N1	training	1
23	n.a.	BrC1=CC=C(N=NC2=NC3=C(C=CC=C3)C=C2)C=C1	training	0
24	n.a.	CCSC1(SCC)N=C(N)C2(C#N)C(C3=C(OC)C(OC)=C(OC)C=C3)C12C#N	training	0
25	n.a.	O=C(O)C1=C2CCC(=O)N(CC3=CC=C(C4=CC=CC=C4C4=NNN=N4)C=C3)C2=NC(CO)=N1	training	1
26	n.a.	O=C1C=C(C2=C(F)C(F)=C(F)C(F)=C2F)OC2=C1C=CC=C2	training	1
27	n.a.	OC1=NC(C2=NC=CC=C2)=NC(CSC2=CC=C(Cl)C=C2)=C1	training	0
28	n.a.	O=C(O)C1=CC(NC(=S)NC(=O)C2=CC(Br)=CN=C2)=CC=C1	training	0
29	n.a.	CCC1=NC2=C(N=C(C)C(C)=C2C)N1C1CCC2=C1C=CC(C1=CC=CC=C1C1=NN=NN1)=C2	training	1
30	n.a.	COC(=O)C1=C(C2=CC=C(CN3CCC(CNC(=O)C4=C5OCCCN5C5=C4C=CC=C5)CC3)C=C2)C=CC=C1	training	0
31	n.a.	O=C(OCC1CCN(CC2=CC=C(C3=CC=CC=C3C3=NN=NN3)C=C2)CC1)C1=C2OCCCN2C2=C1C=CC=C2	training	0
32	n.a.	CCCC1=NC2=C(C=C(NC(=O)OC)C=C2C)N1CC1=CC=C(C2=C(C(=O)O)C=CC=C2)C=C1	training	1
33	n.a.	CCCC1=NC(CC)=C(C(=O)NC)N1CC1=CC(COC)=C(C2=CC=CC=C2S(=O)(=O)NC2=C(C)C(C)=NO2)C=C1	training	1
34	n.a.	COCC1=NC(NC2=NC3=C(C=C(C)C=C3)O2)=NC(O)=C1	training	1
35	n.a.	FC1=CC(F)=C(N=C(S)NNC2=C(Cl)C=C(C(F)(F)F)C=N2)C=C1	training	0
36	n.a.	CC1=CC=C(C=NNC(=S)N2CCOCC2)C=C1	training	1
37	n.a.	N#CC(C#N)=CC1=C2OC(C3=CC=CC=C3)=CC(C3=CC=CC=C3)=C2CCC1	training	0
38	n.a.	CC(C)C1=CC(NC(=S)NC(=O)C2=CN=CC=C2)=C(O)C=C1	training	0
39	n.a.	CNS(=O)(=O)C1=CC(C(=O)OCC(=O)C2=CC3=C(C=CC=C3)O2)=CC=C1	training	0
40	n.a.	O=C(CN1N=NC2=C1C=CC=C2)OCC(=O)C1=CC(Cl)=C(Cl)C=C1	training	0
41	n.a.	CCOC(=O)C1=C(NC(=O)CNCCN(C)C)SC=C1C1=CC=C(C2=CC=CC=C2)C=C1	training	1
42	n.a.	CC1=CC([N+](=O)[O-])=C(OCCN2C(=O)C3=C(C=CC=C3)C2=O)C=C1	training	1
