id	cas	smiles	status	exp values
1	n.a.	CCC(C)C(NCN(CC1=CC=C(F)C=C1)C(=O)C1=CC=C(F)C=C1)C(=O)NC(CC1=CSC=N1)C(=O)NO	training	1
2	n.a.	CCC(C)C(NC(=O)NCCC1=CC=CC=C1)C(=O)NC(CC1=CC2=C(C=CC=C2)N1)C(=O)NO	training	1
3	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=CC3=C(C=C2)OCO3)C(C(=O)O)C2CCN(C(=O)OC(C)(C)C)CC2)C=C1	training	1
4	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=C(C)C(C)=C(OC)C=C2)C(C)C(=O)O)C=C1	training	1
5	n.a.	COC1=CC=C(S(=O)(=O)NC(CCCNC(=O)C2CC2)C(=O)NO)C=C1	training	1
6	n.a.	COC1=CC=C(S(=O)(=O)N(C)C(CCCNC(=O)NC2=CC=CC=C2)C(=O)NO)C=C1	training	1
7	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=CC3=C(C=C2)OCO3)C(CCCNC(=O)NCC2=CC(C)=CC=C2)C(=O)NO)C=C1	training	1
8	n.a.	CCC(C)C(NC(=O)OCC1=CC=CC=C1)C(=O)NCC(NC(=O)OCC1=CC=CC=C1)C(=O)NO	training	1
9	n.a.	CCC(C)C(NS(=O)(=O)C1=CCC(C)(Cl)C=C1C)C(=O)NC(CC1=CSC=N1)C(=O)NO	training	1
10	n.a.	CCC(C)C(NS(=O)(=O)C1=C(Cl)C=CC(Cl)=C1)C(=O)NC(CC1=CSC=N1)C(=O)NO	training	1
11	n.a.	CC1=C(C2=CC=CC=C2)C=CC(CCCC(CC(=O)NO)C(=O)NC(C(=O)NC(C)C2=CC=CC=C2)C(C)(C)C)=C1	training	0
12	n.a.	CCC(C)C(NC1=CC([N+](=O)[O-])=CC=C1)C(=O)NC(CC1=CC2=C(C=CC=C2)N1)C(=O)NO	training	1
13	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=NOC(C)=C2)C(C)C(=O)NO)C=C1	training	1
14	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=CC3=C(C=C2)OCO3)C(CC2=CC=C(Br)S2)C(=O)O)C=C1	training	1
15	n.a.	O=C(CC(CCCC1CCCCC1)C1=NC(C(=O)NS(=O)(=O)C2=CC=C(F)C=C2)=NO1)NO	training	1
16	n.a.	NC(=O)NCC1=NOC(C(CCCC2CCCCC2)CC(=O)NO)=N1	training	1
17	n.a.	O=C(CC(CCCC1CCCCC1)C1=NC(C2=CN=C(C(=O)O)C=C2)=NO1)NO	training	1
18	n.a.	CNS(=O)(=O)C1=CC=C(C2=NOC(C(CCCC3CCCCC3)CC(=O)NO)=N2)C=C1	training	1
19	n.a.	O=C(CC(CCCC1CCCCC1)C1=NC(C2=CC=C(C(=O)O)C=C2)=NO1)NO	training	1
20	n.a.	CC(NC(=O)NCCCC(NS(=O)(=O)C1=CC=C(Cl)S1)C(=O)NO)C1=CC=CC=C1	training	1
21	n.a.	COC(=O)C1=CC=C(C(=O)NCCC(C(=O)NO)N(CC2=CC3=C(C=C2)OCO3)S(=O)(=O)C2=CC=C(OC)C=C2)C=C1	training	1
22	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=CC([N+](=O)[O-])=C(C)C=C2)C(CC2=CC=CS2)C(=O)NO)C=C1	training	1
23	n.a.	NS(=O)(=O)NCC1=NOC(C(CCCC2CCCCC2)CC(=O)NO)=N1	training	1
24	n.a.	C=CCOC1=CC2=C(C=CC(CN(C(C)C(=O)NO)S(=O)(=O)C3=CC=C(OC)C=C3)=C2)C=C1	training	1
25	n.a.	CCC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)C(=O)NC(CC1=CSC=N1)C(=O)NO	training	1
26	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=CC(C)=C(OC)C=C2)C(CC2=CC=CS2)C(=O)NO)C=C1	training	1
27	n.a.	COC1=CC=C(S(=O)(=O)N(CC2=CC3=C(C=C2)OCO3)C(CC2=CC=C([N+](=O)[O-])C=C2)C(=O)NO)C=C1	training	1
28	n.a.	COC1=CC=C(S(=O)(=O)NC(CCCNC(=O)NC2=C(C)C=CC=C2)C(=O)NO)C=C1	training	1
