id	cas	smiles	status	exp values
1	n.a.	CC(C)C1=C(O)C=CC(OC2=C(Br)C3=C(C=C2Br)NC(C(=O)O)C3)=C1	training	1
2	n.a.	CCC(=O)NC1=C(Br)C=C(OC2=C(Cl)C=C(CC(=O)O)C=C2Cl)C=C1	training	1
3	n.a.	COC1=CC(CCNC(=O)C2=C(O)C=CC(OC3=C(Br)C=C(CC(=O)O)C=C3Br)=C2)=CC=C1	training	1
4	n.a.	C=CCC(C1=CC(C(C)C)=C(O)C=C1)C1=C(C)C=C(OCC(=O)O)C=C1C	training	1
5	n.a.	N=C(C1=CC(Cl)=CC(Cl)=C1)N(N)S(=O)(=O)C1=CC(Cl)=C(OC2=C(Cl)C=C([N+](=O)[O-])C=C2)C(Cl)=C1	training	1
6	n.a.	C=C(C)C(=O)C1=CC=C(CCCCCCC)C=C1	training	0
7	n.a.	CCCCCCC1=CC=C(C(=O)C=CC(=O)O)C=C1	training	0
8	n.a.	CCCC(=O)NC1=C2CCCCC2=CC=C1	training	0
9	n.a.	C=CC(=O)C1=CC=C(CCCCCCCC)C=C1	training	0
10	n.a.	CCCCCCC1=CC=C(C(=O)CCN(C)CC2=CC=CO2)C=C1	training	0
11	n.a.	CCCCCCC1=CC=C(C(=O)CCN2CCOCC2)C=C1	training	1
12	n.a.	CCCCCCC1=CC=C(NC(=O)C=CC(=O)O)C=C1	training	0
13	n.a.	CC(C)C1=C(O)C=CC(OC2=C(I)C=C(OCP(=O)(O)O)C=C2I)=C1	training	1
14	n.a.	CC(C)C1=CC(CC2=C(Cl)C=C(N3N=C(C#N)C(=O)NC3=O)C=C2Cl)=NNC1=O	training	1
15	n.a.	O=C(O)CC1=CC(Br)=C(OC2=CC(C(=O)NC3=CC=CC=C3)=C(O)C=C2)C(Br)=C1	training	1
16	n.a.	CN1CCN(C(=O)C2CCN(C(=O)C3=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C3)CC2)CC1	training	0
17	n.a.	CC1=CC(NC(=O)C(=O)O)=CC(C)=C1OC1=C2CCCC2=C(O)C=C1	training	1
18	n.a.	C=CC(=O)C1=CC=C(NC(=O)CCC)C=C1	training	0
19	n.a.	C=CC(=O)OC1=CC=C(CCCCC)C=C1	training	0
20	n.a.	CC(C)C1=CC(CC2=C(Cl)C=C(CC(=O)O)C=C2Cl)=NNC1=O	training	1
21	n.a.	CC1=CC=C(COC2=C(Br)C=C(CCC(=O)O)C=C2Br)C=C1	training	1
22	n.a.	CC1=CC(CC(N)C(=O)O)=CC(C)=C1OC1=CC(C(C)C)=C(O)C=C1	training	1
23	n.a.	CCCN(C(=O)C1=CSC(C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)=N1)C1=CC=CC=C1	training	1
24	n.a.	CC1=C(OC2=CC(CCC3=CC=C(Cl)C=C3)=C(O)C=C2)C2=C(CCC2)C(NC(=O)CC(=O)O)=C1	training	1
25	n.a.	CC(C)C1=C(O)C=CC(OC2=C(Br)C=C(CP(=O)(O)O)C=C2Br)=C1	training	1
26	n.a.	CC(C)C1=C(O)C=CC(OC2=C(Cl)C=C(NCP(=O)(O)O)C=C2Cl)=C1	training	1
27	n.a.	COC1=C(OC)C=C(NC(C2=C(Cl)C=CC=C2)C2=C(C)NC3=C2C=CC(C)=C3)C=C1	training	0
28	n.a.	CC1CCN(C(=O)C2CCN(C(=O)C3=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C3)CC2)CC1	training	0
29	n.a.	CN(CC1=CC=CC=C1)C(=O)C1CCN(C(=O)C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)CC1	training	0
30	n.a.	CC1=CC=C(N2CCN(C(=O)CN(C)C(=O)C3=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C3)CC2)C=C1	training	0
31	n.a.	CN(CC1=C(F)C=CC=C1)C(=O)CN(C)C(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
32	n.a.	CN(CC1=C(F)C=CC=C1)C(=O)CCCNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
33	n.a.	CC1CCN(C(=O)CCNC(=O)C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)CC1	training	0
34	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1	training	0
35	n.a.	CN(C(=O)CCNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1)C1=CC=CC=C1	training	0
36	n.a.	CCCCCCOC1=CC(OC)=C(C(=O)CCN(C)C)C=C1	training	0
37	n.a.	CCCCCCOC1=CC(N(C)C)=C(C(=O)CCN(C)C)C=C1	training	0
38	n.a.	CCCCCCOC1=CC=C(C(=O)CCNC2=CC=CC=C2)C=C1	training	0
39	n.a.	O=C(O)CC1=CC(Br)=C(OC2=CC(OC3=CC=C(O)C=C3)=C(O)C=C2)C(Br)=C1	training	1
40	n.a.	COC1=CC=C(CCNC(=O)C2=C(O)C=CC(OC3=C(Br)C=C(CC(=O)O)C=C3Br)=C2)C=C1	training	1
41	n.a.	CC(C)C1=C(O)C(Cl)=CC(OC2=C(Br)C=C(CC(=O)NC(C(=O)O)C(C)C)C=C2Br)=C1	training	1
42	n.a.	CCCCCCC1=CC=C(C(=O)CC)C=C1	training	0
43	n.a.	CC=CC(=O)C1=CC=C(CCCCCCC)C=C1	training	0
44	n.a.	C#CC(=O)OC1=CC=C(CCCCCC)C=C1	training	0
45	n.a.	CCCCCCOC1=CC=C(C2=CC=C(C(=O)CCN(C)C)C=C2)C=C1	training	0
46	n.a.	CCCCCCOC1=CC=C(C(=O)CCNC2=CC(Cl)=CC=C2)C=C1	training	0
47	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)N2CCC(C(=O)N3CCN(C4=C(F)C=CC=C4)CC3)CC2)C=C1	training	0
48	n.a.	CC(C)N(C(=O)C1CCN(C(=O)C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)CC1)C(C)C	training	0
49	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)N2CCC(C(=O)N3CCC(C4=CC=CC=C4)CC3)CC2)C=C1	training	0
50	n.a.	CCCCCCOC1=CC=C(C(=O)CCN2CC2C)C=C1	training	0
51	n.a.	CCCCCCOC1=CC=C(C(=O)CCN(C)C2=CC=CC=C2)C=C1	training	0
52	n.a.	CN(CC1=CC=CC=C1)C(=O)C1=C(C(F)(F)F)N=C(C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)S1	training	1
53	n.a.	CN(CC1=CC(F)=CC=C1)C(=O)C1=C(C(F)(F)F)N=C(C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)S1	training	1
54	n.a.	O=C(O)CC1=CC(Cl)=C(OC2=CC=C(O)C=C2)C(Cl)=C1	training	1
55	n.a.	COC1=CC(OC)=C(C(CC(=O)N2CC(C)CC(C)C2)C2=CC3=C(C=C2)OCO3)C(O)=C1	training	1
56	n.a.	O=C(O)CCC1=C(OCC2C(Br)CCCC2Br)C=CC=C1	training	1
57	n.a.	O=C1C=NN(C2=CC(Cl)=C(OC3=CC(S(=O)(=O)N4C5CCC4CC4(CCCO4)C5)=C(O)C=C3)C(Cl)=C2)C(=O)N1	training	1
58	n.a.	C=CC(=O)C1=CC=C(CCCCC)C=C1	training	0
59	n.a.	CCCCCCC1=CC=C(C(=O)CCN(C)CCO)C=C1	training	1
60	n.a.	CC1=C(OC2=CC(CCC3=CC=C(F)C=C3)=C(O)C=C2)C2=C(CCC2)C(NC(=O)CC(=O)O)=C1	training	1
61	n.a.	CCCCCCC1=CC=C(C(=O)CCl)C=C1	training	0
62	n.a.	CC1CCN(C(=O)CN(C)C(=O)C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)CC1	training	0
63	n.a.	CN(CC(=O)N1CCCCC1)C(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
64	n.a.	CN(CC(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1)C(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
65	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCCC(=O)N2CCC3=C2C=CC=C3)C=C1	training	0
66	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCCC(=O)N2CCN(C3=CC=C(C(F)(F)F)C=C3)CC2)C=C1	training	0
67	n.a.	CC1=CC=C(N2CCN(C(=O)CCCNC(=O)C3=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C3)CC2)C=C1	training	0
68	n.a.	CN(CC1=CC=CC=C1)C(=O)CCCNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
69	n.a.	CN(C(=O)CCCNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1)C1=CC=CC=C1	training	0
70	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCCC(=O)N2CCC3=C(C=CC=C3)C2)C=C1	training	0
71	n.a.	CC1CC2=C(C=CC=C2)N1C(=O)CCNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
72	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N2CC3=C(C=CC=C3)C2)C=C1	training	0
73	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N2CCC(C3=CC=CC=C3)CC2)C=C1	training	0
74	n.a.	CCCCCCCC1=CC=C(C(=O)C=C(C)C)C=C1	training	0
75	n.a.	C=CC(=O)C1=CC=C(CCC)C=C1	training	0
76	n.a.	C=C(CC(=O)NC1=CC=C(CCCCCC)C=C1)C(=O)O	training	0
77	n.a.	CCCCCCC1=CC=C(NC(=O)C=CC2=CC=CC=C2)C=C1	training	0
78	n.a.	C=CC(=O)NC1=CC=C(CCCCCC)C=C1	training	0
79	n.a.	CCCCCCC1=CC=C(C(=O)CCNCCC)C=C1	training	0
80	n.a.	O=C(O)CC1=CC(Br)=C(OC2CCCCC2)C(Br)=C1	training	1
81	n.a.	CCCCCCOC1=CC(Cl)=C(C(=O)CCN(C)C)C=C1	training	1
82	n.a.	CC(C)C1=CC(OC2=C(Cl)C=C(NC(=O)C(=O)O)C=C2Cl)=NNC1=O	training	1
83	n.a.	CN(CC(=O)N1CCC2=C1C=CC=C2)C(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
84	n.a.	CN(CC(=O)N1CCN(C2=CC=C(C(F)(F)F)C=C2)CC1)C(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
85	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCCC(=O)N2CC3=C(C=CC=C3)C2)C=C1	training	0
86	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N2CCN(C3=CC=C(F)C=C3)CC2)C=C1	training	0
87	n.a.	CC(C)N(C(=O)CNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1)C(C)C	training	0
88	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCC(=O)NC23CC4CC(CC(C4)C2)C3)C=C1	training	1
89	n.a.	CC1=CC(OCC(=O)O)=CC(C)=C1C(CCCO)C1=CC(C(C)C)=C(O)C=C1	training	1
90	n.a.	CC1=C(OC2=CC(C(C)C)=C(O)C=C2)C(C)=C2C(=O)C=C(C(=O)O)NC2=C1	training	1
91	n.a.	CC(C)C1=CC(CC2=C(Cl)C=C(N3N=C(C#N)C(=O)NC3=O)C=C2Cl)=NN(C)C1=O	training	1
92	n.a.	CN(CC1=C(F)C=CC=C1)C(=O)C1=C(C(F)(F)F)N=C(C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)S1	training	1
93	n.a.	CN(CC1=C(F)C=CC=C1)C(=O)CNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
94	n.a.	CN(CC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
95	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCCC(=O)N2CCC(C3=CC=CC=C3)CC2)C=C1	training	0
96	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N2CCCC3=C2C=CC=C3)C=C1	training	0
97	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N2CCN(C3=CC=CC=C3)CC2)C=C1	training	0
98	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCCC(=O)N2CCC3=C(C=CC=C3)C2)C=C1	training	0
99	n.a.	CC(C)C1=CC(OC2=C(Cl)C=C(CC(=O)O)C=C2Cl)=NNC1=O	training	1
100	n.a.	CC1=C(OC2=CC(CCC3=CC(Cl)=CC=C3)=C(O)C=C2)C2=C(CCC2)C(NC(=O)CC(=O)O)=C1	training	1
101	n.a.	CC1=C(OC2=CC(CCC3CCCCC3)=C(O)C=C2)C2=C(CCC2)C(NC(=O)CC(=O)O)=C1	training	1
102	n.a.	CC1=CC(OCC(=O)O)=CC(C)=C1CC1=CC(C(C)C)=C(O)C(C#CC2=CC=C(N)C=C2)=C1	training	1
103	n.a.	CC1=C(C(=O)N2CCCCC2)SC(C2=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C2)=N1	training	1
104	n.a.	CC(C)C1=CC(S(=O)(=O)C2=C(Cl)C=C(CC(=O)O)C=C2Cl)=NNC1=O	training	0
105	n.a.	CC(C)C1=CC(CC2=C(Br)C=C(CC(=O)O)C=C2Br)=NNC1=O	training	1
106	n.a.	CC(C)C1=CC(OC2=C(Br)C=C(CCC(=O)O)C=C2Br)=NNC1=O	training	1
107	n.a.	CC(C)C1=C(O)C=CC(OC2=C(Br)C=C(CCP(=O)(O)O)C=C2Br)=C1	training	1
108	n.a.	COC1=CC(OCP(=O)(O)O)=CC(OC)=C1CC1=CC(C(C)C)=C(O)C=C1	training	1
109	n.a.	CC1=CC(SCP(=O)(O)O)=CC(C)=C1OC1=CC(C(C)C)=C(O)C=C1	training	1
110	n.a.	CC(C)C1=C(O)C=CC(OC2=C(Br)C=C(C(=O)O)C=C2Br)=C1	training	1
111	n.a.	CC1=CC(CC(N)C(=O)O)=CC(C)=C1CC1=CC(C(C)C)=C(O)C=C1	training	1
112	n.a.	CC(C)C1=C(O)C=CC(CN2C=CC3=C2C=CC(OCC(=O)O)=C3)=C1	training	1
113	n.a.	CC1=C(CC(=O)O)C2=C(C=CC=C2)N1CC1=CC(C(C)C)=C(O)C=C1	training	1
114	n.a.	O=C(NC1=CC=C(CC2=CC=C(NC(=O)C3=CC([N+](=O)[O-])=CC=C3)C=C2)C=C1)C1=CC([N+](=O)[O-])=CC=C1	training	0
115	n.a.	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(C3=CC=C(N(C)C(C)=O)C=C3)CC21C	training	1
116	n.a.	N=C(CCl)N(N)S(=O)(=O)C1=CC(Cl)=C(OC2=C(Cl)C=C([N+](=O)[O-])C=C2)C(Cl)=C1	training	1
117	n.a.	CC1=CC(OCP(=O)(O)O)=CC(C)=C1CC1=CC(C2=CC=CC=C2)=C(O)C=C1	training	1
118	n.a.	CC(C)C1=C(O)C=CC(OC2=C(I)C=C(CP(=O)(O)O)C=C2I)=C1	training	1
119	n.a.	CC1=CC(OCP(=O)(O)O)=CC(C)=C1OC1=CC(C(C)C)=C(O)C=C1	training	1
120	n.a.	NC(CC1=CC(Br)=C(OC2=CC(CC3=NN=C(O)C=C3)=C(O)C=C2)C(Br)=C1)C(=O)O	training	1
121	n.a.	CC1=C(OC2=CC(CCC3=CC(O)=CC=C3)=C(O)C=C2)C2=C(CCC2)C(NC(=O)CC(=O)O)=C1	training	0
122	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)N2CCC(C(=O)N3CC4=C(C=CC=C4)C3)CC2)C=C1	training	0
123	n.a.	CN(CC1=CC(F)=CC=C1)C(=O)CCNC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	training	0
124	n.a.	CS(=O)(=O)C1=C([N+](=O)[O-])C=C(C(=O)NCC(=O)N2CCN(C3=CC=C(F)C=C3)CC2)C=C1	training	0
