id	cas	smiles	status	exp values
1	n.a.	CC(COC(=O)C(C)C1=CC=C(C(=O)C2=CC=CS2)C=C1)O[N+](=O)[O-]	training	1
2	n.a.	CCOC(=O)CC1=C(C)N(C2=CC(F)=CC=C2)C(C2=CC=C(S(C)(=O)=O)C=C2)=C1	training	0
3	n.a.	CC1=NOC(C2=CC=C(S(C)(=O)=O)C=C2)=C1C1=CC=C(F)C=C1	training	0
4	n.a.	CS(=O)(=O)C1=CC=C(C2=C(C3=CC(F)=C(F)C=C3)C(=O)N(C3=CC=CC=C3)C2)C=C1	training	1
5	n.a.	CCC=CCC=CCC=CCC=CCCSCCCC(=O)O	training	0
6	n.a.	COC1=NN2N=C(C3=CC=C(F)C=C3)C(C3=CC=C(S(C)(=O)=O)C=C3)=C2C=C1	training	0
7	n.a.	COC1=CC(NC2=C(C(=O)O)C=CC=C2)=C([N+](=O)[O-])C=C1	training	0
8	n.a.	CS(=O)(=O)C1=CC=C(C2=C(C3=CC=C(F)C=C3)CC3(CCC3)C2)C=C1	training	0
9	n.a.	COC1=C(Cl)C=C(C2=C(C3=CC=C(S(C)(=O)=O)C=C3)CC3(CC3)C2)C=C1Cl	training	0
10	n.a.	CCC1=CC=C(NC2=C(NS(C)(=O)=O)C=CN=C2)C=C1	training	1
11	n.a.	CC(=O)C(C1=CC=CC=C1)=C(N)C1=CC=C(Cl)O1	training	0
12	n.a.	CCC1=CC(NC2=C(NS(C)(=O)=O)C=CN=C2)=CC=C1	training	0
13	n.a.	O=C(O)C1=C(C2=CC=CC=C2)ON=C1C1=CC=C(Cl)O1	training	0
14	n.a.	CC1=C(Cl)C=CC(C2=C(F)C(F)=CC=C2C2=CC=C(S(N)(=O)=O)C=C2)=C1	training	1
15	n.a.	O=C(O)C1=CC2=C(OC1C(F)(F)F)C(Cl)=C(OCC1CCCCC1)C(Cl)=C2	training	1
16	n.a.	CC(=O)OC1=CC(C2=C(C3=CC=C(S(C)(=O)=O)C=C3)COC2=O)=CC=C1	training	0
17	n.a.	CS(=O)(=O)NC1=CC=C(C2=C3OC(C(F)(F)F)C(C(=O)O)=CC3=CC(Cl)=C2)C=C1	training	0
18	n.a.	CC1=C(C)C=C(C2=NN(C3=NC(=O)CS3)C(C3=C(Cl)C=CC=C3)C2)C=C1	training	0
19	n.a.	CC(C)(C)C1=CC(C2=NN=C(O)O2)=CC(C(C)(C)C)=C1O	training	1
20	n.a.	CC(C)SC1=NN=C(C2=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C2)S1	training	0
21	n.a.	CC1(C)OC(=O)C(OC2=C(Cl)C=C(Cl)C=N2)=C1C1=CC=C(S(C)(=O)=O)C=C1	training	1
22	n.a.	NS(=O)(=O)C1=CC=C(C2=C3C=CC=NN3N=C2C2=CC=C(OC(F)(F)F)C=C2)C=C1	training	0
23	n.a.	CCS(=O)(=O)NC1=C(OC2=CC=C(Cl)C=C2)C=NC=C1	training	1
24	n.a.	CS(=O)(=O)C1=CC=C(C2=C(C3=CC=CC=C3)N3N=CN=C3S2)C=C1	training	0
25	n.a.	COC1=CC=C(OC2=C(NS(C)(=O)=O)C=CN=C2)C=C1	training	1
26	n.a.	CS(=O)(=O)C1=CC=C(N2C=C(C(F)(F)F)N=C2C2=CC=C(F)C=C2)C=C1	training	0
27	n.a.	O=C(C=CC1=CC2=C(C=CC=C2)OC1)C1=CC=C(F)C=C1	training	1
28	n.a.	CCC1=CC=C(C(=O)C=CC2=CC3=C(C=CC=C3)OC2)C=C1	training	1
29	n.a.	CC(C)(C)C#CC1=C(C2=CC=C(S(C)(=O)=O)C=C2)CCC1=O	training	0
